,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,7560.545387332633,-0.16023571110863583,1.1468128156144404,-0.13972263731878912,0.8895167642455477,0.9948170170093185,0,44
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,1431.0334282836623,0.31097975461053334,0.6898140626044277,0.45081678015726967,0.6543354715935439,0.8524980972093473,0,44
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,678562.2683373214,-0.9931108103282298,0.4367471286358581,-2.273880571190303,0.02790550656812134,0.5441573780783662,0,44
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,94598.32311642637,0.37093179925898023,0.7697826903010913,0.48186560172442267,0.6322896668931582,0.8524980972093473,0,44
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,62606.46690005711,-0.4808208709327589,0.9993116398795848,-0.48115207683430655,0.632792619450891,0.8524980972093473,0,44
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,6201.567760854399,0.002089410595882836,1.0670053634484442,0.00195820064964818,0.9984464343939425,0.9984464343939425,0,44
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,3442.4376573233676,0.06980804254200981,0.9846360984994345,0.07089730170201546,0.9438007597267895,0.9948170170093185,0,44
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,73083.2888376181,-0.6691586189088278,0.7553850275845532,-0.8858510487672147,0.3805137707717713,0.7108664654317238,0,44
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,23801.81336525344,1.1905034220666337,0.7805194721587183,1.5252706236450502,0.1343481089871009,0.7071742363410435,0,44
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,6874.602558958959,-1.0931442185572153,0.8087046862584119,-1.351722374226374,0.18337256675424637,0.7071742363410435,0,44
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,3049.6441614595,0.07321158829148752,0.8032901111374873,0.09113966084783158,0.9277952816949969,0.9948170170093185,0,44
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,1579.1676392917886,1.106320218095543,0.6836043705484126,1.618363289877758,0.1127314917104673,0.7071742363410435,0,44
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,1016.4527560709237,-0.11076614803546374,0.1230647298345999,-0.9000641222252259,0.37298605950685526,0.7108664654317238,0,44
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,2661.362755985566,-0.7630528972629984,0.6859271514812824,-1.112440141223686,0.2719900909004013,0.7071742363410435,0,44
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,2966.1156579756403,0.06106552979190549,0.7624849509691918,0.08008752135276287,0.9365308094468511,0.9948170170093185,0,44
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Hafniaceae,1016.4527560709237,0.305701711766113,0.3604772497109365,0.8480471708304823,0.4010015958845622,0.7108664654317238,0,44
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,1117.7491775229905,1.3118397823802515,0.5067351314275726,2.5888076452969435,0.013005041785481454,0.5071966296337768,0,44
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae,1016.4527560709241,0.2831188928731813,0.312812391521776,0.9050756956777155,0.3703546673661262,0.7108664654317238,0,44
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,1950.4863437346803,0.6910350121411366,0.6142680163175842,1.1249731286413958,0.2666999122467153,0.7071742363410435,0,44
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,2272.847256268208,-0.7360045169242883,0.6462525946891671,-1.1388805599740606,0.2609157560174496,0.7071742363410435,0,44
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,1016.4527560709241,0.26606918547918795,0.3558049619577579,0.7477950392124559,0.45856203220675384,0.7451633023359749,0,44
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,2597.7267422318705,1.4058341540967898,0.7471607291175365,1.8815685826491515,0.06652058551052856,0.7071742363410435,0,44
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,1161.8999770062,-0.30370886528098034,0.25046179574027944,-1.212595575238614,0.23175513917534057,0.7071742363410435,0,44
Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,1016.4527560709241,0.18158063363178023,0.31221038244718213,0.5815970378963901,0.5638060852064578,0.8524980972093473,0,44
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,1275.0642355080095,-0.43779291600161396,0.3353092185098241,-1.3056393675880618,0.19846094461150363,0.7071742363410435,0,44
Bacteria*Synergistota*Synergistia*Synergistales*Synergistaceae,1016.4527560709241,0.21501409190558962,0.28080503500852083,0.7657059706891124,0.44793948068710965,0.7451633023359749,0,44
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae,1674.3567512305199,0.24385916595962426,0.5433399165495418,0.44881511284545783,0.6557677670841133,0.8524980972093473,0,44
Bacteria*Firmicutes*Clostridia*Peptococcales*Peptococcaceae,1092.4136677490862,0.23156196816276453,0.2642612932232622,0.8762613901504239,0.3856469317352973,0.7108664654317238,0,44
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,1493.5820655057314,-0.016489777303824893,0.4875124153980655,-0.03382432279260129,0.9731702197692831,0.9984464343939425,0,44
Bacteria*Firmicutes*Clostridia*Eubacteriales*Eubacteriaceae,1172.2405707913533,-0.31649166106056126,0.24438061853684356,-1.2950767657249629,0.2020481406045705,0.7071742363410435,0,44
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae,1016.4527560709237,-0.11076614803546374,0.1230647298345999,-0.9000641222252259,0.37298605950685526,0.7108664654317238,0,44
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,1148.4197971603369,-0.03118988229016434,0.3139716948573519,-0.09933979018183461,0.921319712515933,0.9948170170093185,0,44
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Pseudomonadaceae,1016.4527560709237,0.13364733563689002,0.2547045044735643,0.5247152417391238,0.602415023786949,0.8524980972093473,0,44
Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae,1016.4527560709237,-0.11076614803546374,0.1230647298345999,-0.9000641222252259,0.37298605950685526,0.7108664654317238,0,44
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales*Bogoriellaceae,1123.6890098331028,-0.25546579972466793,0.192612777481966,-1.3263180307370146,0.19157799368797862,0.7071742363410435,0,44
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,1102.629259891024,-0.2281707777185123,0.19699273429667352,-1.158270017080347,0.25300222457524885,0.7071742363410435,0,44
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae,1092.4136677490862,-0.21474225625981952,0.17831426143620305,-1.2042909777951194,0.23491554519641042,0.7071742363410435,0,44
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Eggerthellaceae,1078.8845545188444,-0.04900796266958561,0.20774933258127926,-0.23589949513032432,0.8146052945419024,0.9928002027229436,0,44
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales*Flavobacteriaceae,1078.8845545188447,-0.0745567430469669,0.1932924179091791,-0.3857199565996341,0.7015627575216734,0.8826112110756537,0,44
