,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,-0.2298484812707764,0.19679746890640698,-1.1679442959710413,0.24282923490258146,0.8216922764117107,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,0.020953843292439416,1.0212901645398498,0.02051703229892587,0.9836309251264806,0.9836309251264806,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,0.0524987869769063,0.8375254276134182,0.06268321563263449,0.9500187630918755,0.9806869383224597,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,-0.4229493381272982,0.7806685748590829,-0.54177835735689,0.587971202502778,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,0.3339012382494202,0.4471427315367438,0.7467441930720101,0.45521798801425256,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,0.6057647938589169,0.8723062973333857,0.6944404685724748,0.4874060222790905,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,0.9411673445816893,1.0010490510453172,0.9401810466718907,0.34712470203092,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,0.6965483103347748,0.9848323109720954,0.7072760535722421,0.47939494378617054,0.8216922764117107,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,1.569306279214964,0.3916729787774504,4.0066748646110915,6.157953912745702e-05,0.005111101747578933,1,0,0,True
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*Oscillibacter,0.06914336569488042,0.6376167287430077,0.10844032563447492,0.9136464144891604,0.9806869383224597,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Citrobacter,-0.13842344021922426,0.18622650867478885,-0.7433068535959934,0.45729592314933226,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,-0.19142510706807475,0.8282879146044257,-0.23110938079966514,0.8172298275576768,0.9420843845456551,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae*Monoglobus,-0.3532699954369298,0.5211734000887014,-0.6778358131416623,0.49787580107453216,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*UBA1819,0.4167048698490038,0.561232636629835,0.7424815355558955,0.4577956349620384,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Phascolarctobacterium,-0.11256731101975183,0.5783717961490813,-0.1946279396216209,0.8456842286539271,0.9615313832640542,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,-0.012607377233097683,0.4382683948937336,-0.02876633902874648,0.9770509473272807,0.9836309251264806,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,0.8294484384247056,0.7456955006374597,1.1123151979804753,0.26600265159937125,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Eisenbergiella,0.232800552575398,0.1931753932539305,1.205125293931096,0.22815493657365388,0.8216922764117107,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Rikenellaceae_RC9_gut_group,-0.27514723916490635,0.18649640968719441,-1.475348719186625,0.14011881458240183,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,1.0732076459360425,0.5737301940246464,1.8705789883701665,0.06140345921398511,0.8216922764117107,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,0.03213841852107538,0.06550551669834405,0.49062155587710715,0.6236941375173226,0.8216922764117107,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,0.3774308818785076,0.5399948716921188,0.6989527154133827,0.4845815815853413,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,0.17600296728025344,0.6385156912003823,0.27564391870993077,0.7828215736701573,0.915129445276381,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Hafniaceae*Hafnia-Obesumbacterium,0.7638593247691715,0.6886691152542065,1.1091819102228946,0.26735171479554215,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Negativibacillus,-0.18577387193465666,0.17976619650339898,-1.0334193833329732,0.3014076793618988,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,0.4067960927269668,0.4212934598470555,0.9655884353738798,0.3342501644118166,0.8216922764117107,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae*Proteus,0.03213841852107538,0.06550551669834405,0.49062155587710715,0.6236941375173226,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Incertae_Sedis,-0.03422304330218595,0.08824447906403954,-0.3878207868092245,0.6981486615102741,0.877974831899284,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,-0.45770451856062777,0.39140998436294244,-1.1693736410571798,0.24225312501314342,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-003,-0.5629128516228543,0.25449388902380615,-2.2118914280499586,0.026974167685566385,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae*Holdemanella,-0.1305681174367193,0.1327901179203402,-0.9832668234773776,0.3254761339925116,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-005,0.5116889613218446,0.4977590398885867,1.0279852706168346,0.3039567563652984,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelotrichaceae_UCG-003,-0.32216913525093827,0.21150011412692787,-1.5232575007387203,0.12769429531409582,0.8216922764117107,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae*CAG-873,0.03213841852107538,0.06550551669834405,0.49062155587710715,0.6236941375173226,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*NK4A214_group,0.029311158857066043,0.46673126352088545,0.06280093310216922,0.9499250228296051,0.9806869383224597,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Alloprevotella,-0.11072138773570801,0.1508330138099116,-0.7340660041126371,0.4629085116843006,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Catenibacterium,0.39563126432212986,0.5022476876793056,0.7877214251601447,0.43085967050731205,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,-0.42757653005570095,0.23573047790742935,-1.8138364366427364,0.06970291103837833,0.8216922764117107,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,0.16095645872472258,0.48945549766663143,0.3288479943366581,0.742270584442317,0.9060067427751811,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*Flavonifractor,-0.23557369904399528,0.19009325850790587,-1.2392533059461333,0.21525170515809883,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,0.6469516608733982,0.531655585696503,1.2168623414834436,0.22365659581553177,0.8216922764117107,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Peptoclostridium,-0.10323113342108221,0.15417011776206682,-0.6695923627716264,0.5031176839199137,0.8216922764117107,0,0,0,False
