,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,2796.4304347817956,-0.3637872531788751,0.7222226624310784,-0.5037051204601203,0.6180295440045688,0.980377795662952,0,31
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,14718.642764882876,0.05832511497663373,1.8403005815070987,0.03169325465781729,0.9749198523620051,0.980377795662952,0,31
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,148963.19531495214,0.3010338407056831,1.7176127481826442,0.17526292875049876,0.8620128060132981,0.980377795662952,0,31
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,184857.75706817344,-0.6778993027456568,1.153275998699661,-0.5878031828547547,0.5609222827012599,0.980377795662952,0,31
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,330548.68419860536,0.7980950792052048,1.3934352302419581,0.5727536249148965,0.5709427786557675,0.980377795662952,0,31
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,43598.13257073885,1.3099571265990373,1.7118309587551077,0.7652374318266072,0.44991717852258095,0.980377795662952,0,31
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,12118.691630156112,1.6499461492887562,1.6935530316908212,0.9742512448172181,0.33747325660528293,0.8487963726738934,0,31
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,6726.982923329602,1.2160885573304536,1.5340299977244252,0.7927410540435292,0.43395409839105203,0.980377795662952,0,31
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,41230.01312908117,2.723134941964049,1.1202397790840388,2.4308500669299686,0.02104226138195749,0.26769539174331086,0,31
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*Oscillibacter,6772.917458015911,0.2968014485250609,1.3418649927052622,0.22118577512533164,0.8263982577313923,0.980377795662952,0,31
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Citrobacter,2453.200048329803,-0.17486569603087554,0.6611540987551814,-0.26448553576255834,0.7931563764650644,0.980377795662952,0,31
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,7742.384798739234,-0.3941462904286616,1.454476571625705,-0.27098840786972206,0.7881962423182594,0.980377795662952,0,31
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae*Monoglobus,13433.891510108688,-0.4147135802222532,1.329300453073914,-0.31197881507018005,0.7571453826145981,0.980377795662952,0,31
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*UBA1819,2605.541990832774,0.833191617819601,0.7644109727269429,1.0899786208553386,0.284123038951709,0.8131797321721327,0,31
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Phascolarctobacterium,4902.158087897232,-0.16260295633910854,1.1624957081909344,-0.13987402722729173,0.8896643673256386,0.980377795662952,0,31
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,3809.8563661250287,0.044943083033001985,0.9616952048212747,0.04673318823644794,0.963025649840852,0.980377795662952,0,31
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,6762.1218211426785,1.6054446828569875,1.331720296746308,1.2055419495966606,0.23711577484197918,0.7133734315302118,0,31
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Eisenbergiella,1986.2844336234002,0.6580477921427731,0.24746596568046667,2.659144623517476,0.01228448629890841,0.26769539174331086,0,31
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Rikenellaceae_RC9_gut_group,3042.024025958435,-0.4852323590553271,0.7273428003424454,-0.6671302153906953,0.5096247161427818,0.980377795662952,0,31
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,2588.5725102873225,2.2874325561594677,0.7926540612101749,2.8857892340413396,0.007048295441358664,0.26769539174331086,0,31
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,1986.2844336234007,0.12972695856905428,0.107536432120834,1.2063535679079045,0.2368073004226582,0.7133734315302118,0,31
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,2632.5342447990256,0.7739770147936342,0.7760307246146997,0.9973535715069979,0.3263147352404029,0.846378844529795,0,31
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,5796.186123334747,0.39292944945632213,1.1493423156537803,0.3418732992814348,0.7347531002928545,0.980377795662952,0,31
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Hafniaceae*Hafnia-Obesumbacterium,1986.2844336234002,1.448541847940715,0.6034978061895813,2.4002437673910513,0.022576719785580433,0.26769539174331086,0,31
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Negativibacillus,2672.415194082632,-0.2983449779786291,0.6652902963871509,-0.44844330301942936,0.656952186767036,0.980377795662952,0,31
