,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,-9.634619375803458e-05,0.04717951964148924,-0.0020421190060890024,0.9983706259062025,0.9983706259062025,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,-1.304117746791629,1.4277628792608503,-0.9133993926685976,0.3610325248788518,0.9983706259062025,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,0.40678503973864333,0.9617075593013645,0.4229820549961712,0.6723083538218149,0.9983706259062025,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,-0.3372513511647772,0.9460236204490367,-0.3564935841715015,0.7214709560091865,0.9983706259062025,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,1.181481985132197,0.791546258976301,1.4926253162515049,0.13553529267009834,0.9983706259062025,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,0.10460185077414814,1.1376030870337823,0.09194933801286519,0.9267382913978419,0.9983706259062025,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,0.6575546128246462,0.8175510742861709,0.8042979007749179,0.42122494974744856,0.9983706259062025,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,-9.634619375803458e-05,0.04717951964148924,-0.0020421190060890024,0.9983706259062025,0.9983706259062025,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,0.7993673647990704,0.7028533485663722,1.1373174310538043,0.25540561042538856,0.9983706259062025,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*Oscillibacter,-9.634619375803458e-05,0.04717951964148924,-0.0020421190060890024,0.9983706259062025,0.9983706259062025,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Citrobacter,-1.3973524136964328,0.836753239741041,-1.6699695290440542,0.09492539246660768,0.9983706259062025,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,-9.634619375803458e-05,0.04717951964148924,-0.0020421190060890024,0.9983706259062025,0.9983706259062025,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae*Monoglobus,-9.634619375803458e-05,0.04717951964148924,-0.0020421190060890024,0.9983706259062025,0.9983706259062025,0,0,0,False
