,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,0.26603466588477626,0.4299844041928378,0.6187077096067559,0.536108930172315,0.9172757073946,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,-0.020971598074817542,0.6591604367427277,-0.03181562015227989,0.974619089862382,0.9910256248462124,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,-1.27239765529417,0.6621731105166303,-1.9215483611248423,0.054662611581614944,0.8931631725811282,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.3729879233157255,0.48815232863780395,0.764081007984851,0.4448189693560234,0.8931631725811282,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,-0.6553092501205723,0.6014965569403344,-1.089464673669904,0.27594902493428825,0.8931631725811282,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,-0.5177855067152042,0.6575847937913124,-0.7874049272488588,0.43104486330084807,0.8931631725811282,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,0.08728033732111018,0.5819478248948474,0.14997966069704088,0.8807806621532375,0.9786451801702639,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,0.12422676885168119,0.5465036747437549,0.22731186374900172,0.8201812486152913,0.9537707273042368,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,0.8960694614499359,0.4432902926813067,2.021405558037212,0.04323779982527119,0.8931631725811282,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*Oscillibacter,0.006401144517461382,0.4452818740781863,0.01437548862888907,0.988530414610943,0.9910256248462124,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Citrobacter,-0.16220952433748506,0.17850905073715226,-0.9086907563938166,0.36351338482918605,0.8931631725811282,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,0.018771008936515857,0.5237825855839431,0.03583740554411302,0.9714120069015463,0.9910256248462124,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae*Monoglobus,-0.5461262873071125,0.4054063647435315,-1.3471083209376928,0.17794534863342668,0.8931631725811282,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*UBA1819,0.43611621922063076,0.3702905542716442,1.1777676048973613,0.23888926674780026,0.8931631725811282,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Phascolarctobacterium,0.1095123016722942,0.3877446641437842,0.28243406498995594,0.7776106976632503,0.9537707273042368,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,0.00369342386239076,0.3283642245766952,0.011247948424198984,0.9910256248462124,0.9910256248462124,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,-0.1535886252647913,0.4392349780887508,-0.3496730290768363,0.726584097051133,0.9537707273042368,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Eisenbergiella,0.54555648801824,0.3234272725021898,1.6867980359156207,0.09164219326821842,0.8931631725811282,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Rikenellaceae_RC9_gut_group,-0.2989333232831673,0.17922413335833623,-1.667930081076121,0.09532960737061126,0.8931631725811282,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,0.7669770624913276,0.3724343025594859,2.059362033036215,0.039459570007791545,0.8931631725811282,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,0.008352334402814503,0.043517365599282744,0.1919310667774468,0.8477962020482105,0.9537707273042368,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,0.17838823026405867,0.2912219895660092,0.6125506886684623,0.5401734721323755,0.9172757073946,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,0.10596322035204835,0.3928023183074242,0.26976220712912624,0.787343199552168,0.9537707273042368,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Hafniaceae*Hafnia-Obesumbacterium,0.23942209427063427,0.23542323786792416,1.016985818557782,0.30916017578867144,0.8931631725811282,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Negativibacillus,-0.10469521054290679,0.20354423721896422,-0.5143609663106312,0.6069996443315008,0.9537707273042368,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,0.7012787254743562,0.29777663560571727,2.35504952914745,0.018520236978245196,0.8931631725811282,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Morganellaceae*Proteus,0.22384415346713554,0.2086424225187525,1.0728602110964118,0.2833338406605637,0.8931631725811282,0,0,0,False
