,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.25574914564626466,0.241453516119078,-1.0592065493887297,0.2895057229693856,0.9712246156885679,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.09166200767791122,1.0141227139248603,0.09038551885221137,0.9279808638707192,0.9712246156885679,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,-0.2042575886494645,0.23788590856325081,-0.8586367720690569,0.39054094392586836,0.9712246156885679,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.6188004249093814,0.42889955951877645,1.4427630226612331,0.14908723894442172,0.9712246156885679,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.9667582372030012,1.0164543572142863,0.9511083604900045,0.34154937108454325,0.9712246156885679,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales,0.722139202956087,0.9834122778529832,0.7343198973808667,0.4627537938589001,0.9712246156885679,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales,0.10574390924295637,0.6979859276637616,0.1514986263360542,0.8795823943564378,0.9712246156885679,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,-0.30049201298914624,0.26031085065262594,-1.1543583843538678,0.24835326925170262,0.9712246156885679,0,0,0,False
Bacteria*Firmicutes*Bacilli*RF39,-0.28889238958177604,0.24646514179850246,-1.1721429954502856,0.24113965033366305,0.9712246156885679,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales,-0.327679102815618,0.525409513648956,-0.6236641977414813,0.5328481402391609,0.9712246156885679,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,-0.20602906560284087,0.6379923129566846,-0.3229334608249878,0.7467456347358008,0.9712246156885679,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,0.18909280147104382,0.6660023072485737,0.2839221417298608,0.7764700478051263,0.9712246156885679,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,1.627001808055965,0.47729218026304077,3.408817230484076,0.0006524517654204134,0.017616197666351162,1,0,0,True
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.057729311142387274,0.14789189692615323,0.3903480335451591,0.6962792091249628,0.9712246156885679,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,0.33899592587924243,0.5741432282688876,0.5904379067595324,0.554897103187111,0.9712246156885679,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,-0.03630675815606741,0.17242542680752454,-0.21056498933069775,0.8332267342228562,0.9712246156885679,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,-0.09472711363320083,0.20936059679945027,-0.4524591307118855,0.6509382572484903,0.9712246156885679,0,0,0,False
Bacteria*Synergistota*Synergistia*Synergistales,0.057729311142387274,0.14789189692615323,0.3903480335451591,0.6962792091249628,0.9712246156885679,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,-0.05785940798753857,0.1891585557833724,-0.3058778269263176,0.7596976688926951,0.9712246156885679,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptococcales,0.4968408734238023,0.3937929086020684,1.2616806005662862,0.20706374021551552,0.9712246156885679,0,0,0,False
Bacteria*Firmicutes*Clostridia*Eubacteriales,-0.04495916005167875,0.17605851143119178,-0.25536487663222096,0.7984412960449532,0.9712246156885679,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,0.057729311142387274,0.14789189692615323,0.3903480335451591,0.6962792091249628,0.9712246156885679,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,0.057729311142387274,0.14789189692615323,0.3903480335451591,0.6962792091249628,0.9712246156885679,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,-0.004269816026933909,0.15776211002558072,-0.02706490187182188,0.9784079687482297,0.9784079687482297,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales,0.013137725796982254,0.16172060819699258,0.08123717776882915,0.9352533336260282,0.9712246156885679,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,0.03205719334387076,0.15083158529682494,0.2125363416474386,0.8316886288016418,0.9712246156885679,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,0.03205719334387071,0.15171056710120673,0.21130494702116054,0.832649322912957,0.9712246156885679,0,0,0,False
