,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes*Clostridia*Oscillospirales,781110.5252940273,-0.37008447241083153,0.47239454091056865,-0.783422415715202,0.4393238193448794,0.990270962301782,0,31
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,5631.866850441312,0.07623599800998507,1.7436901388024804,0.04372106965194052,0.9654071559703317,0.990270962301782,0,31
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,1065.9799410935755,-0.41105191214242776,0.7057188482074457,-0.5824584580481535,0.5644707376013451,0.990270962301782,0,31
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,123311.94490693131,0.957204074250391,0.9498498703301013,1.0077424908398775,0.3213797219050835,0.990270962301782,0,31
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,4619.5614342371555,1.6026814903252034,1.6831170510960354,0.9522103583238891,0.3483562278909601,0.990270962301782,0,31
Bacteria*Firmicutes*Clostridia*Christensenellales,2564.2793652787263,1.168823898366902,1.5056494952733128,0.7762921596534865,0.4434594232346166,0.990270962301782,0,31
Bacteria*Firmicutes*Clostridia*Lachnospirales,54439.90223448938,0.016792339640364223,1.0382305604925042,0.01617399860816894,0.9871992283852008,0.990270962301782,0,31
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,1222.1181947016678,-0.6082554407238244,0.8504009672525968,-0.7152572305849139,0.47980283296885284,0.990270962301782,0,31
Bacteria*Firmicutes*Bacilli*RF39,1207.5875383474279,-0.5909993956779653,0.7934868934465514,-0.7448130530687518,0.46199431832763516,0.990270962301782,0,31
Bacteria*Firmicutes*Clostridia*Monoglobales,5120.9065323023315,-0.4619782391858053,1.2972149544257106,-0.3561308305995651,0.7241549375139269,0.990270962301782,0,31
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,2271.686628234775,-0.49162058988598,1.184257935467572,-0.4151296564391414,0.6809062072906178,0.990270962301782,0,31
Bacteria*Firmicutes*Bacilli*Lactobacillales,2429.6543637516293,0.2733451963945509,1.134009153317581,0.24104320110192284,0.8111088102260184,0.990270962301782,0,31
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,1717.7232712554678,3.291078081545211,0.9551737799501607,3.445528081515108,0.0016577096983021406,0.0447581618541578,1,31
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,757.1578885759669,0.08246229960550192,0.20126633944590258,0.40971729218370645,0.6848308703043477,0.990270962301782,0,31
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,2604.9231830830727,0.7943727075702094,1.2008755130679694,0.6614946336450512,0.5131822865235687,0.990270962301782,0,31
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,865.50184263074,-0.11048041764001493,0.40997172786286573,-0.2694830158555965,0.789343703200574,0.990270962301782,0,31
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,949.7981471247158,-0.2445644683606485,0.5998032404046344,-0.4077411589101493,0.6862660565608649,0.990270962301782,0,31
Bacteria*Synergistota*Synergistia*Synergistales,757.1578885759669,0.08246229960550192,0.20126633944590258,0.40971729218370645,0.6848308703043477,0.990270962301782,0,31
Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,884.7464965492767,-0.1422076704114526,0.4920048583453119,-0.28903712636033496,0.7744771245072029,0.990270962301782,0,31
Bacteria*Firmicutes*Clostridia*Peptococcales,813.7413383792453,0.9238904150430619,0.4244816839505797,2.1765142053823596,0.03725563153272746,0.5029510256918207,0,31
Bacteria*Firmicutes*Clostridia*Eubacteriales,873.2045736334613,-0.12326321341959584,0.42797294166078065,-0.28801637071087677,0.7752510959626912,0.990270962301782,0,31
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,757.1578885759669,0.08246229960550192,0.20126633944590258,0.40971729218370645,0.6848308703043477,0.990270962301782,0,31
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,757.1578885759669,0.08246229960550192,0.20126633944590258,0.40971729218370645,0.6848308703043477,0.990270962301782,0,31
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,837.038409330542,-0.06223735208370257,0.32277871701700384,-0.19281739719048432,0.848359671104822,0.990270962301782,0,31
Bacteria*Firmicutes*Clostridia*Clostridiales,821.3509553836218,-0.03494233007754677,0.3713886143923455,-0.09408562547001696,0.9256466358078794,0.990270962301782,0,31
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,803.6634722447568,-0.0035350372421782683,0.27291561914191126,-0.012952857932033974,0.989748406906654,0.990270962301782,0,31
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,803.6634722447567,-0.003535037242178185,0.2875749880367502,-0.012292575464617357,0.990270962301782,0.990270962301782,0,31
