,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia*Oscillospirales,1.3943242298050864,0.8719444785674525,1.5990974931062922,0.10979894163276924,0.9537222355723138,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,-2.1426381877908636,1.4422276451682112,-1.485644929196293,0.13737306432323673,0.9537222355723138,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,-0.008504447756170272,0.14654469117951385,-0.058033134381869356,0.9537222355723138,0.9537222355723138,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.5365089778304261,0.4284012154902174,1.2523516704230202,0.2104417486262493,0.9537222355723138,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.6491465112622345,0.8277953019213184,0.7841872377815641,0.43293025252762013,0.9537222355723138,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales,-0.008504447756170272,0.14654469117951385,-0.058033134381869356,0.9537222355723138,0.9537222355723138,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales,0.3829111304487732,1.1832453377261902,0.3236109353150741,0.7462326079426129,0.9537222355723138,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,-0.008504447756170272,0.14654469117951385,-0.058033134381869356,0.9537222355723138,0.9537222355723138,0,0,0,False
Bacteria*Firmicutes*Bacilli*RF39,-0.008504447756170272,0.14654469117951385,-0.058033134381869356,0.9537222355723138,0.9537222355723138,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales,-0.008504447756170272,0.14654469117951385,-0.058033134381869356,0.9537222355723138,0.9537222355723138,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,0.18719235259962244,0.6715868490332074,0.2787314148112011,0.7804509520242963,0.9537222355723138,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,1.7465602506804505,0.9687732370592754,1.802857659427255,0.07141057202556073,0.9537222355723138,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,-0.008504447756170272,0.14654469117951385,-0.058033134381869356,0.9537222355723138,0.9537222355723138,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,1.0991997519546584,0.9010097141464893,1.2199643740754904,0.22247838048964824,0.9537222355723138,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,0.28530995007752014,0.9541875573110951,0.2990082483170551,0.7649337520615391,0.9537222355723138,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,-0.5230570302024998,0.5269457850275754,-0.9926201993913434,0.3208950772215032,0.9537222355723138,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,-0.048105986696810626,0.716857414741839,-0.06710677145487151,0.9464967032081071,0.9537222355723138,0,0,0,False
Bacteria*Synergistota*Synergistia*Synergistales,-0.008504447756170272,0.14654469117951385,-0.058033134381869356,0.9537222355723138,0.9537222355723138,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,-0.008504447756170272,0.14654469117951385,-0.058033134381869356,0.9537222355723138,0.9537222355723138,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptococcales,-0.008504447756170272,0.14654469117951385,-0.058033134381869356,0.9537222355723138,0.9537222355723138,0,0,0,False
Bacteria*Firmicutes*Clostridia*Eubacteriales,-0.008504447756170272,0.14654469117951385,-0.058033134381869356,0.9537222355723138,0.9537222355723138,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,0.6390623436052865,0.5053413247680364,1.264615245742333,0.20600928518456513,0.9537222355723138,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,-0.008504447756170272,0.14654469117951385,-0.058033134381869356,0.9537222355723138,0.9537222355723138,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,-0.008504447756170272,0.14654469117951385,-0.058033134381869356,0.9537222355723138,0.9537222355723138,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales,-0.008504447756170272,0.14654469117951385,-0.058033134381869356,0.9537222355723138,0.9537222355723138,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,-0.008504447756170272,0.14654469117951385,-0.058033134381869356,0.9537222355723138,0.9537222355723138,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,-0.008504447756170272,0.14654469117951385,-0.058033134381869356,0.9537222355723138,0.9537222355723138,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,-0.008504447756170272,0.14654469117951385,-0.058033134381869356,0.9537222355723138,0.9537222355723138,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,-0.008504447756170272,0.14654469117951385,-0.058033134381869356,0.9537222355723138,0.9537222355723138,0,0,0,False
