,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.5063417635458151,0.24460343271567167,-2.070051748351338,0.03844749872621455,0.557488731530111,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.042900862170427594,0.6507148539233842,0.06592881953095661,0.9474344958242206,0.9572705059139424,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,0.26304285471950667,0.4410211937276369,0.5964403943860236,0.550881061952951,0.9572705059139424,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.7289665065646318,0.4079890213609288,1.7867306922451456,0.07398102593643792,0.7151499173855665,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.0842885261558411,0.5893583521065489,0.14301744576040684,0.8862764031042311,0.9572705059139424,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales,0.12123495768641145,0.5555881242263269,0.21821013157045926,0.8272653914347886,0.9572705059139424,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales,-0.23674556922007492,0.46361202530137735,-0.5106545048441641,0.6095930028854262,0.9572705059139424,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,0.34294045372866006,0.4457478484151112,0.7693597511418387,0.44167977519754553,0.9572705059139424,0,0,0,False
Bacteria*Firmicutes*Bacilli*RF39,0.02700126528759652,0.3485365245440178,0.07747040377739936,0.9382493348607438,0.9572705059139424,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales,-0.549118098472382,0.40600798198442645,-1.3524810418467215,0.1762214794974345,0.9572705059139424,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,0.10865653240757352,0.43462329823848483,0.25000162864704945,0.8025860891426339,0.9572705059139424,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,0.4703507356985055,0.4321720557440864,1.0883413896085563,0.27644442498646454,0.9572705059139424,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,0.8889940275615882,0.40233159457946865,2.2096053094979937,0.02713256650430379,0.557488731530111,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.005360523237544941,0.1000487676863227,0.05357910308652166,0.9572705059139424,0.9572705059139424,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,0.11062368675342728,0.39714436763978456,0.2785477921060799,0.7805918832159104,0.9572705059139424,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,-0.08867554606090967,0.13436038108352763,-0.6599828412646647,0.509264840639197,0.9572705059139424,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,-0.14709590153804297,0.17741891014803307,-0.8290880685452894,0.4070545747424906,0.9572705059139424,0,0,0,False
Bacteria*Synergistota*Synergistia*Synergistales,0.17406856558154807,0.197083928852177,0.8832204969493397,0.37711714921708445,0.9572705059139424,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,-0.029152141105688815,0.16485794397744832,-0.17683188569715919,0.8596404425498996,0.9572705059139424,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptococcales,0.17079460244174252,0.166307745278717,1.0269792435433838,0.30443023794889684,0.9572705059139424,0,0,0,False
Bacteria*Firmicutes*Clostridia*Eubacteriales,-0.09732794795652099,0.13909819702884796,-0.6997067541884521,0.4841104575571854,0.9572705059139424,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,0.005360523237544941,0.1000487676863227,0.05357910308652166,0.9572705059139424,0.9572705059139424,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,0.11901758899298555,0.17559137217262347,0.6778100058126981,0.4978921660796225,0.9572705059139424,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,-0.056638603931776145,0.11478426991586763,-0.49343524137314304,0.6217050865716789,0.9572705059139424,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales,-0.03923106210786005,0.11913984812183712,-0.3292858160079306,0.7419396640597306,0.9572705059139424,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,0.031310997702803545,0.1149695837037133,0.27234157673819825,0.7853593903063955,0.9572705059139424,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,0.016169835994815047,0.11009081338528268,0.14687725067690968,0.8832289084896899,0.9572705059139424,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,0.005360523237544941,0.1000487676863227,0.05357910308652166,0.9572705059139424,0.9572705059139424,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,0.005360523237544941,0.1000487676863227,0.05357910308652166,0.9572705059139424,0.9572705059139424,0,0,0,False
