,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia,-0.1055653321573221,0.43048871065904815,-0.24522206864776766,0.8062844896540966,0.9847062410103753,0,0,0,False
Bacteria*Spirochaetota*Brachyspirae,-0.5216345753741928,0.49099907699969597,-1.0623942076667403,0.28805676226483273,0.9847062410103753,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia,-0.6063295246252796,0.3078791529892333,-1.969375057513177,0.048910037807521387,0.7091955482090601,0,0,0,False
Bacteria*Firmicutes*Bacilli,-0.09821040617547924,0.29355941588711804,-0.33455035287726537,0.7379643013564103,0.9847062410103753,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria,-0.0464576688491101,0.3511433818871543,-0.13230398533907164,0.8947438552437401,0.9847062410103753,0,0,0,False
Bacteria*Firmicutes*Negativicutes,-0.19715319829920916,0.28837726310970707,-0.6836641563666077,0.494187262254072,0.9847062410103753,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia,-0.16446730840669538,0.5918926798700257,-0.27786677213648076,0.7811146317913971,0.9847062410103753,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria,0.12141285709391007,0.7477233549009803,0.16237670830809955,0.8710092114973967,0.9847062410103753,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria,-0.5580077031275756,0.6952547649083186,-0.8025945758187772,0.42220910449847215,0.9847062410103753,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae,0.12445424648185084,0.9600314430635408,0.12963559410586273,0.8968547408315382,0.9847062410103753,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia,1.1017708105238964,0.5332374252342543,2.066191828227139,0.038810370156577366,0.7091955482090601,0,0,0,False
Bacteria*Patescibacteria*Gracilibacteria,-0.11188969853601743,0.21076360394926746,-0.5308777058251016,0.595503527831754,0.9847062410103753,0,0,0,False
Archaea*Euryarchaeota*Methanobacteria,0.042555052746782125,0.688995574657821,0.06176389850967683,0.9507508533893277,0.9847062410103753,0,0,0,False
Bacteria*Campilobacterota*Campylobacteria,-0.286436790931472,0.38945780854845324,-0.7354757938967754,0.46204977670224934,0.9847062410103753,0,0,0,False
Bacteria*Patescibacteria*Saccharimonadia,-0.3918016810845961,0.42691909324063154,-0.917742230994008,0.35875383265834626,0.9847062410103753,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia,0.6751105223632434,0.63985111547735,1.0551056425987297,0.2913770116763946,0.9847062410103753,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia,-0.0006111423912522219,0.4801746962555792,-0.0012727500970332961,0.9989844926219856,0.9989844926219856,0,0,0,False
Bacteria*Synergistota*Synergistia,0.32038068768428574,0.25446162947622525,1.2590530381486038,0.20801117529318294,0.9847062410103753,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia,0.5343225201447315,0.306693433472103,1.7422039790536754,0.08147275798150477,0.7875699938212127,0,0,0,False
Bacteria*Spirochaetota*Spirochaetia,-0.13469107937815353,0.15659152391741468,-0.860142848147954,0.38971030422816233,0.9847062410103753,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria,-0.06029346068244565,0.20423680753514023,-0.2952134897235494,0.7678307976733687,0.9847062410103753,0,0,0,False
Archaea*Thermoplasmatota*Thermoplasmata,0.024309421501085886,0.2566217786780713,0.09472859874290615,0.9245304016045791,0.9847062410103753,0,0,0,False
Bacteria*Firmicutes*Incertae_Sedis,0.0905070091196197,0.15538559573821537,0.582467175864233,0.5602520448688364,0.9847062410103753,0,0,0,False
Bacteria*Actinobacteriota*Thermoleophilia,0.014622209724184406,0.15230338340158894,0.09600712339809948,0.9235149150462612,0.9847062410103753,0,0,0,False
Bacteria*Thermotogota*Thermotogae,0.014622209724184406,0.15230338340158894,0.09600712339809948,0.9235149150462612,0.9847062410103753,0,0,0,False
Bacteria*Fibrobacterota*Fibrobacteria,0.014622209724184406,0.15230338340158894,0.09600712339809948,0.9235149150462612,0.9847062410103753,0,0,0,False
Bacteria*Acidobacteriota*Acidobacteriae,0.07624001136207041,0.15758208489024286,0.4838114143189067,0.6285197136275118,0.9847062410103753,0,0,0,False
Bacteria*Acidobacteriota*FFCH5909,0.014622209724184406,0.15230338340158894,0.09600712339809948,0.9235149150462612,0.9847062410103753,0,0,0,False
Bacteria*Abditibacteriota*Abditibacteria,0.014622209724184406,0.15230338340158894,0.09600712339809948,0.9235149150462612,0.9847062410103753,0,0,0,False
