Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia,0.493537131647357,0.16,0.85,0.189,0.9883333333333333,20144.620127815626,0.2752601366997147
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Brachyspirae,0.0,-1.208,0.603,0.375,0.5636666666666666,4.486870246405098,-0.4367634356224908
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia,0.0,-0.306,0.407,0.117,0.3572,5637.271263600302,-0.4367634356224908
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli,0.0,-0.163,0.75,0.233,0.5604,1477.5718963426752,-0.4367634356224906
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria,0.0,0.0,0.0,0.0,0.0,686.8771181510893,-0.4367634356224908
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes,0.0,-0.234,0.628,0.177,0.45426666666666665,1029.8365804757157,-0.4367634356224908
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia,0.0,-0.759,0.804,0.291,0.5296,19.43655184174147,-0.4367634356224906
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria,0.0,-0.244,0.803,0.242,0.5348,506.31317912392785,-0.4367634356224908
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria,0.0,-0.551,0.448,0.181,0.45686666666666664,265.3780488790864,-0.436763435622491
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae,0.0,-0.516,0.734,0.228,0.47986666666666666,114.33759237571572,-0.4367634356224908
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia,0.37774122789069287,-0.105,0.952,0.301,0.6700666666666667,743.1490548619619,0.10820196059472006
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Patescibacteria*Gracilibacteria,0.0,-1.01,0.617,0.325,0.5246,8.999377505634973,-0.43676343562249037
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Euryarchaeota*Methanobacteria,0.0,-0.739,0.751,0.275,0.5172666666666667,45.20263623423039,-0.43676343562249037
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Campilobacterota*Campylobacteria,0.0,-0.927,0.657,0.309,0.5333333333333333,19.750037871776172,-0.4367634356224906
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Patescibacteria*Saccharimonadia,0.0,-0.957,0.665,0.318,0.5487333333333333,19.868894311757668,-0.4367634356224908
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota*Desulfovibrionia,0.0,-0.319,0.994,0.31,0.5688666666666666,108.2188330363744,-0.4367634356224908
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Vampirivibrionia,0.0,-0.781,0.637,0.265,0.5098,43.2568416325613,-0.4367634356224906
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Synergistota*Synergistia,0.0,-0.969,0.935,0.385,0.5329333333333334,8.416174658287954,-0.4367634356224906
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Cyanobacteriia,0.0,-0.623,1.144,0.379,0.5345333333333333,17.307767841407642,-0.4367634356224906
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Spirochaetia,0.0,-1.165,0.673,0.362,0.536,4.129496178706774,-0.436763435622491
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Lentisphaeria,0.0,-0.957,0.823,0.338,0.5356,8.646506866359058,-0.4367634356224906
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Thermoplasmatota*Thermoplasmata,0.0,-0.807,0.709,0.28,0.5104,13.834360777788524,-0.4367634356224908
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Incertae_Sedis,0.0,-0.905,1.072,0.441,0.5570666666666667,3.575680146799501,-0.4367634356224906
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Thermoleophilia,0.0,-1.016,1.015,0.373,0.5358666666666667,0.23862915350467107,-0.4367634356224906
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Thermotogota*Thermotogae,0.0,-0.879,1.016,0.385,0.5244666666666666,0.2761407467933934,-0.4367634356224906
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fibrobacterota*Fibrobacteria,0.0,-0.975,0.955,0.385,0.5317333333333333,0.36610152581994193,-0.4367634356224908
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Acidobacteriota*Acidobacteriae,0.0,-0.82,0.931,0.333,0.5661333333333334,4.113011185957429,-0.4367634356224906
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Acidobacteriota*FFCH5909,0.0,-1.097,0.748,0.352,0.56,0.47385941642631496,-0.4367634356224908
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Abditibacteriota*Abditibacteria,0.0,-0.924,0.826,0.335,0.5423333333333333,0.31763746583330854,-0.4367634356224906
