,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes*Clostridia,726830.0114388367,-0.820766101512262,0.5576163318929984,-1.471919050014051,0.15145646832897736,0.7549773477933326,0,30
Bacteria*Spirochaetota*Brachyspirae,47.56147645527008,-1.5174963803172998,1.0578789025790334,-1.4344707854724692,0.1617808602414284,0.7549773477933326,0,30
Bacteria*Bacteroidota*Bacteroidia,205561.07418229937,-0.3971438090934195,0.5526039274557952,-0.7186771381120676,0.47790051745527884,0.9657593218157181,0,30
Bacteria*Firmicutes*Bacilli,28383.02833898211,0.3965889621592217,0.549071628389318,0.7222900285753268,0.4757092529488066,0.9657593218157181,0,30
Bacteria*Proteobacteria*Gammaproteobacteria,7724.969512142921,0.07400839171275964,0.7036406268709002,0.1051792475967114,0.9169336826288998,0.9657593218157181,0,30
Bacteria*Firmicutes*Negativicutes,18685.27933469274,0.018601590589907346,0.5418983815445921,0.03432671368548209,0.9728440054353551,0.9728440054353551,0,30
Bacteria*Fusobacteriota*Fusobacteriia,27.85590494369245,0.9471450942523817,1.2045459506464165,0.7863088110039296,0.43785388362709865,0.9657593218157181,0,30
Bacteria*Actinobacteriota*Actinobacteria,6089.117540764186,0.19969698338637543,1.0004660751987433,0.1996039529343416,0.8431371417425793,0.9657593218157181,0,30
Bacteria*Proteobacteria*Alphaproteobacteria,600.5707062404222,-1.0443707350706424,1.194391942005908,-0.8743953289878077,0.38884948169763456,0.9657593218157181,0,30
Bacteria*Verrucomicrobiota*Verrucomicrobiae,325.51451386295236,-1.7431306939856794,1.5173355256516443,-1.1488103089374802,0.2597116829254373,0.9657593218157181,0,30
Bacteria*Actinobacteriota*Coriobacteriia,5051.784633814623,0.4239159757363743,0.8881283972704633,0.47731384002495575,0.6365977818709976,0.9657593218157181,0,30
Bacteria*Patescibacteria*Gracilibacteria,19.059301109479556,0.378929316638247,0.6687275871878826,0.5666422679400914,0.575172522500534,0.9657593218157181,0,30
Archaea*Euryarchaeota*Methanobacteria,48.43080166976456,-0.09675620064547333,1.1124370087596258,-0.0869767904911372,0.9312679174651568,0.9657593218157181,0,30
Bacteria*Campilobacterota*Campylobacteria,28.462020729503433,-0.24289904159974277,0.7326750951442653,-0.3315235405291283,0.7425539411117021,0.9657593218157181,0,30
Bacteria*Patescibacteria*Saccharimonadia,19.059301109479556,0.3118468337734087,0.5849892066220219,0.5330813461912328,0.5979045718022205,0.9657593218157181,0,30
Bacteria*Desulfobacterota*Desulfovibrionia,237.18641571097987,-0.17908164782240293,1.2439355394758238,-0.14396376832988092,0.8864918159540554,0.9657593218157181,0,30
Bacteria*Cyanobacteria*Vampirivibrionia,69.96644221978313,-1.7556140400075795,0.8464617925040112,-2.0740617657580334,0.046752596690936815,0.7549773477933326,0,30
Bacteria*Synergistota*Synergistia,25.233266305929977,-0.6030298460724781,0.3500255837344194,-1.7228164856944421,0.09521682884353072,0.7549773477933326,0,30
Bacteria*Cyanobacteria*Cyanobacteriia,31.740072984624135,0.2743164540610642,0.8126167127775031,0.3375717601517911,0.7380366134394103,0.9657593218157181,0,30
Bacteria*Spirochaetota*Spirochaetia,19.059301109479573,0.10928925949672019,0.34271343579289254,0.3188940032183784,0.7520166826784056,0.9657593218157181,0,30
Bacteria*Verrucomicrobiota*Lentisphaeria,25.083450895222658,-0.30279422095056546,0.45392508270326803,-0.6670576984803962,0.5098338657883457,0.9657593218157181,0,30
Archaea*Thermoplasmatota*Thermoplasmata,19.059301109479573,-0.1981980964785139,0.20281506990524809,-0.9772355504505107,0.336267572952175,0.9657593218157181,0,30
Bacteria*Firmicutes*Incertae_Sedis,26.075301734428816,-0.6503868260370216,0.3412111846017408,-1.9061122711910756,0.0662562850077899,0.7549773477933326,0,30
Bacteria*Actinobacteriota*Thermoleophilia,24.750517906139716,-0.0811058947828435,0.6324083703319079,-0.12824924303306828,0.8988076237307631,0.9657593218157181,0,30
Bacteria*Thermotogota*Thermotogae,19.059301109479573,0.04470095327786444,0.3801241543360985,0.11759566648937736,0.9071718420355971,0.9657593218157181,0,30
Bacteria*Fibrobacterota*Fibrobacteria,19.059301109479573,0.03399471301022228,0.36842928127922814,0.09226930305916183,0.9270974868414568,0.9657593218157181,0,30
Bacteria*Acidobacteriota*Acidobacteriae,19.059301109479573,-0.03970184640639818,0.29323273278229156,-0.13539363777602045,0.8932050430008711,0.9657593218157181,0,30
Bacteria*Acidobacteriota*FFCH5909,22.889019042201,-0.462358513265373,0.3057047739317119,-1.5124347170602388,0.14088737456208866,0.7549773477933326,0,30
