Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia,0.0,-0.436,0.124,0.123,0.5104666666666666,17623.72839451469,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Brachyspirae,0.0,-0.673,0.463,0.226,0.52,9.061199235538233,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia,0.0,-0.196,0.332,0.094,0.46686666666666665,6522.4247323356785,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli,0.0,-0.167,0.508,0.142,0.5064666666666666,2067.3057682246103,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria,0.0,0.0,0.0,0.0,0.0,1104.3381522314987,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes,0.0,-0.251,0.406,0.121,0.4976,1567.1304345051603,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia,0.0,-0.426,0.541,0.192,0.5516666666666666,44.61193736999083,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria,0.0,-0.228,0.484,0.13,0.48966666666666664,991.2844012339878,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria,0.0,-0.425,0.344,0.138,0.4839333333333333,362.85433663661206,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae,0.0,-0.629,0.292,0.186,0.5316666666666666,173.99063522996937,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia,0.0,-0.264,0.461,0.136,0.522,981.4209566398533,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Patescibacteria*Gracilibacteria,0.0,-0.467,0.611,0.195,0.5358666666666667,8.723333764046108,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Euryarchaeota*Methanobacteria,0.0,-0.482,0.449,0.169,0.5142,67.76199399641696,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Campilobacterota*Campylobacteria,0.0,-0.547,0.436,0.199,0.5534666666666667,19.609251638643762,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Patescibacteria*Saccharimonadia,0.0,-0.485,0.616,0.199,0.504,8.50795388600559,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota*Desulfovibrionia,0.0,-0.387,0.428,0.135,0.45366666666666666,269.61674219739825,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Vampirivibrionia,0.0,-0.848,0.308,0.247,0.5427333333333333,44.701250528117875,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Synergistota*Synergistia,0.0,-0.653,0.415,0.213,0.55,8.516466095286889,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Cyanobacteriia,0.0,-0.416,0.534,0.18,0.5128666666666667,64.97492831449833,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Spirochaetia,0.0,-0.417,0.627,0.234,0.5164,8.524986821034984,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Lentisphaeria,0.0,-0.644,0.427,0.192,0.5308666666666667,18.934799591031975,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Thermoplasmatota*Thermoplasmata,0.0,-0.641,0.542,0.236,0.5696,0.7505128375303889,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Incertae_Sedis,0.0,-0.664,0.563,0.257,0.49046666666666666,8.364541132191432,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Thermoleophilia,0.0,-0.614,0.469,0.2,0.5011333333333333,29.636344926352272,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Thermotogota*Thermotogae,0.0,-0.487,0.514,0.192,0.5375333333333333,9.374577247584453,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fibrobacterota*Fibrobacteria,0.0,-0.529,0.607,0.219,0.5166666666666667,8.627902924518029,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Acidobacteriota*Acidobacteriae,0.0,-0.601,0.542,0.203,0.498,8.980014322524381,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Acidobacteriota*FFCH5909,0.0,-0.71,0.435,0.229,0.5213333333333333,9.016006315811737,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Abditibacteriota*Abditibacteria,0.0,-0.634,0.457,0.223,0.5230666666666667,0.44619530342723246,0.0
