,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia,-0.027320268519708327,0.457472096923487,-0.059720076270089295,0.9523785817207372,0.9906184911601573,0,0,0,False
Bacteria*Spirochaetota*Brachyspirae,-0.5384762831268265,0.5050543332595546,-1.066174959140675,0.2863445595452922,0.9042681932162637,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia,-0.4943982191406896,0.3895730855692407,-1.2690769394869241,0.20441362414507377,0.9042681932162637,0,0,0,False
Bacteria*Firmicutes*Bacilli,0.03227851355606199,0.3516502007211284,0.09179154025753007,0.9268636655822571,0.9906184911601573,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria,0.3188789270247377,0.29759057095570157,1.0715357210434098,0.28392861806047515,0.9042681932162637,0,0,0,False
Bacteria*Firmicutes*Negativicutes,-0.23656607408534341,0.3239025243444151,-0.7303619339310728,0.4651689799704334,0.9042681932162637,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia,0.03744185637942974,0.6970687374782097,0.0537132916258494,0.957163592904246,0.9906184911601573,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria,-0.33497241126149463,0.9087626521506449,-0.3686027484390572,0.7124238466601679,0.9906184911601573,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria,-0.33106166063496,0.8546403798682359,-0.38736955149018515,0.6984826420101624,0.9906184911601573,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae,-0.06079033229138463,1.1557117533337669,-0.05259990833876076,0.9580506900062739,0.9906184911601573,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia,1.1184903926835876,0.5515940814762614,2.0277418308951223,0.04258660393319954,0.9042681932162637,0,0,0,False
Bacteria*Patescibacteria*Gracilibacteria,-0.21807509514893497,0.23007919812359345,-0.947826213440599,0.34321793334728373,0.9042681932162637,0,0,0,False
Archaea*Euryarchaeota*Methanobacteria,-0.5738694234975061,0.6689552463968377,-0.8578592164251826,0.39097020660623105,0.9042681932162637,0,0,0,False
Bacteria*Campilobacterota*Campylobacteria,-0.28761493970128504,0.44357472239630924,-0.6484024566312351,0.516724681837865,0.9042681932162637,0,0,0,False
Bacteria*Patescibacteria*Saccharimonadia,-0.4884046488743738,0.42382116140075016,-1.1523838197700464,0.2491633868665283,0.9042681932162637,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia,0.720476983332611,0.783101861868931,0.9200297156913136,0.3575572308348629,0.9042681932162637,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia,0.26042511465062035,0.6394927507583188,0.4072370083035419,0.6838339227958039,0.9906184911601573,0,0,0,False
Bacteria*Synergistota*Synergistia,0.2605415708712017,0.25792266931952107,1.0101538246273198,0.31242159805078373,0.9042681932162637,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia,0.823279116070235,0.4578171095242278,1.7982707481723479,0.07213411289584895,0.9042681932162637,0,0,0,False
Bacteria*Spirochaetota*Spirochaetia,-0.15153278713078733,0.18988947615898327,-0.7980051880490621,0.42486747944301306,0.9042681932162637,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria,-0.16031283010227293,0.2288247692407481,-0.7005921196127448,0.48355759773554635,0.9042681932162637,0,0,0,False
Archaea*Thermoplasmatota*Thermoplasmata,0.09107478490615306,0.3191557615361127,0.2853615565885621,0.7753671569752322,0.9906184911601573,0,0,0,False
Bacteria*Firmicutes*Incertae_Sedis,0.1702459551429943,0.1958321045436937,0.8693465024015473,0.3846576348815616,0.9042681932162637,0,0,0,False
Bacteria*Actinobacteriota*Thermoleophilia,-0.00221949802844947,0.18876093752684592,-0.01175824859491286,0.9906184911601573,0.9906184911601573,0,0,0,False
Bacteria*Thermotogota*Thermotogae,-0.00221949802844947,0.18876093752684592,-0.01175824859491286,0.9906184911601573,0.9906184911601573,0,0,0,False
Bacteria*Fibrobacterota*Fibrobacteria,-0.00221949802844947,0.18876093752684592,-0.01175824859491286,0.9906184911601573,0.9906184911601573,0,0,0,False
Bacteria*Acidobacteriota*Acidobacteriae,0.13782096023947316,0.20719786442808763,0.6651659302565197,0.5059443690423523,0.9042681932162637,0,0,0,False
Bacteria*Acidobacteriota*FFCH5909,-0.00221949802844947,0.18876093752684592,-0.01175824859491286,0.9906184911601573,0.9906184911601573,0,0,0,False
