,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes*Clostridia,638456.2726432158,-0.007346502264544905,0.6712778362783453,-0.010944056048796282,0.9913713855456346,0.9913713855456346,0,21
Bacteria*Spirochaetota*Brachyspirae,34.73407418567103,-0.8768765570155611,0.8450953539405994,-1.0376066474945922,0.31125387177754016,0.7842672890904179,0,21
Bacteria*Bacteroidota*Bacteroidia,279904.55325663864,-0.6815241414075477,0.5374306613318267,-1.2681154806438428,0.21863617792580797,0.7842672890904179,0,21
Bacteria*Firmicutes*Bacilli,41096.478614880885,0.07853008481664461,0.4707746328860402,0.1668103575063576,0.8691150289968574,0.9820402021221661,0,21
Bacteria*Proteobacteria*Gammaproteobacteria,8593.326234205777,0.4933166470176325,0.3809292408361743,1.2950348624714596,0.20936565585878164,0.7842672890904179,0,21
Bacteria*Firmicutes*Negativicutes,22597.231380671605,-0.3097005577639177,0.4366948579082823,-0.7091921330316263,0.4860050860267515,0.9072094939166029,0,21
Bacteria*Fusobacteriota*Fusobacteriia,37.126723283707214,0.23625701161653814,1.1841362433807212,0.1995184362755606,0.8437764961933473,0.9820402021221661,0,21
Bacteria*Actinobacteriota*Actinobacteria,4434.597083412122,-0.3430797472688684,1.5117794207162245,-0.22693770173583264,0.8226667820586326,0.9820402021221661,0,21
Bacteria*Proteobacteria*Alphaproteobacteria,1291.5783656295278,-0.6099735161324025,1.4410623175735628,-0.4232804568503782,0.6763941145461239,0.9820402021221661,0,21
Bacteria*Verrucomicrobiota*Verrucomicrobiae,238.1944159297992,-0.1339646257364583,1.9901007526180037,-0.06731549925812855,0.9469673377606602,0.9820402021221661,0,21
Bacteria*Actinobacteriota*Coriobacteriia,2790.674036664459,1.6683580074931732,0.810305360697293,2.0589250527202476,0.052118544512715505,0.7333691631098277,0,21
Bacteria*Patescibacteria*Gracilibacteria,25.15998259438754,-0.4116558374419855,0.3973773911366473,-1.0359317027687371,0.31201647821774586,0.7842672890904179,0,21
Archaea*Euryarchaeota*Methanobacteria,65.06752352067633,-1.0411154580493518,1.1910957295956688,-0.8740821011949816,0.3919601875902058,0.8442219425019817,0,21
Bacteria*Campilobacterota*Campylobacteria,36.24264450099908,-0.4965785050718745,0.8117415874609456,-0.6117445659340027,0.5472732597872559,0.9577282046276979,0,21
Bacteria*Patescibacteria*Saccharimonadia,40.216483621855424,-0.8001368564728805,0.7578991516679523,-1.0557299803172668,0.30308658224828167,0.7842672890904179,0,21
Bacteria*Desulfobacterota*Desulfovibrionia,90.14577298927699,1.4024927057275824,1.4246853845743805,0.984422751095023,0.3361145524673219,0.7842672890904179,0,21
Bacteria*Cyanobacteria*Vampirivibrionia,49.00732986068771,0.445206685203594,1.1668497653820935,0.3815458496988323,0.7066314989073254,0.9820402021221661,0,21
Bacteria*Synergistota*Synergistia,18.540507558972973,0.5495143887871291,0.41822297774278133,1.3139268238032957,0.203044009428907,0.7842672890904179,0,21
Bacteria*Cyanobacteria*Cyanobacteriia,18.540507558972973,1.6443379828964233,0.799623284909976,2.0563908204368357,0.05238351165070198,0.7333691631098277,0,21
Bacteria*Spirochaetota*Spirochaetia,23.47788814495186,-0.31182755597432626,0.3167355118578754,-0.984504560746092,0.3360752844692796,0.7842672890904179,0,21
Bacteria*Verrucomicrobiota*Lentisphaeria,23.696511687374418,-0.32519961199043007,0.39853125524478644,-0.815995251842131,0.42366249050010696,0.8473249810002139,0,21
Archaea*Thermoplasmatota*Thermoplasmata,23.89497389005201,0.17844292665328973,0.5791472186805772,0.3081132411545054,0.7610315392279641,0.9820402021221661,0,21
Bacteria*Firmicutes*Incertae_Sedis,18.540507558972973,0.41496957595807343,0.3160727932236987,1.312892424955985,0.20338624085403673,0.7842672890904179,0,21
Bacteria*Actinobacteriota*Thermoleophilia,18.540507558972983,0.02879434746320196,0.26104389289149754,0.11030462020871824,0.9132151608384724,0.9820402021221661,0,21
Bacteria*Thermotogota*Thermotogae,18.540507558972983,0.02879434746320196,0.26104389289149754,0.11030462020871824,0.9132151608384724,0.9820402021221661,0,21
Bacteria*Fibrobacterota*Fibrobacteria,18.540507558972983,0.02879434746320196,0.26104389289149754,0.11030462020871824,0.9132151608384724,0.9820402021221661,0,21
Bacteria*Acidobacteriota*Acidobacteriae,18.540507558972973,0.3651979582033014,0.34915244446964416,1.0459556104727552,0.3074722438670107,0.7842672890904179,0,21
Bacteria*Acidobacteriota*FFCH5909,18.540507558972983,0.02879434746320196,0.26104389289149754,0.11030462020871824,0.9132151608384724,0.9820402021221661,0,21
