,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia,0.07942863193523694,0.26646601474443743,0.2980816597246574,0.7656408390743761,0.9539553764852138,0,0,0,False
Bacteria*Spirochaetota*Brachyspirae,-0.8102761956444309,0.8484443645014327,-0.9550139402724062,0.33957064735668646,0.9539553764852138,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia,0.29489310525768747,0.3350068674689801,0.8802598808963014,0.3787185409086449,0.9539553764852138,0,0,0,False
Bacteria*Firmicutes*Bacilli,0.4061263237249562,0.3723286059939901,1.0907738948522039,0.27537238597169716,0.9539553764852138,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria,0.32037104986175824,0.34520993780135056,0.9280470078648613,0.35338318604386143,0.9539553764852138,0,0,0,False
Bacteria*Firmicutes*Negativicutes,0.43983726149841007,0.3934584792832128,1.1178746542702251,0.26362053140858877,0.9539553764852138,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia,0.29995945417019404,0.6436461164619349,0.46603163834661865,0.6411928543292855,0.9539553764852138,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria,-0.017593997531512702,0.7962511312064459,-0.022096040861951462,0.9823713446408732,0.9823713446408732,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria,-0.9986118530691823,0.7420985684321486,-1.3456593174394287,0.17841241220723242,0.9539553764852138,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae,-0.16108115631497233,1.0252612877384868,-0.15711229736400548,0.8751563460513909,0.9539553764852138,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia,0.9399528340789834,0.5165258378907385,1.8197595650148544,0.06879562791756852,0.9539553764852138,0,0,0,False
Bacteria*Patescibacteria*Gracilibacteria,0.012642095068619257,0.1256945628161551,0.10057789919767644,0.9198855416107419,0.9539553764852138,0,0,0,False
Archaea*Euryarchaeota*Methanobacteria,-0.45124708536671143,0.5474852853650959,-0.8242177414243982,0.40981584807913857,0.9539553764852138,0,0,0,False
Bacteria*Campilobacterota*Campylobacteria,-0.2974970113427912,0.3098291580749223,-0.960196945927378,0.33695610364774836,0.9539553764852138,0,0,0,False
Bacteria*Patescibacteria*Saccharimonadia,0.012642095068619257,0.1256945628161551,0.10057789919767644,0.9198855416107419,0.9539553764852138,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia,0.19674396785713974,0.7305465322472765,0.269310658763822,0.787690630586737,0.9539553764852138,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia,-1.0151089039218337,0.5499775654979965,-1.8457278398304624,0.06493173277235946,0.9539553764852138,0,0,0,False
Bacteria*Synergistota*Synergistia,-0.17923999601421797,0.2279015042513717,-0.7864800919283057,0.43158627775086433,0.9539553764852138,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia,-0.050464581563492546,0.3571581779350479,-0.14129476708403954,0.8876370834055949,0.9539553764852138,0,0,0,False
Bacteria*Spirochaetota*Spirochaetia,0.012642095068619257,0.1256945628161551,0.10057789919767644,0.9198855416107419,0.9539553764852138,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria,0.09576674829560161,0.29879427563803673,0.32051065265927214,0.7485812563044734,0.9539553764852138,0,0,0,False
Archaea*Thermoplasmatota*Thermoplasmata,0.012642095068619257,0.1256945628161551,0.10057789919767644,0.9198855416107419,0.9539553764852138,0,0,0,False
Bacteria*Firmicutes*Incertae_Sedis,-0.21115601703556,0.22285160962504985,-0.9475184737989203,0.3433746471638851,0.9539553764852138,0,0,0,False
Bacteria*Actinobacteriota*Thermoleophilia,-0.16064470007136708,0.23709434100017915,-0.6775560285145975,0.4980532340408742,0.9539553764852138,0,0,0,False
Bacteria*Thermotogota*Thermotogae,0.012642095068619257,0.1256945628161551,0.10057789919767644,0.9198855416107419,0.9539553764852138,0,0,0,False
Bacteria*Fibrobacterota*Fibrobacteria,0.012642095068619257,0.1256945628161551,0.10057789919767644,0.9198855416107419,0.9539553764852138,0,0,0,False
Bacteria*Acidobacteriota*Acidobacteriae,0.012642095068619257,0.1256945628161551,0.10057789919767644,0.9198855416107419,0.9539553764852138,0,0,0,False
Bacteria*Acidobacteriota*FFCH5909,-0.08768897195854206,0.1822206449566818,-0.4812241334091854,0.6303572104351506,0.9539553764852138,0,0,0,False
