,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes*Clostridia,726830.0114388376,0.1185117219832016,0.37928174739179316,0.3124635519588569,0.7577698723126559,0.9356177031309186,0,21
Bacteria*Spirochaetota*Brachyspirae,47.56147645527003,-1.297162037163647,1.4297303873195781,-0.9072773780765289,0.37455404319928287,0.9356177031309186,0,21
Bacteria*Bacteroidota*Bacteroidia,205561.07418229862,0.42938866148181476,0.4853724169024987,0.8846581439918744,0.3863582024474672,0.9356177031309186,0,21
Bacteria*Firmicutes*Bacilli,28383.02833898205,0.5907659382534195,0.5347148004235052,1.1048243620440665,0.28173395061104345,0.9356177031309186,0,21
Bacteria*Proteobacteria*Gammaproteobacteria,7724.9695121429295,0.46696422676686655,0.48863056744980404,0.9556590558875275,0.3501172949053204,0.9356177031309186,0,21
Bacteria*Firmicutes*Negativicutes,18685.27933469276,0.6393785343430216,0.5603665855228231,1.1410004644486076,0.26671507466325045,0.9356177031309186,0,21
Bacteria*Fusobacteriota*Fusobacteriia,27.8559049436924,0.4498364209527457,1.0919358077500783,0.41196233126526793,0.6845417706923618,0.9356177031309186,0,21
Bacteria*Actinobacteriota*Actinobacteria,6089.117540764178,-0.03026303398300355,1.3211791028908881,-0.02290607981672177,0.9819414522233894,0.9819414522233894,0,21
Bacteria*Proteobacteria*Alphaproteobacteria,600.5707062404214,-1.7685655891639593,1.3412580537914485,-1.3185871161515894,0.2015077252847929,0.9356177031309186,0,21
Bacteria*Verrucomicrobiota*Verrucomicrobiae,325.51451386295173,-0.297575173466575,1.8028792025390732,-0.16505552509978869,0.8704788203908509,0.9356177031309186,0,21
Bacteria*Actinobacteriota*Coriobacteriia,5051.784633814623,1.3618113109912493,0.7307092049462173,1.8636843518229436,0.07640979344043394,0.9356177031309186,0,21
Bacteria*Patescibacteria*Gracilibacteria,19.05930110947953,0.022136246675139734,0.1779827394295814,0.124372996764093,0.9022027851619573,0.9356177031309186,0,21
Archaea*Euryarchaeota*Methanobacteria,48.430801669764506,-0.7679730144194211,1.0103147847438225,-0.7601324122106655,0.45562536556098243,0.9356177031309186,0,21
Bacteria*Campilobacterota*Campylobacteria,28.462020729503404,-0.556406628769797,0.5733190518165769,-0.9705008528964937,0.3428430938439363,0.9356177031309186,0,21
Bacteria*Patescibacteria*Saccharimonadia,19.05930110947953,0.022136246675139734,0.1779827394295814,0.124372996764093,0.9022027851619573,0.9356177031309186,0,21
Bacteria*Desulfobacterota*Desulfovibrionia,237.18641571097956,0.38041072145714716,1.340965746071516,0.2836841452301043,0.7794304699767283,0.9356177031309186,0,21
Bacteria*Cyanobacteria*Vampirivibrionia,69.96644221978299,-1.854031668421273,1.0212697302086362,-1.8154182128187732,0.08376798062610794,0.9356177031309186,0,21
Bacteria*Synergistota*Synergistia,25.23326630592995,-0.38269550291882487,0.4284999302925729,-0.8931051696030068,0.3819217693045315,0.9356177031309186,0,21
Bacteria*Cyanobacteria*Cyanobacteriia,31.740072984624046,-0.178888249488531,0.6804349106236409,-0.26290280921149983,0.7951875988849431,0.9356177031309186,0,21
Bacteria*Spirochaetota*Spirochaetia,19.05930110947953,0.022136246675139734,0.1779827394295814,0.124372996764093,0.9022027851619573,0.9356177031309186,0,21
Bacteria*Verrucomicrobiota*Lentisphaeria,25.083450895222647,0.15615835005528128,0.5646324145376932,0.27656639263819066,0.7848168393823983,0.9356177031309186,0,21
Archaea*Thermoplasmatota*Thermoplasmata,19.05930110947953,0.022136246675139734,0.1779827394295814,0.124372996764093,0.9022027851619573,0.9356177031309186,0,21
Bacteria*Firmicutes*Incertae_Sedis,26.075301734428788,-0.4300524828833686,0.4150151517215719,-1.0362332100392446,0.3118791038100902,0.9356177031309186,0,21
Bacteria*Actinobacteriota*Thermoleophilia,24.75051790613966,-0.35482724966294493,0.4622800144999307,-0.7675591384731993,0.4512937558053194,0.9356177031309186,0,21
Bacteria*Thermotogota*Thermotogae,19.05930110947953,0.022136246675139734,0.1779827394295814,0.124372996764093,0.9022027851619573,0.9356177031309186,0,21
Bacteria*Fibrobacterota*Fibrobacteria,19.05930110947953,0.022136246675139734,0.1779827394295814,0.124372996764093,0.9022027851619573,0.9356177031309186,0,21
Bacteria*Acidobacteriota*Acidobacteriae,19.05930110947953,0.022136246675139734,0.1779827394295814,0.124372996764093,0.9022027851619573,0.9356177031309186,0,21
Bacteria*Acidobacteriota*FFCH5909,22.889019042200964,-0.24202417011171984,0.35966081077888384,-0.6729233846400743,0.5083341615807593,0.9356177031309186,0,21
