Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia,0.0,-0.108,0.771,0.233,0.5853333333333334,20705.184320467502,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Brachyspirae,0.0,-0.815,0.626,0.324,0.521,10.403469935672682,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia,0.0,-0.123,0.877,0.278,0.6412,6940.571495465079,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli,0.0,-0.258,0.657,0.187,0.48793333333333333,1784.9387825941224,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria,0.0,0.0,0.0,0.0,0.0,968.8786754909472,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes,0.0,-0.32,0.615,0.19,0.5013333333333333,1421.0330671443414,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia,0.0,-0.649,0.684,0.269,0.5154666666666666,22.35699836865531,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria,0.0,-0.446,0.476,0.159,0.47886666666666666,778.3212822777975,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria,0.0,-0.723,0.358,0.219,0.5154,277.0337661343399,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae,0.0,-0.636,0.483,0.203,0.5277333333333334,195.02727062801273,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia,0.0,-0.285,0.707,0.212,0.5351333333333333,888.1488902699369,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Patescibacteria*Gracilibacteria,0.0,-0.766,0.793,0.274,0.5260666666666667,0.9334567931687842,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Euryarchaeota*Methanobacteria,0.0,-0.783,0.569,0.256,0.504,34.81817073826806,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Campilobacterota*Campylobacteria,0.0,-0.997,0.584,0.415,0.5260666666666667,8.750749887799465,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Patescibacteria*Saccharimonadia,0.0,-0.867,0.574,0.29,0.5316,0.9428381899059819,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota*Desulfovibrionia,0.0,-0.411,0.593,0.181,0.4875333333333333,238.68373668548819,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Vampirivibrionia,0.0,-1.232,0.542,0.385,0.5441333333333334,36.676616454380245,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Synergistota*Synergistia,0.0,-0.884,0.798,0.354,0.5302,9.422867032377752,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Cyanobacteriia,0.0,-0.887,0.59,0.274,0.5218666666666667,35.13294865077071,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Spirochaetia,0.0,-0.848,0.681,0.309,0.5282666666666667,0.35350395632544296,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Lentisphaeria,0.0,-0.76,0.589,0.258,0.515,21.65290007557655,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Thermoplasmatota*Thermoplasmata,0.0,-0.808,0.891,0.289,0.5012666666666666,0.6637427682084526,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Incertae_Sedis,0.0,-1.065,0.501,0.3,0.5404666666666667,10.217882772128828,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Thermoleophilia,0.0,-0.819,0.626,0.289,0.5504666666666667,10.289658874807598,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Thermotogota*Thermotogae,0.0,-0.759,0.726,0.277,0.5232666666666667,0.6345364149922116,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fibrobacterota*Fibrobacteria,0.0,-0.812,0.71,0.297,0.5180666666666667,0.7277042219742887,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Acidobacteriota*Acidobacteriae,0.0,-0.831,0.742,0.333,0.5202,0.6163991208270486,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Acidobacteriota*FFCH5909,0.0,-1.003,0.638,0.322,0.5412666666666667,9.975572934410906,0.0
