,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,-0.18463889493069313,0.37860565701827104,-0.48768128924651194,0.6257756069122029,0.9170708336681632,0,0,0,False
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae,-0.5600266701788724,0.5107283398061314,-1.0965255430929373,0.2728488513964629,0.9170708336681632,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,0.02701168212541385,0.6915332648761595,0.039060568012228784,0.9688420991284052,0.9871221387346015,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,-0.010799703105508804,0.5569619269806493,-0.019390379453861704,0.9845296850508041,0.9937308970606246,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,0.20894235511693518,0.4723957539072667,0.4423036265435008,0.658269507020561,0.9170708336681632,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,0.6696726900587525,1.1350508628431244,0.5899935518143455,0.5551949725490414,0.9170708336681632,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,0.13040470577248287,0.4257253502039516,0.3063118174898678,0.7593672423375794,0.9170708336681632,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae,-0.37536441441654483,0.48946888552629936,-0.7668810531499582,0.44315223963533146,0.9170708336681632,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,1.1325257561433606,0.619909813895071,1.8269201918701312,0.06771176982423625,0.9170708336681632,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,0.334958046701215,0.6134940622576125,0.5459841705208919,0.5850768183263031,0.9170708336681632,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,-0.15515995054044107,0.6085684415847316,-0.2549589165951485,0.798754830597072,0.9223529009234319,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,-0.03747795054120687,0.672204229358144,-0.05575381543938334,0.95553792761676,0.9871221387346015,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,0.07158073295989416,0.742922780828865,0.09635016559868158,0.9232424699941795,0.9735353056695969,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,-0.43416303221478864,0.9511361192478327,-0.4564678214072333,0.6480536052488091,0.9170708336681632,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,0.8441083934871626,0.9999932235597623,0.8441141135760071,0.3986056417345784,0.9170708336681632,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae,-0.44378370303442183,0.6192697493287764,-0.716624223152248,0.47360599389421265,0.9170708336681632,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,-0.7627608593639551,0.6862911869357322,-1.1114245292434215,0.26638565885334564,0.9170708336681632,0,0,0,False
