,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,585255.0414000623,-0.3460592236712392,0.46486618404395863,-0.7444276128257056,0.4615870924132649,0.8364059212294269,0,35
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae,49.71340445021746,-1.0197474148598775,0.6079437762993994,-1.6773712547353614,0.10237998315458217,0.8364059212294269,0,35
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,137945.687314534,-0.02838833823264862,0.8094425098260004,-0.03507146942251778,0.9722220126373462,0.9894204922403204,0,35
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,189786.15291315116,-0.09028397023363689,0.6293358900938312,-0.1434591156404189,0.8867503862471254,0.9597959545060478,0,35
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,14233.150902192021,0.22288299230778322,0.6390879977444124,0.34875164780816276,0.7293650824193361,0.9597959545060478,0,35
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,302.8098330757334,1.1956345212710249,1.8191731480475135,0.6572406384484503,0.5153253112719529,0.853507546794172,0,35
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,39.73345894144852,0.16214684691864875,0.8571376932197954,0.1891724610891304,0.8510504025859832,0.9597959545060478,0,35
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae,47.901293688421134,-0.6327615159386489,0.6820579025908581,-0.9277240444470295,0.35990462845888516,0.8364059212294269,0,35
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,73.13994452838561,1.9163315009172814,1.308154895372496,1.4649117682440869,0.15187080414272075,0.8364059212294269,0,35
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,5212.1322592414335,0.4108635230340564,1.0139067450449661,0.40522811889947025,0.6877762092028785,0.9597959545060478,0,35
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,13054.793563931295,-0.2391255933284365,0.942203220652211,-0.25379407338780824,0.8011396764986934,0.9597959545060478,0,35
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,127.42555535800936,-0.02888105282767154,1.1488231780636506,-0.0251396850090984,0.9800863366531476,0.9894204922403204,0,35
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,5207.472261129696,0.09568121171851005,1.1912783616579024,0.08031809759840722,0.936441776172992,0.9762697291835094,0,35
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,1794.91842323328,-0.7555008082535316,1.6451362566061647,-0.45923296943931724,0.6489064565104473,0.9597959545060478,0,35
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,620.285240054028,1.4209713873220329,1.6593273067741294,0.8563538860121092,0.3976273174542173,0.8364059212294269,0,35
Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae,81.00649045920812,-0.7924022534929236,0.904950415649818,-0.8756305757635605,0.38720083071425515,0.8364059212294269,0,35
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,10681.994129932033,-1.2444173362173088,1.1488324007262696,-1.0832018103168157,0.28612496155029954,0.8364059212294269,0,35
