Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,0.49895122436119294,0.154,0.848,0.214,0.9431333333333334,12721.326875870942,0.20561431419660073
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae,0.0,-1.192,0.562,0.366,0.5442666666666667,3.9672926948719276,-0.5142201428347685
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,0.5311983501262508,0.108,1.019,0.26,0.9357333333333333,4020.985381529693,0.25213708262077233
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,0.5392512980105567,0.137,0.985,0.25,0.9477333333333333,5127.303770727343,0.26375503059799826
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,0.0,-0.157,0.807,0.258,0.5764,668.5317710111339,-0.514220142834769
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,0.0,-0.332,1.035,0.334,0.6165333333333334,105.11804126442169,-0.514220142834769
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,0.0,-0.661,0.925,0.31,0.5416666666666666,16.29867671247406,-0.514220142834769
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae,0.0,-0.934,0.805,0.335,0.5487333333333333,11.990131317524606,-0.5142201428347688
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,0.0,-0.336,1.209,0.378,0.6096666666666667,71.17089247185844,-0.514220142834769
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,0.0,-0.193,0.824,0.242,0.5328666666666667,434.4513285276097,-0.514220142834769
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,0.0,-0.237,0.735,0.207,0.4670666666666667,595.9065868053992,-0.514220142834769
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,0.0,-0.534,0.762,0.249,0.5236,70.11129592623348,-0.514220142834769
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,0.0,-0.27,0.781,0.235,0.5368,397.8535295060575,-0.5142201428347688
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,0.0,-0.578,0.493,0.185,0.44553333333333334,207.28277445712314,-0.5142201428347692
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,0.0,-0.161,1.118,0.342,0.6287333333333334,169.03130276508642,-0.5142201428347688
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae,0.0,-0.721,0.706,0.258,0.47786666666666666,36.63792555422826,-0.5142201428347688
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,0.0,-0.516,0.485,0.16,0.3942,456.2696266257375,-0.5142201428347688
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,0.0,-0.529,0.809,0.254,0.5006666666666667,99.29387836179822,-0.5142201428347688
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Staphylococcales*Gemellaceae,0.0,-1.074,0.739,0.357,0.5444666666666667,17.726911723335846,-0.5142201428347692
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,0.3780359004168546,-0.177,0.993,0.319,0.6507333333333334,319.93563074899816,0.03117037597462105
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,0.6207680655634061,-0.029,1.29,0.408,0.8177333333333333,318.25469401820317,0.3813588668957917
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,0.0,-0.922,0.742,0.339,0.603,12.454523885827413,-0.5142201428347688
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.0,-0.244,1.129,0.344,0.6069333333333333,58.737826393707735,-0.514220142834769
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,0.0,-0.442,0.526,0.169,0.4216,502.242927133429,-0.5142201428347688
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,0.0,-0.612,0.491,0.197,0.4573333333333333,252.92270323427238,-0.5142201428347692
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae,0.0,-0.425,1.031,0.328,0.5751333333333334,38.0950335734584,-0.514220142834769
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,0.0,-0.272,0.874,0.261,0.5044666666666666,198.16181040838816,-0.5142201428347688
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Porphyromonadaceae,0.0,-0.856,0.794,0.299,0.49666666666666665,12.122750832103486,-0.5142201428347692
