,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,-0.5185184348477454,0.37760671585893063,-1.3731705848194122,0.1696993219020695,0.7695248898006042,0,0,0,False
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae,-0.8438137075803144,0.8344541044289767,-1.0112164385095121,0.31191284969286465,0.7695248898006042,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,-0.5770185472349149,0.5890251655933467,-0.9796161198879556,0.3272756448083871,0.7695248898006042,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,-0.6002160757020734,0.5484587912480117,-1.0943685930100393,0.27379335268470884,0.7695248898006042,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,1.1834277582719137,0.6592153972089805,1.7952064883228913,0.07262080710691494,0.7695248898006042,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,1.897017181763997,1.1434950462506968,1.658964057591641,0.09712303516032438,0.7695248898006042,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,0.3601245440969886,0.6036340493070855,0.5965941525505019,0.5507783762161085,0.8650881823151186,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae,0.3335823131272903,0.4592645201123021,0.7263402647470367,0.46763020130783456,0.8650881823151186,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,1.773201127825754,0.6374471353963909,2.781722639200668,0.0054071228869305215,0.29198463589424817,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,0.8372273076186458,0.8424962306299071,0.993746057466249,0.32034651372304046,0.7695248898006042,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,-0.9291403432510553,0.5207309672579266,-1.7843001505052356,0.07437490581090815,0.7695248898006042,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,0.73734879244778,0.6885564695937518,1.0708617593598613,0.2842315925289814,0.7695248898006042,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,0.22579069042385974,0.8115583230185823,0.2782186862233557,0.7808444913877356,0.8948840120441589,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,0.7084163629347697,1.0162129084053013,0.6971141156300176,0.48573138104603414,0.8650881823151186,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,2.183211011907828,0.8935541823741069,2.4432888961553503,0.014554081543939763,0.3929602016863736,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae,-0.03186513725352311,0.3673816128230037,-0.08673579771362978,0.9308815211689672,0.9574781360595089,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,-0.8922972350572715,0.5693627188612641,-1.567185917690365,0.11707124110732588,0.7695248898006042,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,-0.8757183074868609,0.897513649664664,-0.975715865506952,0.329205287785065,0.7695248898006042,0,0,0,False
Bacteria*Firmicutes*Bacilli*Staphylococcales*Gemellaceae,0.6825015051426987,0.4237440690920672,1.6106455639722737,0.10725699675192349,0.7695248898006042,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,1.370142956906585,0.8839752770974912,1.5499788200020843,0.12114659966833226,0.7695248898006042,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,1.7553049161927758,0.8180815292758048,2.145635677347018,0.031902056683444154,0.5742370203019947,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,0.6806564229282741,0.5983654547878667,1.1375262684066232,0.2553183497289733,0.7695248898006042,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,1.2251115519927473,0.4947073309927124,2.476437026987972,0.013270103242843358,0.3929602016863736,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,-1.048305675963452,0.5269074884818149,-1.9895440829355986,0.046641181111488975,0.7196067942915442,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,-0.6735004110812274,0.9540544735473092,-0.7059349646745618,0.48022858249881756,0.8650881823151186,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae,0.16145493128550706,0.5205864040894057,0.3101405069690962,0.7564541097779435,0.8948840120441589,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,-0.5711079204658972,0.8336497831412121,-0.6850693564795868,0.4933001560796286,0.8650881823151186,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Porphyromonadaceae,0.318518689846315,0.36377572272788733,0.8755908378321726,0.3812525080385155,0.8235054173631936,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,-0.3015348408516654,0.6707894113144235,-0.4495223624070073,0.6530548800389145,0.8948840120441589,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales*Flavobacteriaceae,0.43855474486213825,0.3398064684585202,1.2906015204818626,0.19684188850658438,0.7695248898006042,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Leptotrichiaceae,0.2966197738265401,0.3106752323225018,0.9547583552416202,0.3396999117704065,0.7695248898006042,0,0,0,False
Archaea*Euryarchaeota*Methanobacteria*Methanobacteriales*Methanobacteriaceae,0.015058732065073108,0.6227104842625684,0.024182557457509475,0.9807069911949199,0.9898724770939378,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales*Mitochondria,-0.7020064086222096,0.5240250450776661,-1.3396428571809287,0.18036148345586214,0.7695248898006042,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,-1.188002225653408,0.7485451936026675,-1.58708149595575,0.11249418819397447,0.7695248898006042,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,-0.5114100546587902,0.7072690629859066,-0.7230770882296894,0.46963252472844086,0.8650881823151186,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,-0.8722690643763611,0.8679803438984562,-1.00494103410066,0.31492524406570566,0.7695248898006042,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,-0.8674347962462918,0.6029782293642939,-1.4385839388609576,0.1502684396011987,0.7695248898006042,0,0,0,False
