,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,583816.3512930225,-0.8240895334925299,0.6042241611941411,-1.3638804708899164,0.18275173722393367,0.7961708560589651,0,30
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae,59.89928524787099,-1.4252082226714593,1.0573415060255205,-1.3479166518570962,0.1877761452969257,0.7961708560589651,0,30
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,159163.3257967667,-0.988374322228773,1.0802760236443543,-0.9149275746160253,0.3675254285505436,0.7965456813769838,0,30
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,173466.6743034842,-1.0210510983064267,1.0189380152041798,-1.0020738092707469,0.3243225333146531,0.7965456813769838,0,30
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,5468.268964888998,1.7653798570129888,0.9676115063522367,1.824471748654819,0.0780551827456694,0.718471498051708,0,30
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,154.1957429342048,3.131574195512645,2.0068453855272343,1.5604461699424463,0.1291428585199773,0.718471498051708,0,30
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,38.908062814040804,0.5482737461357149,1.1536197420377412,0.4752638379499732,0.63804111060089,0.8427513764747846,0,30
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae,31.956074477408105,0.4343710057479401,0.9461559119023655,0.45909030455095134,0.6494785019880347,0.8427513764747846,0,30
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,81.0811781378927,3.0590247757116145,1.2644455504126162,2.4192617663238942,0.021824582605597814,0.6905355570215929,0,30
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,3772.27993835025,1.3175108403122509,1.289018096179706,1.02210422353029,0.31490351746089384,0.7965456813769838,0,30
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,18545.170077223975,-1.502732741082101,0.9161334130105246,-1.6402990216718987,0.11138821192482126,0.718471498051708,0,30
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,73.41168624504961,1.3050865370982738,1.2939851531655882,1.0085792204845065,0.3212425342950873,0.7965456813769838,0,30
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,2789.535847348413,0.5569266833821818,1.2433823190132718,0.4479126611870674,0.6574342239743944,0.8427513764747846,0,30
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,1477.549775872814,1.286988599026309,1.646435240357752,0.7816818830643231,0.44052744289397694,0.7965456813769838,0,30
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,376.63966491641435,3.709410759388659,1.4185331926135558,2.6149622572837434,0.013828112564996938,0.6905355570215929,0,30
Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae,48.3711954586739,-0.2629825882481856,0.7707801563494723,-0.34119013843546475,0.735338623910983,0.8427513764747846,0,30
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,12906.666631032705,-1.600340775573403,1.0808090395768482,-1.4806878153054297,0.14911672601073184,0.718471498051708,0,30
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,409.9554549475832,-1.6508425363398374,1.529640653974679,-1.079235526363805,0.2890836758680472,0.7965456813769838,0,30
