Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,0.0,-0.565,0.078,0.179,0.6214666666666666,11532.548427321952,-0.006818334075419373
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae,0.0,-0.935,0.615,0.303,0.5460666666666667,6.779671263906418,-0.0068183340754196945
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,0.0,-0.604,0.166,0.178,0.48306666666666664,3572.170290696742,-0.0068183340754196945
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,0.0,-0.558,0.194,0.172,0.5182,3804.4572338967255,-0.0068183340754196945
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,0.0,-0.103,0.869,0.28,0.6311333333333333,830.4175234648026,-0.0068183340754196945
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,0.0,-0.17,1.15,0.365,0.6674,160.12081349219787,-0.006818334075419534
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,0.0,-0.647,0.774,0.251,0.4865333333333333,32.2309965283287,-0.0068183340754196945
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae,0.0,-0.681,0.771,0.267,0.5415333333333333,22.73552353283781,-0.006818334075419856
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,0.0,-0.174,1.159,0.372,0.6982,172.59168708999417,-0.0068183340754196945
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,0.0,-0.191,0.811,0.252,0.5918666666666667,657.1607193206196,-0.0068183340754196945
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,0.0,-0.66,0.275,0.195,0.4934,914.089615853314,-0.0068183340754196945
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,0.0,-0.354,0.945,0.293,0.5784,110.15942278590626,-0.006818334075419534
