Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,0.0,-0.056,0.63,0.207,0.6736,10108.0957663586,-0.15085670931437792
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae,0.0,-1.242,0.612,0.37,0.5679333333333333,5.8772674986004185,-0.15085670931437775
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,0.0,-0.134,0.727,0.226,0.5505333333333333,3096.6988710424557,-0.15085670931437792
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,0.5269160568693657,-0.002,0.943,0.278,0.9235333333333333,6700.97287221351,0.6093224728958233
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,0.0,-0.34,0.693,0.22,0.5146,822.2890230258033,-0.15085670931437792
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,0.5291793899450978,-0.153,1.286,0.427,0.7371333333333333,272.94527923241,0.6125877723000616
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,0.0,-1.018,0.658,0.321,0.5433333333333333,6.098799464896587,-0.15085670931437792
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae,0.0,-1.044,0.681,0.358,0.5867333333333333,6.123243518270863,-0.1508567093143781
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,0.0,-0.433,0.965,0.3,0.5562,79.76556880811914,-0.15085670931437775
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,0.0,-0.358,0.647,0.188,0.43753333333333333,520.6572432293528,-0.1508567093143774
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,0.0,-0.17,0.91,0.265,0.5782,792.420307849455,-0.15085670931437792
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,0.0,-0.487,0.767,0.234,0.4938666666666667,90.4766623420022,-0.15085670931437792
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,0.0,-0.185,0.887,0.272,0.5667333333333333,534.3718488455816,-0.15085670931437756
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,0.0,-0.432,0.753,0.226,0.5074,295.9208271722113,-0.15085670931437756
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,0.0,-0.44,0.752,0.237,0.5054,183.66105064676734,-0.15085670931437792
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae,0.0,-1.092,0.506,0.322,0.5452666666666667,31.471801133144655,-0.15085670931437792
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,0.0,-0.469,0.558,0.179,0.4709333333333333,636.5684432014498,-0.15085670931437792
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,0.0,-0.498,0.793,0.247,0.5130666666666667,134.70563857382655,-0.15085670931437775
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Staphylococcales*Gemellaceae,0.0,-0.997,0.777,0.348,0.5454,22.830376292521,-0.15085670931437792
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,0.0,-0.191,1.035,0.321,0.6320666666666667,277.5752153528032,-0.15085670931437792
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,0.5954012129616444,-0.094,1.363,0.441,0.7977333333333333,391.6987916333489,0.7081256679646598
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,0.0,-0.996,0.732,0.316,0.5286,14.283313142439045,-0.15085670931437756
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.0,-0.46,1.09,0.344,0.5560666666666667,65.89693580480359,-0.15085670931437792
