,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,-1.2990645470328734,0.5740738125480406,-2.2628876611997746,0.02364261520482552,0.4176862019519175,0,0,0,False
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae,-0.8521356648532518,0.8513485994453671,-1.000924492515049,0.3168633144246168,0.7381262540218253,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,-1.6406529202647702,0.9915108435431417,-1.654699926832806,0.09798538193053848,0.7381262540218253,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,-1.3518432445545465,0.9716395898559101,-1.3913011148043266,0.1641341359246934,0.7381262540218253,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,1.289337755985961,0.8783292419163823,1.4679435619982546,0.1421195539662216,0.7381262540218253,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,2.18213175949847,1.3386825855405247,1.6300591216082658,0.10308900225033713,0.7381262540218253,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,-0.0844216161365718,0.4975257767618598,-0.16968289901686867,0.865259523639807,0.8904612573380537,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae,0.9996068383981396,0.8826656975019195,1.132486332285464,0.257430027342614,0.7381262540218253,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,1.4850568840851344,0.8247929744531283,1.8005207731913433,0.07177844650671479,0.6916832117919789,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,-0.2467005125923243,1.016156876499236,-0.2427779787725619,0.8081773956684333,0.8862070467566786,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,-1.2388610073953628,0.8331111168065566,-1.4870297399752725,0.13700695638779786,0.7381262540218253,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,0.883128341108815,0.9453756269459882,0.9341560285002677,0.35022341397967216,0.7381262540218253,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,-0.08318862122184312,0.9935213098763221,-0.08373108900119998,0.933270238482476,0.9469478214814341,0,0,0,False
