,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,582526.2140670127,-1.024185197769234,0.6814575541742726,-1.5029332223196898,0.14929583306731767,0.6405565216963078,0,19
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae,62.84596950492583,-1.3966701640525094,1.5879505327551418,-0.8795426149889222,0.3900960466399219,0.6567699161662751,0,19
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,158759.54891418293,-1.5856686993046314,1.4099573599033894,-1.1246217399179232,0.2747569494731651,0.6405565216963078,0,19
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,173044.55715728583,-1.164912982820025,1.3795134368915776,-0.8444375760810955,0.40893221195258644,0.6567699161662751,0,19
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,5745.96026697347,2.755013599243219,1.2346336320614644,2.231442209008336,0.03789430903104405,0.5862499335161727,0,19
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,161.06425169232827,3.939279096204208,2.2777523456002005,1.7294589132192009,0.09994046485763619,0.6405565216963078,0,19
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,41.46011186323476,-0.18378909041211403,0.9500440328259016,-0.1934532338100522,0.8486571137505414,0.9016797243602608,0,19
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae,33.96782612673841,1.7892631050416161,1.3892913189228593,1.2878962681699195,0.213247661927104,0.6405565216963078,0,19
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,101.09098949136516,2.703114455749423,1.360792123665361,1.9864271763040853,0.061602642047019714,0.6405565216963078,0,19
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,3843.7292394522137,0.40639970490846145,1.7038131869362383,0.23852362924789955,0.8140286751619104,0.8895571089398194,0,19
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,18452.7674664369,-1.0202795204047619,1.155958759332849,-0.8826262288056079,0.388469106028687,0.6567699161662751,0,19
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,76.18111974608631,1.6825300523450808,1.6257406248211292,1.0349314193524566,0.31369455418630254,0.6405565216963078,0,19
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,3147.8768854647774,0.6001777797555364,1.7059006862331578,0.3518245725551609,0.7288417167060689,0.8307228168907883,0,19
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,1508.655877006275,1.6601825289533867,2.2044149099950876,0.7531170840053365,0.4606102633866336,0.7180101164556347,0,19
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,372.4088550907405,4.493866540552614,1.8907007227997878,2.3768259494278956,0.028126461418456716,0.5862499335161727,0,19
Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae,52.057903735571685,0.44191381921107203,1.1179902580033299,0.39527519676272155,0.6970425676020531,0.8031142626719308,0,19
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,12834.181009811447,-0.7912934258937264,1.0232389552980248,-0.7733222252697145,0.44884663516986467,0.7101155720597858,0,19
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,436.54421050828125,-3.1453919723025274,1.7886153987199924,-1.7585625029022454,0.09474872104852139,0.6405565216963078,0,19
Bacteria*Firmicutes*Bacilli*Staphylococcales*Gemellaceae,25.26463475093427,2.9929800930003583,1.3494920915060988,2.2178567120464168,0.0389510390691497,0.5862499335161727,0,19
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,223.05051265977062,1.2304033237088616,1.9333066928767144,0.6364242819012077,0.5320928784401041,0.7228495502002131,0,19
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,861.6355898928354,2.3106032220913453,1.8590839029928738,1.2428719426657324,0.22903512162602158,0.6405565216963078,0,19
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,36.97811966890833,1.8342802429387357,1.5038563546926906,1.2197177191923803,0.23749677294609003,0.6405565216963078,0,19
