,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae*Brachyspira,-0.56003021478005,0.5378061496179051,-1.0413235608739961,0.2977254054125873,0.8497986847998286,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.027008137524237016,0.6555717999884894,0.041197832982918466,0.9671381812368883,0.9929777509645915,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,0.23913994571179006,0.6678195481774518,0.35809066440841325,0.7202754651834978,0.8497986847998286,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,0.2460963242310725,0.49509442318683,0.49706947342892005,0.6191400605895885,0.8497986847998286,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,-0.1654282470468428,0.6988441206714313,-0.23671694753316896,0.812876386357949,0.8961629013536405,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,0.24038167772389205,1.0880149008796476,0.22093601616075867,0.8251422534388997,0.9022896998986342,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,0.2416151576129095,0.6414343481972272,0.3766794813716743,0.7064118130811428,0.8497986847998286,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,0.4431859924422646,0.31178461958590414,1.421449181909232,0.1551862171938927,0.8497986847998286,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae*Neisseria,-0.37536795901772224,0.5151837942985263,-0.7286097955173897,0.4662403848584563,0.8497986847998286,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,1.0260176921056803,0.8892383102274446,1.1538163395628456,0.24857547382751094,0.8497986847998286,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,-0.6087758561931106,0.6178689267840041,-0.9852831722122316,0.32448499616471843,0.8497986847998286,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,0.546072676414666,0.8861160827272997,0.6162541083036844,0.5377268220966979,0.8497986847998286,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,1.298558058599701,0.6066695838193564,2.1404700239370547,0.03231680080781017,0.8497986847998286,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,0.2631592927372368,0.9135064743520328,0.2880760017863044,0.7732885621058523,0.8667275966936427,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,0.197002856197237,0.8807562248453424,0.22367466801819083,0.8230104585532121,0.9022896998986342,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,0.2977878298498169,0.6792023400019989,0.438437579365437,0.6610691099478097,0.8497986847998286,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,0.32326660747179636,0.8003049154671734,0.40392930397421256,0.6862647067272892,0.8497986847998286,0,0,0,False
