Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae*Brachyspira,0.0,-0.827,0.652,0.278,0.5300666666666667,3.7836911452229693,-0.26348714187311545
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.39753832728950755,-0.01,0.728,0.227,0.8618666666666667,4118.475517753938,0.3100394314707514
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,0.5424160784371889,0.156,0.924,0.223,0.9714666666666667,4434.260349412532,0.5190538445866562
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,0.0,-0.226,0.639,0.202,0.5522,669.6130623104914,-0.2634871418731153
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,0.0,-0.142,0.601,0.191,0.5591333333333334,1979.6988706995894,-0.2634871418731153
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,0.0,-0.5,0.673,0.232,0.5268666666666667,80.93934335015736,-0.2634871418731153
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,0.45746777576594766,-0.024,0.853,0.273,0.8476666666666667,2188.929307080579,0.39649934959092215
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,0.0,-0.596,0.923,0.299,0.5224,11.019870217038278,-0.2634871418731153
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae*Neisseria,0.0,-0.659,0.665,0.246,0.4926,11.253734471823128,-0.26348714187311506
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,0.5654508933679686,-0.022,1.083,0.336,0.8853333333333333,779.1089695559269,0.5522860578550873
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,0.0,-0.398,0.418,0.144,0.43993333333333334,762.5743612041063,-0.26348714187311506
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,0.3842307350772603,-0.122,0.906,0.301,0.6944,665.761009599028,0.2908406341799694
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,0.0,-0.249,1.155,0.371,0.6738,61.233842984417514,-0.2634871418731153
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,0.0,-0.106,0.88,0.289,0.6488666666666667,562.1113863553107,-0.26348714187311506
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,0.0,-0.225,0.723,0.221,0.5330666666666667,394.1375762374974,-0.2634871418731153
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,0.0,-0.253,0.745,0.209,0.4938,335.86188758898004,-0.26348714187311506
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,0.0,-0.178,0.795,0.225,0.5004,364.5632371837773,-0.26348714187311545
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospira,0.0,-0.431,0.463,0.168,0.4994,406.1408524353791,-0.26348714187311506
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,0.0,-0.525,0.509,0.182,0.45666666666666667,198.28393658407322,-0.2634871418731153
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Veillonella,0.0,-0.459,0.811,0.268,0.5558,51.04461359061712,-0.26348714187311506
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,0.0,-0.461,0.839,0.256,0.49573333333333336,53.715415460201356,-0.26348714187311545
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Dorea,0.0,-0.494,0.441,0.173,0.48586666666666667,434.7190788028269,-0.2634871418731153
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae*Methylobacterium-Methylorubrum,0.0,-0.625,0.721,0.257,0.5393333333333333,33.13864177229874,-0.2634871418731153
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,0.0,-0.576,0.342,0.167,0.456,457.00760258862306,-0.2634871418731153
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,0.0,-0.458,0.708,0.21,0.4766,95.84190649220315,-0.2634871418731153
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,0.0,-0.267,0.613,0.194,0.5289333333333334,493.0940992984697,-0.2634871418731153
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,0.0,-0.568,0.443,0.179,0.4431333333333333,221.5614608500958,-0.2634871418731153
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Staphylococcales*Gemellaceae*Gemella,0.0,-0.827,0.557,0.267,0.5176,16.53864934948716,-0.2634871418731153
