,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae*Brachyspira,-0.8345687155375621,0.8311880085686396,-1.0040673192275045,0.31534616643365865,0.9305256531863065,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,-0.5677735551921624,0.563816268416148,-1.0070187523803298,0.31392576274377354,0.9305256531863065,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,-0.756650459193342,0.5213114476985149,-1.451436492587687,0.14665835430587892,0.9305256531863065,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,1.2334553004447897,0.6961381388154592,1.7718542221284175,0.07641875909206548,0.9305256531863065,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,-0.5459551785194673,0.5408482936620711,-1.0094423610414254,0.3127625313281184,0.9305256531863065,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,1.7131007834487368,1.0772018098828946,1.5903248283949434,0.1117616048919043,0.9305256531863065,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,-0.6284430658476141,0.5701091610050695,-1.1023205884636291,0.2703223216822825,0.9305256531863065,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,0.39966487457626315,0.4223335213340493,0.9463252486182452,0.34398271916114875,0.9305256531863065,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae*Neisseria,0.34192884349521435,0.48600925207117623,0.7035438976481434,0.48171686000544883,0.9501159322652633,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,-0.043244317153751106,0.857173342539616,-0.050449909029634206,0.9597638653384257,0.9779412112728657,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,-0.7791671111151293,0.7409690039643855,-1.0515515587647708,0.29300534249514104,0.9305256531863065,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,0.004221584745101025,0.9005003124306404,0.004688043620669133,0.9962594960760146,0.9962594960760146,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,1.7824461198685069,0.6502714076190659,2.741080261232519,0.006123754675299839,0.9305256531863065,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,-0.05685089377520718,1.026057011555968,-0.05540714905207405,0.9558141004687427,0.9779412112728657,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,-0.8179445645960974,0.7633496257815867,-1.0715202273907076,0.28393558066059194,0.9305256531863065,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,0.13552118051531875,0.8882425079961835,0.1525722753587256,0.8787355900384715,0.955293771810596,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,0.13706076566725475,0.8086996893496701,0.16948289639813582,0.8654168244445876,0.955293771810596,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospira,-0.9315231092022646,0.8150767155448566,-1.1428655627581836,0.25309441252327325,0.9305256531863065,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,0.7176613549775224,0.9912479264939174,0.7239978372675326,0.469067062833193,0.9501159322652633,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Veillonella,1.0111902103958073,0.7981561459478248,1.266907754240244,0.20518827574852055,0.9305256531863065,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,1.1087645057811346,0.6070663965944891,1.8264303740102616,0.06778546011006069,0.9305256531863065,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Dorea,-0.035096855952318574,0.6456326341891707,-0.05436041193363094,0.9566480188936751,0.9779412112728657,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae*Methylobacterium-Methylorubrum,-0.02262014521077094,0.37392252190078334,-0.060494203707721496,0.9517620321682533,0.9779412112728657,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,-1.0542110574335648,0.6035302047976081,-1.746741172278347,0.08068224507488289,0.9305256531863065,0,0,0,False
