Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae*Brachyspira,0.0,-0.556,0.477,0.188,0.522,4.981890051386009,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.0,-0.5,0.151,0.156,0.5599333333333333,3445.448444085369,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,0.0,-0.637,0.084,0.208,0.7110666666666666,3462.718826281338,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,0.0,-0.108,0.727,0.23,0.6666,671.0269817564083,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,0.0,-0.484,0.203,0.152,0.5572,2123.4753625979697,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,0.0,-0.216,0.744,0.222,0.5628666666666666,117.66120460787377,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,0.0,-0.543,0.197,0.171,0.5484,1900.3803843850478,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,0.0,-0.513,0.578,0.202,0.5318666666666667,5.2478021319986805,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae*Neisseria,0.0,-0.472,0.569,0.194,0.5552666666666667,17.181089776883802,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,0.0,-0.417,0.385,0.143,0.4846666666666667,592.7717083720086,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,0.0,-0.579,0.239,0.168,0.5151333333333333,804.1689206521806,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,0.0,-0.381,0.436,0.141,0.46153333333333335,659.7159393334376,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,0.0,-0.16,0.883,0.277,0.674,141.1480511166087,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,0.0,-0.409,0.39,0.139,0.4674,402.94873580846223,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,0.0,-0.62,0.251,0.187,0.5406,409.8574217644466,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,0.0,-0.38,0.433,0.15,0.5135333333333333,424.88109249980994,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,0.0,-0.26,0.548,0.157,0.5118,413.5627876958316,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospira,0.0,-0.551,0.265,0.164,0.5272666666666667,460.2681928046519,0.0
