,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae*Brachyspira,-0.5395695274790742,0.5398718347983505,-0.9994400387281005,0.31758157220376243,0.8120231477816877,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.36502376565200145,0.6741500484530916,0.5414577459270188,0.5881921142920863,0.975449034260789,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,0.5246517186419134,0.670572784151305,0.782393397170043,0.43398341303394844,0.8396635600004654,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,0.3935165319655478,0.5498805029391334,0.7156400888232737,0.4742136131101552,0.8792710743084128,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,-0.43141353258717724,0.9167193364506931,-0.4706059045918045,0.6379221902940229,0.9913649949081086,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,-0.9982168234125298,1.1522381578185694,-0.8663285594554214,0.38631000884444466,0.8120231477816877,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,0.4707848979942878,0.6796221212950208,0.6927156772019231,0.4884879987237429,0.8872537119676146,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,1.0579586715373406,0.6490695974171692,1.6299618342120108,0.10310956355746595,0.8120231477816877,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae*Neisseria,-0.1671097722345829,0.5617677062727049,-0.29747130418611323,0.7661067129079457,0.9913649949081086,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,0.15968807128772453,1.0668158673319765,0.14968662932160165,0.8810118575773913,0.9913649949081086,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,0.2895152533088309,0.5947543831544982,0.4867812016336566,0.6264133934101028,0.9913649949081086,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,0.39314971882162747,1.0830228855769288,0.36301145992145467,0.7165963236631608,0.9913649949081086,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,1.4328788625312332,0.739594637221584,1.9373840620506553,0.0526984134048667,0.8120231477816877,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,0.03651554631641518,0.9498574052401018,0.03844318748789973,0.9693343277784487,0.9913649949081086,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,0.5239361525520401,0.9477888934383154,0.5527983669985252,0.5804014868384149,0.975449034260789,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,0.19611202092102975,0.7484579970002349,0.26202141163169135,0.793304934634006,0.9913649949081086,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,-0.14749216424075318,0.9588738622258803,-0.15381810898294013,0.8777531548621539,0.9913649949081086,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospira,-0.019029992633973335,0.8405681093788936,-0.02263944161292871,0.9819378820243437,0.9927844624115614,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,-1.1165134216183665,1.0830128256301588,-1.0309327786295746,0.3025723439521009,0.8120231477816877,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Veillonella,0.7897192686629287,0.9961428663412766,0.7927771159607667,0.42790769150798286,0.8396635600004654,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,-0.03357959363652962,0.762049256820766,-0.0440648597659187,0.9648527034072136,0.9913649949081086,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Dorea,-0.27364569539768796,0.9966090756144009,-0.2745767644439599,0.7836414197158634,0.9913649949081086,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,-1.083041077987693,0.8981460704423715,-1.2058629588550707,0.22787033497518405,0.8120231477816877,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales*Beijerinckiaceae*Methylobacterium-Methylorubrum,0.021527757861870403,0.7215642755859057,0.029834844365583365,0.9761987693428427,0.9913649949081086,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,-1.1392866626591651,0.8646429667401522,-1.3176382697640685,0.18762476814839743,0.8120231477816877,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia,-0.06188357664363281,1.1250177049887304,-0.055006757999646515,0.9561330798411659,0.9913649949081086,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,0.8728443045247178,0.577310401533502,1.5119150845129294,0.13055546608399488,0.8120231477816877,0,0,0,False
Bacteria*Firmicutes*Bacilli*Staphylococcales*Gemellaceae*Gemella,-0.5001492739393776,0.6376770561130749,-0.7843300447220255,0.43284647443990054,0.8396635600004654,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Coprococcus,0.29981983136556867,1.094107164244584,0.2740315036439565,0.7840604115661078,0.9913649949081086,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Sarcina,-0.0033127423806972927,0.07390450486343929,-0.04482463398974902,0.9642470897394532,0.9913649949081086,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Lactococcus,0.028500585661857255,0.7927917933105576,0.03594964769103358,0.9713225082966184,0.9913649949081086,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae*Collinsella,1.640341819807839,0.9976518815340096,1.6442026023001293,0.10013435960514248,0.8120231477816877,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Incertae_Sedis,-0.9040798301757403,0.6811227552659823,-1.3273375807605958,0.1843970375839115,0.8120231477816877,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae*Fusobacterium,-0.1326201937556916,0.7267451447996057,-0.18248514586535086,0.8552020105219442,0.9913649949081086,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium_sensu_stricto_1,0.8681813529947232,0.8167113148495084,1.0630210910628792,0.28777238679901845,0.8120231477816877,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,0.9575491619139288,0.5848883110747806,1.6371487406789738,0.10159939446874286,0.8120231477816877,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelotrichaceae_UCG-003,-0.030027019173983465,1.0199140394248565,-0.02944073521226957,0.9765130848720321,0.9913649949081086,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Alloprevotella,-1.0821873771024662,0.7127241260965512,-1.5183818499724318,0.12891816448438467,0.8120231477816877,0,0,0,False
