,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae*Brachyspira,91.50435291636859,-0.8944303617294307,0.9825518304448405,-0.9103136689740696,0.3729878994048994,0.8208286114927922,0,21
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,253907.99513560487,0.5552575026315738,1.0463927559725512,0.5306396660931578,0.6012357115100068,0.9695904486619874,0,21
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,208946.30984041607,0.9049382621772235,1.1681535196589001,0.7746740877358865,0.44716751890158324,0.841127501267658,0,21
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,23683.023824719483,0.5857456076934136,0.8347541860918221,0.7016983172444758,0.4905716032977048,0.8905212738637045,0,21
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,150785.56959034808,-0.6186915783090668,1.5549405331930632,-0.39788761377168974,0.6947289400184224,0.9695904486619874,0,21
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,488.5048324660544,-1.6520469904818205,2.007059192576648,-0.8231182202259489,0.41969031915468835,0.8208286114927922,0,21
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,90800.40486335309,0.8270778562659391,1.160298950828897,0.7128144480998534,0.48380662128573293,0.8847696430362376,0,21
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,48.843597726429174,1.9626354242586714,1.1007256557938987,1.783037775060417,0.08904263067150986,0.8208286114927922,0,21
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae*Neisseria,88.16891402408753,-0.08309731747833032,1.0723480258688405,-0.07749099683472911,0.938966542650381,0.9695904486619874,0,21
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,9559.670575692997,0.35776307449569156,1.8730538438664819,0.1910052269277926,0.8503560772656725,0.9695904486619874,0,21
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,46694.79385544722,0.5650744600701202,1.026429340089275,0.5505244618406681,0.5877688048132494,0.9695904486619874,0,21
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,11380.327759693331,0.6909552078246743,1.9032061618017375,0.3630480090346897,0.720197758544666,0.9695904486619874,0,21
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,104.45709272634943,2.6754135147335094,1.3710563105410627,1.9513520299379283,0.0644820549467876,0.8208286114927922,0,21
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,18158.04587298636,0.45630285022765615,1.648123250243929,0.27686209156998515,0.7845928464210195,0.9695904486619874,0,21
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,8910.798621986107,1.0232964813878869,1.6711911334619922,0.6123156477428496,0.5469025716188483,0.9606775435673189,0,21
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,5385.588233714675,0.41883697741150405,1.3194031951367076,0.31744426491866046,0.7540412343675893,0.9695904486619874,0,21
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,6758.912454867122,-0.09472957906225543,1.691944971387522,-0.05598856976097163,0.95588019638622,0.9741221848668731,0,21
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospira,14505.476694331206,0.10444353247794794,1.473698828027542,0.0708716940609496,0.9441704743524972,0.9695904486619874,0,21
