Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae*Brachyspira,0.0,-1.199,0.809,0.391,0.5488666666666666,5.78717819510268,-0.3919961266897295
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.664517690968507,0.24,1.091,0.244,0.9821333333333333,5203.894181714605,0.5667002506535204
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,0.7722852193814793,0.334,1.214,0.242,0.9957333333333334,5377.237437432532,0.7221759294637761
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,0.0,-0.236,0.884,0.278,0.5736,641.3945655494678,-0.3919961266897293
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,0.0,-0.411,0.52,0.149,0.38066666666666665,1787.6278820745276,-0.3919961266897293
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,0.0,-1.053,0.582,0.318,0.49833333333333335,50.68575042709114,-0.3919961266897293
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,0.6064642353804464,0.094,1.139,0.318,0.9053333333333333,2450.6511648802702,0.48294681817015755
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,0.0,-0.488,1.509,0.439,0.5569333333333333,17.40303844807975,-0.3919961266897293
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae*Neisseria,0.0,-0.809,1.043,0.352,0.5074666666666666,18.423827771595903,-0.3919961266897295
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,0.0,-0.526,0.796,0.247,0.4662,373.3979774174719,-0.3919961266897295
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,0.0,-0.133,0.961,0.313,0.6808666666666666,884.165988164866,-0.3919961266897293
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,0.0,-0.319,0.927,0.279,0.5208666666666667,413.0814604986555,-0.39199612668972966
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,0.0,-0.258,1.401,0.443,0.6485333333333333,53.87382909371834,-0.3919961266897295
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,0.0,-0.212,0.992,0.302,0.5786,510.6297737605524,-0.3919961266897295
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,0.0,-0.247,1.061,0.327,0.6209333333333333,385.9256809114409,-0.39199612668972905
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,0.0,-0.401,0.788,0.237,0.46126666666666666,323.968022336246,-0.3919961266897295
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,0.0,-0.508,0.725,0.218,0.4318,311.26505448372905,-0.3919961266897295
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospira,0.0,-0.4,0.761,0.234,0.5026,459.27300456167353,-0.3919961266897293
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,0.0,-0.889,0.408,0.261,0.5153333333333333,176.55718432831347,-0.3919961266897293
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Veillonella,0.0,-0.29,1.464,0.463,0.667,55.848619902855944,-0.3919961266897295
