,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae*Brachyspira,-0.8165709186791458,0.8272516410502597,-0.9870889076054852,0.32359905512761034,0.9465178662349963,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,0.31366167274009515,0.3847947724084917,0.8151401610183965,0.41499208542492383,0.9465178662349963,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,0.14303712571174917,0.3237076005548251,0.4418713847515098,0.6585822785840945,0.9465178662349963,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,1.0984611555212114,0.7010115513832884,1.566965841509524,0.11712267611413896,0.9465178662349963,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,0.07468887477375484,0.4450428849060134,0.16782399473598605,0.8667217451511526,0.9465178662349963,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,1.4115269662664813,1.345547577048952,1.0490353446752398,0.29416185143602186,0.9465178662349963,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,0.1474650023267573,0.36075909948386603,0.40876308466711947,0.6827135331523148,0.9465178662349963,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,0.7541933709444048,0.7399948535408165,1.019187319122085,0.30811404569918843,0.9465178662349963,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae*Neisseria,-0.19091292914373045,0.22632953252516227,-0.8435175339855643,0.39893906366043286,0.9465178662349963,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,-0.14426644651882314,0.9780500840731817,-0.1475041502148969,0.8827341041646404,0.9465178662349963,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,0.4512479341432418,0.6214639348005832,0.726104780783521,0.4677745384583019,0.9465178662349963,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,0.9342452301654929,0.9389990772549498,0.9949373250681415,0.3197667479525241,0.9465178662349963,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,2.029389423836842,0.7970462023448841,2.546137749438419,0.010892219709411361,0.9465178662349963,0,0,0,False
