,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales*Brachyspiraceae*Brachyspira,93.5813723679373,-1.3247565235671237,1.4405318895541492,-0.919630126325868,0.3682095922161879,0.9697591945695498,0,21
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,248662.77447335506,0.4382962296280437,0.5893541450250726,0.7436890591639048,0.46530472490081076,0.9697591945695498,0,21
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,252273.0153245643,0.19228160172759123,0.49793228100951104,0.3861601447846649,0.7032626992896482,0.9697591945695498,0,21
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,7228.764319349423,1.7084447684002968,1.1458669927086707,1.4909625456282412,0.15084036520550836,0.9697591945695498,0,21
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,135247.13891568116,0.09377692458331457,0.6666331164154492,0.14067246626984597,0.8894693129023123,0.9697591945695498,0,21
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,202.0578095820248,2.202331739926062,2.2936385497228757,0.9601912821844375,0.34788491447054626,0.9697591945695498,0,21
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,122358.02203453658,0.19851350283605826,0.5444502801674691,0.364612729696818,0.71904645453191,0.9697591945695498,0,21
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae*Megamonas,37.50084495119191,1.2175312782249905,1.2055824545423595,1.0099112455042876,0.3240333949962907,0.9697591945695498,0,21
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Neisseriaceae*Neisseria,49.92535875366151,-0.4183079322605775,0.4864581830938421,-0.8599052226856716,0.39955196815116256,0.9697591945695498,0,21
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,12412.027582617593,-0.24533696659215642,1.698610013569873,-0.1444339575489406,0.8865349690756008,0.9697591945695498,0,21
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,34094.56382864393,0.7686926478876365,1.0577141188908241,0.7267489713512844,0.4754036144963776,0.9697591945695498,0,21
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,15327.246353918177,1.4556154101244734,1.62423364021778,0.896185976008539,0.38031208236272096,0.9697591945695498,0,21
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,126.6740978953984,3.5379154566653304,1.4341877192549792,2.466842665828417,0.02231751594623265,0.9697591945695498,0,21
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,6559.740318487375,0.5165019173174867,2.055452163912301,0.25128384225414846,0.8040372136736761,0.9697591945695498,0,21
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,9112.466003379235,1.1986733348477923,1.2722179569074767,0.9421918063171678,0.356808085741082,0.9697591945695498,0,21
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae*Romboutsia,5301.719509166486,2.042233796044223,1.5713136249162751,1.299698394808382,0.2077910922244117,0.9697591945695498,0,21
