,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia*Lachnospirales,-0.1868128900378426,0.40160934871370774,-0.46516071061636194,0.6418163723853256,0.9718315310650157,0,0,0,False
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales,-0.5617036894986168,0.511713521942668,-1.0976917072000878,0.2723391321424024,0.9718315310650157,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,-0.6391994316763788,0.29113696314754167,-2.1955282653424084,0.02812572562661655,0.7910603302973259,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,0.2877004254738091,0.4759971913429284,0.6044162249405745,0.5455669513381899,0.9718315310650157,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales,0.04067522255362381,0.5828427244042933,0.06978764742271902,0.9443626791343843,0.9718315310650157,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,1.0892311832166117,1.0113425764442483,1.0770150575942425,0.2814735387650101,0.9718315310650157,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,-0.39285183126922535,0.40427481691761896,-0.9717445035644618,0.33117767081501426,0.9718315310650157,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,0.19493538929362203,0.4070337706979818,0.4789169924631725,0.6319976818953319,0.9718315310650157,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,-0.03915496986095118,0.6708978819570863,-0.05836204124945458,0.9534602499051739,0.9718315310650157,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,-0.20453642253111934,0.6168556605595921,-0.33157906396703946,0.7402071305583529,0.9718315310650157,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,-0.43584005153453365,0.9534863150454713,-0.45710152800016707,0.6475980720607633,0.9718315310650157,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales,-0.6771110443807058,0.6297208563678115,-1.0752558654103308,0.28226018992575375,0.9718315310650157,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,0.08322385905020054,0.9569949124067304,0.08696374240998027,0.9307003322490114,0.9718315310650157,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,-0.453232023072382,0.9010347230997832,-0.5030128267567218,0.6149552540530234,0.9718315310650157,0,0,0,False
Bacteria*Firmicutes*Bacilli*Staphylococcales,-0.16086635033695781,0.7608763622018903,-0.21142245748235464,0.8325576342535934,0.9718315310650157,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,1.0617016963994714,0.5061965212268049,2.0974101003822754,0.03595728774078754,0.7910603302973259,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales,0.9046474021720018,0.745515665675088,1.2134519015811895,0.2249570931416927,0.9718315310650157,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,-0.608162739190439,0.46102541891525045,-1.3191522945120657,0.18711820325442222,0.9718315310650157,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,1.0844505217896725,0.5570709966545615,1.9467007406636498,0.05157062277966842,0.8509152758645289,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,-0.5825757996641384,0.9535586842669277,-0.6109490787260863,0.5412332920002416,0.9718315310650157,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,0.028616661231262306,0.5320608949978318,0.053784560189071816,0.957106810897364,0.9718315310650157,0,0,0,False
