,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes*Clostridia*Lachnospirales,459575.29193214764,-0.25110508632995776,0.4899219381937577,-0.512541012667714,0.6114920536381774,0.9847728721468296,0,35
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales,39.00515362613562,-0.9240762668463601,0.6095499127629337,-1.5159977017431747,0.13850047431408946,0.8827414520531357,0,35
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,311892.6445888042,-0.9040763797184873,0.45175113094214014,-2.001270871935638,0.05316427054180943,0.8827414520531357,0,35
Bacteria*Firmicutes*Bacilli*Lactobacillales,12065.320959322777,0.43484803103303027,0.6566623257414015,0.6622095009669805,0.5121740549677223,0.9847728721468296,0,35
Bacteria*Firmicutes*Clostridia*Oscillospirales,169167.06969799922,0.08155012875692168,0.6459303055191581,0.1262522102773562,0.900254774794895,0.9847728721468296,0,35
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,489.32088502800315,1.933365611133523,1.6456180325776508,1.1748568457925515,0.24798330485448455,0.8827414520531357,0,35
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,7525.065244814143,-0.6749912447521098,0.7993165051714536,-0.844460536452108,0.4041475342085207,0.9847728721468296,0,35
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,9040.035639032481,0.23796808920003265,0.6976681661504311,0.34109065132365807,0.7350745485125527,0.9847728721468296,0,35
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,99.97813301263578,0.06679009518584639,1.1314311689484353,0.059031514261642486,0.9532627737803783,0.9847728721468296,0,35
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,41.69201509661745,-0.2217885923525276,0.9012413289461447,-0.24609234533426613,0.8070482799736627,0.9847728721468296,0,35
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,1408.2935904078663,-0.6598296602400124,1.6379257386215522,-0.40284467401758567,0.689512678361319,0.9847728721468296,0,35
Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales,106.71427875409435,-1.2197566775894213,0.9543076927253293,-1.2781586975433656,0.20960534093565897,0.8827414520531357,0,35
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,267.4840197716352,0.17883654796556658,1.5847784004054046,0.11284640674041123,0.9107971008203304,0.9847728721468296,0,35
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,363.8698263943547,-0.7201889163014078,1.4795381532939202,-0.4867660321553988,0.6294586237934965,0.9847728721468296,0,35
Bacteria*Firmicutes*Bacilli*Staphylococcales,236.98699919124255,-0.240458638704123,1.2997495635939604,-0.18500382338211876,0.8542939360768111,0.9847728721468296,0,35
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,3133.8295916195616,1.5101089694395273,0.775737553275902,1.9466750875504357,0.0596350858555322,0.8827414520531357,0,35
Bacteria*Firmicutes*Clostridia*Clostridiales,562.7476480536449,1.602292653308437,1.1958602933231293,1.3398660882500653,0.18892367381490924,0.8827414520531357,0,35
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,16944.414293433783,-0.9863877682478291,0.8653188862644966,-1.1399124460416852,0.2620638685782747,0.8827414520531357,0,35
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,49.875590662698265,2.00630699963988,1.1556404694700237,1.7360996370782789,0.09134302505637477,0.8827414520531357,0,35
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,2630.348128338802,-0.9874715829315567,1.6423665086767658,-0.6012492203869587,0.5515485551945437,0.9847728721468296,0,35
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,72.14478307639875,-0.0822078911895488,1.0594766461428875,-0.07759292428845264,0.9385937655661631,0.9847728721468296,0,35
Bacteria*Firmicutes*Clostridia*Christensenellales,716.6938805565203,0.5510637591379318,1.3132029335578752,0.41963335982271127,0.6773180341536847,0.9847728721468296,0,35
Bacteria*Patescibacteria*Gracilibacteria*Absconditabacteriales_SR1,28.253782757504226,-0.26866004718624537,0.38198740329660863,-0.7033217453446602,0.48650784031247607,0.9847728721468296,0,35
