Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales,0.360317307002616,0.053,0.692,0.184,0.9281333333333334,12576.343348311639,0.19389108656276227
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Brachyspirae*Brachyspirales,0.0,-0.858,0.627,0.3,0.5618666666666666,3.4947278670989275,-0.32593690539637804
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.0,-0.312,0.301,0.102,0.40526666666666666,5786.341520785582,-0.3259369053963782
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales,0.0,-0.171,0.728,0.225,0.5998,759.9521791755384,-0.32593690539637804
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales,0.4500711962823739,0.043,0.817,0.219,0.9652,5945.124229924759,0.3233785775271661
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.3677613596213604,-0.18,0.99,0.319,0.6794,282.03096469260834,0.20463058435994144
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,0.0,0.0,0.0,0.0,0.0,518.1451986023804,-0.32593690539637804
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,0.0,-0.192,0.689,0.196,0.5046666666666667,641.1449158661527,-0.3259369053963782
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.0,-0.483,0.681,0.216,0.5054666666666666,74.01409212261164,-0.3259369053963778
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,0.0,-0.773,0.788,0.289,0.5516,17.017726041946357,-0.3259369053963782
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,0.0,-0.423,0.596,0.181,0.47673333333333334,215.56349557041642,-0.3259369053963778
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales,0.0,-0.774,0.397,0.245,0.5427333333333333,57.4121244954225,-0.32593690539637804
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,0.0,-0.508,0.685,0.221,0.4828,105.557466329476,-0.32593690539637804
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,0.0,-0.616,0.496,0.209,0.49673333333333336,112.759305729496,-0.32593690539637804
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Staphylococcales,0.0,-0.478,0.576,0.195,0.49566666666666664,112.30916937945973,-0.3259369053963782
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,0.3428641415981701,-0.124,0.825,0.27,0.6598,686.8525571405809,0.16871149138595337
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridiales,0.0,-0.227,0.883,0.28,0.5879333333333333,238.23450630315295,-0.32593690539637804
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales,0.0,-0.424,0.371,0.139,0.43406666666666666,705.0406841512953,-0.32593690539637804
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.0,-0.279,0.959,0.308,0.606,80.17850882212822,-0.32593690539637804
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Acidaminococcales,0.0,-0.554,0.386,0.174,0.46746666666666664,266.7349607872512,-0.3259369053963778
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,0.0,-0.741,0.495,0.233,0.5210666666666667,52.156849190148066,-0.32593690539637804
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales,0.0,-0.262,0.768,0.233,0.5568,210.45156027085994,-0.3259369053963782
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Patescibacteria*Gracilibacteria*Absconditabacteriales_SR1,0.0,-0.721,0.557,0.25,0.5244,8.04664721115351,-0.32593690539637804
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,0.0,-0.889,0.47,0.293,0.5873333333333334,23.529513085194168,-0.32593690539637804
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Euryarchaeota*Methanobacteria*Methanobacteriales,0.0,-0.694,0.622,0.242,0.4802,40.25585701437463,-0.3259369053963778
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales,0.0,-0.334,0.73,0.22,0.5143333333333333,151.29862141650065,-0.32593690539637804
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Campilobacterota*Campylobacteria*Campylobacterales,0.0,-0.739,0.561,0.248,0.5306666666666666,17.623892487992258,-0.32593690539637804
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*RF39,0.0,-0.641,0.694,0.244,0.49866666666666665,27.861770303253472,-0.32593690539637804
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,0.0,-0.827,0.487,0.26,0.507,54.77618444997206,-0.32593690539637804
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Patescibacteria*Saccharimonadia*Saccharimonadales,0.0,-0.754,0.607,0.268,0.5728,17.76544909937393,-0.3259369053963782
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Monoglobales,0.0,-0.349,0.565,0.165,0.45013333333333333,310.52223501479654,-0.3259369053963782
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,0.0,-0.251,0.908,0.269,0.5566,100.30900876834586,-0.3259369053963778
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales,0.0,-0.72,0.446,0.226,0.5342666666666667,49.464513285989966,-0.3259369053963782
