,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia*Lachnospirales,-0.5350586310917671,0.4012970865376793,-1.3333229894793377,0.18242583246766605,0.8756729052081202,0,0,0,False
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales,-0.8605788187737685,0.8545337599094694,-1.007074101864553,0.3138991655760165,0.8756729052081202,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,-0.226263002235082,0.3856321976342637,-0.5867326525718981,0.5573832742987255,0.8756729052081202,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,1.1179801213686904,0.6117556942137666,1.8274944261949657,0.06762546349383507,0.8756729052081202,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.6908447904672471,0.5457363382436746,-1.265894795810318,0.2055507498564291,0.8756729052081202,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,2.391162883163105,0.9359803648444452,2.5547147920784674,0.010627483765408586,0.3507069642584833,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,0.011753939444005254,0.48392679776673253,0.024288672374103596,0.9806223486030381,0.9977728959247653,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,0.19616618163168814,0.5122090668461519,0.38298068958355436,0.7017340820058044,0.8756729052081202,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.7205836812543257,0.6916812242318849,1.0417858053824391,0.29751099659411706,0.8756729052081202,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,0.6821863641004213,0.618572552071398,1.1028396940924736,0.27009678686394906,0.8756729052081202,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,0.6916512517413139,1.014785040013142,0.6815741506520009,0.49550826472498416,0.8756729052081202,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales,-0.3355701057950206,0.4682281984312278,-0.7166806845878342,0.47357114675216583,0.8756729052081202,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,-0.892483418680314,0.8959614924759878,-0.9961180543752365,0.3191927886227615,0.8756729052081202,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,-0.7031663465309786,0.9036661867886886,-0.7781262116598434,0.43649461158155484,0.8756729052081202,0,0,0,False
Bacteria*Firmicutes*Bacilli*Staphylococcales,0.7882162782381686,0.659088535299757,1.1959186604265293,0.2317283023789411,0.8756729052081202,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,0.4482900390914286,0.5206240663469313,0.861062843746257,0.3892034320313299,0.8756729052081202,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales,1.3533778457131307,0.8790593510680366,1.539575051523891,0.12366397066870802,0.8756729052081202,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,-0.7332668868983746,0.44592850151779045,-1.6443597670984946,0.10010191048696812,0.8756729052081202,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,1.297934414260696,0.505060821546926,2.569857646620295,0.010174031259238886,0.3507069642584833,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,-0.6902655222746815,0.9643607806515818,-0.7157751913223757,0.47413017345507713,0.8756729052081202,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,-0.7217989826006165,0.601438159164867,-1.2001216943116442,0.23009208121774036,0.8756729052081202,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales,-0.5878730316593513,0.8261465279216452,-0.7115844608562071,0.47672213228686605,0.8756729052081202,0,0,0,False
Bacteria*Patescibacteria*Gracilibacteria*Absconditabacteriales_SR1,0.30678508149831446,0.3462454145747549,0.8860336298607621,0.3755994055045599,0.8756729052081202,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,0.2818869200521536,0.4350304944543786,0.6479704840133108,0.5170040409220802,0.8756729052081202,0,0,0,False
Archaea*Euryarchaeota*Methanobacteria*Methanobacteriales,-0.0017063791283811816,0.611328320314285,-0.002791264647291212,0.9977728959247653,0.9977728959247653,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales,-0.7187715198156629,0.5488699986031934,-1.3095478376388725,0.1903488444944521,0.8756729052081202,0,0,0,False
Bacteria*Campilobacterota*Campylobacteria*Campylobacterales,-0.0326686856848837,0.4324973214680194,-0.07553500117410406,0.9397890501604426,0.9977728959247653,0,0,0,False
Bacteria*Firmicutes*Bacilli*RF39,0.3042499358765679,0.45609183391083813,0.6670804282280705,0.5047207609463044,0.8756729052081202,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,-0.21426639295726135,0.6696714651237893,-0.31995747783228906,0.7490005651718608,0.8756729052081202,0,0,0,False
Bacteria*Patescibacteria*Saccharimonadia*Saccharimonadales,0.26098752571645245,0.30408333608763016,0.8582763168621695,0.390739903671863,0.8756729052081202,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales,0.09812473145978658,0.6962763178075002,0.14092786003230856,0.8879269326646246,0.9607078287846759,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,0.00417973721608856,0.6945073517030059,0.00601827641685779,0.9951981391513167,0.9977728959247653,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales,0.4706404679371877,0.43495966781203665,1.0820324337303158,0.27923811642403656,0.8756729052081202,0,0,0,False
Bacteria*Firmicutes*Bacilli*Izemoplasmatales,-0.47085790334756344,0.5092827046487741,-0.9245511364307761,0.3551994402858974,0.8756729052081202,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Propionibacteriales,-0.4721679191673806,0.49500400400897865,-0.953866868436111,0.3401510361107475,0.8756729052081202,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,0.35844271325101995,0.45358534402844763,0.7902431548329291,0.42938577770631164,0.8756729052081202,0,0,0,False
