,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes*Clostridia*Lachnospirales,459575.2919321496,5.916989580273535e-06,0.6292912965786935,9.402624209873542e-06,0.9999925865405404,0.9999925865405404,0,21
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales,39.00515362613559,-1.0052105694580407,0.8971273512051947,-1.120477007091187,0.2751615788333669,0.7756999870940764,0,21
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,311892.64458880253,-0.8003732260482805,0.5423172291731875,-1.4758395695237696,0.1548247378563804,0.7756999870940764,0,21
Bacteria*Firmicutes*Bacilli*Lactobacillales,12065.320959322778,0.6054016407545553,0.7688847711555281,0.7873762928672912,0.4398584891361368,0.7756999870940764,0,21
Bacteria*Firmicutes*Clostridia*Oscillospirales,169167.0696979989,-0.21664387106430721,0.934221442691003,-0.23189777194609193,0.8188622524891849,0.9528578938055969,0,21
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,489.32088502800383,3.372493278675962,1.896566630753687,1.7782097522910376,0.08985319655800643,0.7756999870940764,0,21
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,7525.065244814144,0.42869009449918294,0.46445284281299104,0.9230002596233269,0.36649119752814163,0.7756999870940764,0,21
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,9040.035639032481,0.3142935579520996,0.6579008033999045,0.47772180293425864,0.6377831541662455,0.8163624373327943,0,21
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,99.97813301263575,0.018398691749833933,1.4936319176510136,0.012318089572408816,0.9902881114552194,0.9999925865405404,0,21
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,41.692015096617425,0.10792299917405854,1.2641183773280409,0.08537412406120913,0.9327726893774251,0.9654276218634513,0,21
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,1408.2935904078654,-1.9040837237324437,1.9354732819033598,-0.9837819728825978,0.33642223059098186,0.7756999870940764,0,21
Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales,106.71427875409425,-0.11736541846018093,1.3286757440028842,-0.08833262666976643,0.9304492685217308,0.9654276218634513,0,21
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,267.4840197716348,-0.26229863817893667,2.031098108964199,-0.12914129407205313,0.8984747413228444,0.9654276218634513,0,21
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,363.8698263943546,-0.6320289243670854,1.836052637225237,-0.34423246455627154,0.734094640346761,0.9009123299459532,0,21
Bacteria*Firmicutes*Bacilli*Staphylococcales,236.98699919124255,0.28192087775520486,1.6336251145194662,0.1725737901857198,0.8646388613356973,0.9654276218634513,0,21
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,3133.829591619568,1.5400239950506942,0.7854261548439088,1.9607495695846162,0.06330661111675269,0.7756999870940764,0,21
Bacteria*Firmicutes*Clostridia*Clostridiales,562.7476480536444,1.0638298689231944,1.5122398715794438,0.7034795794744441,0.4894839156767149,0.7756999870940764,0,21
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,16944.414293433754,-0.06272252046509551,0.6270199523088804,-0.10003273457907023,0.9212671760410038,0.9654276218634513,0,21
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,49.8755906626983,2.2607130761752563,1.1318821427634798,1.9973043047182866,0.05891301260796726,0.7756999870940764,0,21
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,2630.3481283387996,-3.562389334748822,1.9516105151727479,-1.8253587521962573,0.08220406373878801,0.7756999870940764,0,21
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,72.14478307639871,-1.2379252210209217,0.9162439362869875,-1.3510869452926744,0.19104571653654978,0.7756999870940764,0,21
Bacteria*Firmicutes*Clostridia*Christensenellales,716.69388055652,-1.3970784885788785,1.7248673097776939,-0.8099628769467132,0.427044875528366,0.7756999870940764,0,21
Bacteria*Patescibacteria*Gracilibacteria*Absconditabacteriales_SR1,28.253782757504194,-0.5399898498844645,0.4280800429768323,-1.261422621174818,0.2209894895822572,0.7756999870940764,0,21
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,50.78567839490863,-0.4857516078172654,0.9927910714363617,-0.4892787836160574,0.6297158606705306,0.8163624373327943,0,21
Archaea*Euryarchaeota*Methanobacteria*Methanobacteriales,73.06855905902245,-1.1694494704918306,1.2077609845713755,-0.9682788941115353,0.34392547171907206,0.7756999870940764,0,21
Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales,174.3438414883835,1.5509782790457345,1.3346827705163433,1.1620576164669556,0.25824937498396927,0.7756999870940764,0,21
Bacteria*Campilobacterota*Campylobacteria*Campylobacterales,40.69922546437313,-0.624912517514354,0.819881310802791,-0.7621987588697047,0.4544176624562113,0.7756999870940764,0,21
Bacteria*Firmicutes*Bacilli*RF39,50.85009479976943,-0.7104134495613563,1.1036228979809368,-0.6437103206729836,0.5267315208073826,0.7756999870940764,0,21
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,164.8584494581982,-1.5832898806643614,1.4554636157469565,-1.087825118769323,0.2890003228858108,0.7756999870940764,0,21
Bacteria*Patescibacteria*Saccharimonadia*Saccharimonadales,45.161708171296496,-0.9284708689153602,0.834380527044699,-1.1127667039449265,0.2783848980512791,0.7756999870940764,0,21
Bacteria*Firmicutes*Clostridia*Monoglobales,1702.5017442067492,-0.41361235418723125,1.2605418333622807,-0.32812267172759413,0.7460680232364925,0.9009123299459532,0,21
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,101.23055836749563,1.2741586932851034,1.457071478642009,0.8744654685524554,0.39175620388543,0.7756999870940764,0,21
Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales,66.38667716262663,-1.017966100770674,0.8516724140250297,-1.1952554573885226,0.24531121533444716,0.7756999870940764,0,21
Bacteria*Firmicutes*Bacilli*Izemoplasmatales,67.69286084650696,-1.8005495037791146,0.8978617782829346,-2.0053749333471735,0.057980338080939,0.7756999870940764,0,21
Bacteria*Actinobacteriota*Actinobacteria*Propionibacteriales,99.63953498549493,0.8309675527348284,1.2797649817700467,0.6493126195604405,0.523175313252265,0.7756999870940764,0,21
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,60.026449205389866,1.7011455147007057,1.2968969169983056,1.3117044943232974,0.20377982384131915,0.7756999870940764,0,21
Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,55.033521832328034,0.3168726727611138,1.169421878039454,0.2709652339430776,0.7890633268787105,0.9351861651895828,0,21
Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales,121.42362878529755,1.9722712727937628,1.5118118986101374,1.3045745139371783,0.2061546189368114,0.7756999870940764,0,21
Bacteria*Synergistota*Synergistia*Synergistales,20.820343210489344,0.4211803763446497,0.4557922519421473,0.9240621676871094,0.36595085522438286,0.7756999870940764,0,21
Bacteria*Firmicutes*Clostridia*Peptococcales,95.45905637236277,0.10027939569996934,1.2197906200399997,0.08221033516119426,0.9352580086802185,0.9654276218634513,0,21
Bacteria*Cyanobacteria*Cyanobacteriia*Chloroplast,20.820343210489344,1.5160039704539439,0.8143002703049035,1.8617259820953973,0.07669698361306004,0.7756999870940764,0,21
Bacteria*Firmicutes*Bacilli*Bacillales,20.820343210489344,0.39971970741432944,0.44900523676485105,0.8902339542727138,0.3834259772042383,0.7756999870940764,0,21
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,30.429736013666474,0.5211534079488391,0.9227014732882141,0.5648125889423525,0.578185482595897,0.7756999870940764,0,21
Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales,34.91711212881839,1.0357097502220196,0.8977050248287028,1.153730592540295,0.26157295302972333,0.7756999870940764,0,21
Bacteria*Firmicutes*Clostridia*Eubacteriales,20.820343210489344,0.23686394576082165,0.35203977988941915,0.6728328992684409,0.508390583314378,0.7756999870940764,0,21
Bacteria*Firmicutes*Clostridia*Clostridia_or,27.225940121561596,0.2798770966303016,0.6386778933104148,0.43821322072012553,0.665706386187693,0.8353962493335755,0,21
Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales,20.820343210489344,0.18863533515184186,0.3176569300689698,0.5938335269779422,0.5589665673156599,0.7756999870940764,0,21
Bacteria*Spirochaetota*Spirochaetia*Spirochaetales,26.364849369984253,-0.4401615684168058,0.3341425471203845,-1.3172868053173274,0.20193546085338676,0.7756999870940764,0,21
Bacteria*Proteobacteria*Gammaproteobacteria*Cardiobacteriales,20.820343210489344,-0.09953966497927737,0.17792508052590655,-0.5594470699974421,0.5817749903205574,0.7756999870940764,0,21
Bacteria*Verrucomicrobiota*Lentisphaeria*Victivallales,26.610355981529395,-0.4535336244329094,0.36445977008670605,-1.2443996886817232,0.2270627226371458,0.7756999870940764,0,21
Archaea*Thermoplasmatota*Thermoplasmata*Methanomassiliicoccales,26.833222111861275,0.05010891421081028,0.5776603070659181,0.08674460335577851,0.9316963239094171,0.9654276218634513,0,21
Bacteria*Firmicutes*Bacilli*Acholeplasmatales,20.820343210489344,-0.09953966497927737,0.17792508052590655,-0.5594470699974421,0.5817749903205574,0.7756999870940764,0,21
Bacteria*Firmicutes*Incertae_Sedis*DTU014,20.820343210489344,0.286635563515594,0.3388604052895952,0.8458809558190515,0.40715474648249483,0.7756999870940764,0,21
Bacteria*Actinobacteriota*Thermoleophilia*Gaiellales,20.820343210489344,-0.09953966497927737,0.17792508052590655,-0.5594470699974421,0.5817749903205574,0.7756999870940764,0,21
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Opitutales,20.820343210489344,-0.09953966497927737,0.17792508052590655,-0.5594470699974421,0.5817749903205574,0.7756999870940764,0,21
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,20.820343210489344,-0.09953966497927737,0.17792508052590655,-0.5594470699974421,0.5817749903205574,0.7756999870940764,0,21
Bacteria*Thermotogota*Thermotogae*Petrotogales,20.820343210489344,-0.09953966497927737,0.17792508052590655,-0.5594470699974421,0.5817749903205574,0.7756999870940764,0,21
Bacteria*Firmicutes*Bacilli*Mycoplasmatales,20.820343210489344,-0.09953966497927737,0.17792508052590655,-0.5594470699974421,0.5817749903205574,0.7756999870940764,0,21
Bacteria*Fibrobacterota*Fibrobacteria*Fibrobacterales,20.820343210489344,-0.09953966497927737,0.17792508052590655,-0.5594470699974421,0.5817749903205574,0.7756999870940764,0,21
Bacteria*Actinobacteriota*Thermoleophilia*Solirubrobacterales,20.820343210489344,-0.09953966497927737,0.17792508052590655,-0.5594470699974421,0.5817749903205574,0.7756999870940764,0,21
Bacteria*Bacteroidota*Bacteroidia*Sphingobacteriales,20.820343210489344,0.29976191890970083,0.43340950125151634,0.6916367039580493,0.4967416017531098,0.7756999870940764,0,21
Bacteria*Bacteroidota*Bacteroidia*Cytophagales,26.610355981529388,-0.4535336244329092,0.3908238039735209,-1.1604554784581058,0.258886387943975,0.7756999870940764,0,21
Bacteria*Acidobacteriota*Acidobacteriae*Subgroup_2,20.82034321048934,0.23686394576082204,0.35414551353650403,0.6688322644426412,0.5108886782548931,0.7756999870940764,0,21
Bacteria*Acidobacteriota*Acidobacteriae*Bryobacterales,20.820343210489344,-0.09953966497927737,0.17792508052590655,-0.5594470699974421,0.5817749903205574,0.7756999870940764,0,21
