Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales,0.5896266866532799,0.201,0.982,0.21,0.9942666666666666,15413.44508668053,0.4037163231758602
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Brachyspirae*Brachyspirales,0.0,-1.232,0.768,0.419,0.5876,6.211291084434202,-0.44693517363461777
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.0,-0.262,0.537,0.148,0.4059333333333333,5963.237268369339,-0.44693517363461754
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales,0.0,-0.224,0.946,0.305,0.6281333333333333,716.4932156109716,-0.44693517363461754
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales,0.3980691230014404,-0.017,0.884,0.275,0.7296,5494.143036933565,0.1273571760505791
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.758961381047177,-0.005,1.566,0.482,0.8626666666666667,405.1794921737926,0.6480146470283837
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,0.0,0.0,0.0,0.0,0.0,612.3896594980321,-0.44693517363461754
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,0.0,-0.257,0.856,0.246,0.5140666666666667,617.3084256050531,-0.44693517363461777
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.0,-0.62,0.864,0.276,0.4928,64.9338317564797,-0.4469351736346173
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,0.0,-0.705,1.166,0.344,0.5161333333333333,19.793800417263178,-0.4469351736346173
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,0.0,-0.867,0.478,0.259,0.47046666666666664,184.2638648481926,-0.44693517363461777
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales,0.0,-0.669,0.833,0.269,0.477,82.05327885702205,-0.44693517363461754
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,0.0,-0.723,0.704,0.259,0.48373333333333335,89.51164946512336,-0.44693517363461754
