,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia*Lachnospirales,0.14514338501204735,0.2804545017767708,0.5175291681628095,0.6047868129311705,0.9630320199148001,0,0,0,False
Bacteria*Spirochaetota*Brachyspirae*Brachyspirales,-0.8114857787704696,0.8495099689080099,-0.9552398541168176,0.3394564156775249,0.9630320199148001,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.29387113067202825,0.3254117191023312,0.9030748231277298,0.36648618516046805,0.9630320199148001,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,1.0734091190872057,0.6157117682409775,1.7433630059627097,0.08127022602762461,0.6812141609968911,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales,-0.02771143612929929,0.329310477754321,-0.08414987679187404,0.9329372692924627,0.9630320199148001,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,2.691067960743117,1.0459251559326763,2.572906814105095,0.01008483568603195,0.6454294839060448,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,0.29949462629010487,0.4640396528000209,0.6454074010334044,0.5186632084989129,0.9630320199148001,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,0.8501117952852677,0.49065198878828453,1.7326166299350096,0.08316383146476336,0.6812141609968911,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.6435936709480107,0.7341506423092603,0.8766506951810272,0.38067639468293135,0.9630320199148001,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,0.29874987104415524,0.6478674714424528,0.4611280612360422,0.6447067302654981,0.9630320199148001,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,0.9017711152702621,1.088258644305732,0.828636758355876,0.4073099814175536,0.9630320199148001,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales,-0.5851148262577804,0.4457537349900634,-1.3126414437577818,0.18930379756303425,0.9630320199148001,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,-0.16229073944101272,1.024359488536135,-0.15843143081823252,0.8741168483229615,0.9630320199148001,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,-0.521454083414843,1.0459565574193757,-0.4985427738044825,0.6181015286196218,0.9630320199148001,0,0,0,False
Bacteria*Firmicutes*Bacilli*Staphylococcales,0.006409181027289435,0.6272572958715056,0.010217786336601437,0.9918475278939951,0.9918475278939951,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,0.9387432509529439,0.525659166906262,1.7858401604177578,0.0741251421122396,0.6812141609968911,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales,1.9516869608657879,0.9532335282494323,2.0474384324793604,0.040615056105333856,0.6812141609968911,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,-0.07749644226602025,0.36463969656845313,-0.21252881404664065,0.8316945008291207,0.9630320199148001,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.9500412217877952,0.5762585459641505,1.6486371064541192,0.09922200205288058,0.6812141609968911,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,-0.7274800734717657,1.1310499429353975,-0.6431900536449763,0.5201007864425673,0.9630320199148001,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,-0.9610482669634955,0.560576028891001,-1.714394154285828,0.08645636140902797,0.6812141609968911,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales,-0.6547864060323507,0.9119476801630455,-0.7180087413734992,0.4727518970021229,0.9630320199148001,0,0,0,False
Bacteria*Patescibacteria*Gracilibacteria*Absconditabacteriales_SR1,0.011432511942580553,0.11411426457236883,0.1001847751937296,0.9201976328343157,0.9630320199148001,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,-0.19087984105309042,0.24308861512565946,-0.7852273992939536,0.4323202536467036,0.9630320199148001,0,0,0,False
Archaea*Euryarchaeota*Methanobacteria*Methanobacteriales,-0.4524566684927505,0.5440862357873862,-0.831589992049639,0.4056404129941992,0.9630320199148001,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales,-1.0488789606141866,0.5529104570018141,-1.8970141499977913,0.05782607058440317,0.6812141609968911,0,0,0,False
Bacteria*Campilobacterota*Campylobacteria*Campylobacterales,-0.29870659446882997,0.31711855951815965,-0.9419398061176065,0.3462234587361406,0.9630320199148001,0,0,0,False
Bacteria*Firmicutes*Bacilli*RF39,0.2201691425864856,0.5129770602595044,0.4291988075940601,0.667778550681777,0.9630320199148001,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,-0.0961077565934961,0.7455807452521086,-0.12890321699630064,0.897434231114155,0.9630320199148001,0,0,0,False
Bacteria*Patescibacteria*Saccharimonadia*Saccharimonadales,0.011432511942580553,0.11411426457236883,0.1001847751937296,0.9201976328343157,0.9630320199148001,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales,0.5725701674084573,0.679875007432353,0.8421697534828527,0.39969294152227564,0.9630320199148001,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,0.19553438473110019,0.7401179099124855,0.264193559042803,0.7916307739449117,0.9630320199148001,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales,0.19894146347039227,0.44915948411382517,0.44291943175350357,0.6578240116533494,0.9630320199148001,0,0,0,False
Bacteria*Firmicutes*Bacilli*Izemoplasmatales,-0.7062828360604669,0.43748814422673776,-1.6144045167414194,0.10643971265576423,0.6812141609968911,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Propionibacteriales,-0.5773338548865159,0.4892233791439555,-1.1801027495798266,0.23795935118385442,0.9630320199148001,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,0.1827818132532129,0.4559558893314471,0.4008760880821603,0.6885113557501987,0.9630320199148001,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,-1.0163184870478725,0.5154594321610994,-1.9716750216149639,0.0486467168626506,0.6812141609968911,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales,-0.010846550931679726,0.6563177329884039,-0.01652637188742753,0.9868144632354273,0.9918475278939951,0,0,0,False
Bacteria*Synergistota*Synergistia*Synergistales,-0.18044957914025653,0.18177028789536626,-0.992734187911558,0.3208395095054883,0.9630320199148001,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptococcales,-0.1988037931548611,0.6021641243605659,-0.3301488499766896,0.7412874936375946,0.9630320199148001,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia*Chloroplast,-0.05167416468953116,0.3329284763518018,-0.1552110088502242,0.8766549696574931,0.9630320199148001,0,0,0,False
Bacteria*Firmicutes*Bacilli*Bacillales,0.23213689702876697,0.22115413287799138,1.049661130035651,0.29387394077565643,0.9630320199148001,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,-0.2933733258585743,0.3944392403118811,-0.743773174359137,0.4570137117318674,0.9630320199148001,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales,-0.29022470327633476,0.20605052987067118,-1.4085122880222438,0.15897943094914171,0.9249712346131882,0,0,0,False
Bacteria*Firmicutes*Clostridia*Eubacteriales,-0.06989681945525243,0.3150682412231384,-0.22184660435435613,0.8244332982539861,0.9630320199148001,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_or,0.011432511942580553,0.11411426457236883,0.1001847751937296,0.9201976328343157,0.9630320199148001,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales,0.08126039335652115,0.28552273508707127,0.28460218179032387,0.775948939525665,0.9630320199148001,0,0,0,False
Bacteria*Spirochaetota*Spirochaetia*Spirochaetales,0.011432511942580553,0.11411426457236883,0.1001847751937296,0.9201976328343157,0.9630320199148001,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Cardiobacteriales,0.011432511942580553,0.11411426457236883,0.1001847751937296,0.9201976328343157,0.9630320199148001,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria*Victivallales,0.09455716516956293,0.3168574912127429,0.2984217441337873,0.7653812952799387,0.9630320199148001,0,0,0,False
Archaea*Thermoplasmatota*Thermoplasmata*Methanomassiliicoccales,0.011432511942580553,0.11411426457236883,0.1001847751937296,0.9201976328343157,0.9630320199148001,0,0,0,False
Bacteria*Firmicutes*Bacilli*Acholeplasmatales,0.011432511942580553,0.11411426457236883,0.1001847751937296,0.9201976328343157,0.9630320199148001,0,0,0,False
Bacteria*Firmicutes*Incertae_Sedis*DTU014,-0.21236560016159864,0.22497630036445504,-0.9439465393357992,0.3451969680843345,0.9630320199148001,0,0,0,False
Bacteria*Actinobacteriota*Thermoleophilia*Gaiellales,-0.16185428319740572,0.2181881257918727,-0.7418106856639705,0.4582020454155349,0.9630320199148001,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Opitutales,0.011432511942580553,0.11411426457236883,0.1001847751937296,0.9201976328343157,0.9630320199148001,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,0.011432511942580553,0.11411426457236883,0.1001847751937296,0.9201976328343157,0.9630320199148001,0,0,0,False
Bacteria*Thermotogota*Thermotogae*Petrotogales,0.011432511942580553,0.11411426457236883,0.1001847751937296,0.9201976328343157,0.9630320199148001,0,0,0,False
Bacteria*Firmicutes*Bacilli*Mycoplasmatales,0.011432511942580553,0.11411426457236883,0.1001847751937296,0.9201976328343157,0.9630320199148001,0,0,0,False
Bacteria*Fibrobacterota*Fibrobacteria*Fibrobacterales,0.011432511942580553,0.11411426457236883,0.1001847751937296,0.9201976328343157,0.9630320199148001,0,0,0,False
Bacteria*Actinobacteriota*Thermoleophilia*Solirubrobacterales,0.011432511942580553,0.11411426457236883,0.1001847751937296,0.9201976328343157,0.9630320199148001,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Sphingobacteriales,0.011432511942580553,0.11411426457236883,0.1001847751937296,0.9201976328343157,0.9630320199148001,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Cytophagales,0.011432511942580553,0.11411426457236883,0.1001847751937296,0.9201976328343157,0.9630320199148001,0,0,0,False
Bacteria*Acidobacteriota*Acidobacteriae*Subgroup_2,0.011432511942580553,0.11411426457236883,0.1001847751937296,0.9201976328343157,0.9630320199148001,0,0,0,False
Bacteria*Acidobacteriota*Acidobacteriae*Bryobacterales,0.011432511942580553,0.11411426457236883,0.1001847751937296,0.9201976328343157,0.9630320199148001,0,0,0,False
