Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales,0.0,-0.05,0.734,0.239,0.6954,13697.057865098299,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Brachyspirae*Brachyspirales,0.0,-0.986,0.866,0.34,0.5098,8.73149264793204,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,0.0,-0.075,0.853,0.282,0.7389333333333333,6734.079021662651,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales,0.0,-0.257,0.868,0.283,0.614,855.7141080052304,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales,0.0,-0.282,0.616,0.178,0.49673333333333336,5607.926567457839,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,0.0,-0.084,1.511,0.501,0.7928666666666667,280.6017303848478,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,0.0,0.0,0.0,0.0,0.0,780.5012444499544,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,0.0,-0.212,0.922,0.277,0.5692666666666667,1093.2785823975908,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,0.0,-0.504,0.964,0.312,0.5634,90.37216714078198,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,0.0,-0.765,0.914,0.302,0.5109333333333334,19.607974277360018,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,0.0,-0.343,1.129,0.33,0.5943333333333334,362.4680506892285,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rhizobiales,0.0,-1.291,0.405,0.392,0.6136666666666667,70.94722809261735,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,0.0,-0.689,0.561,0.229,0.5102,169.68373709457776,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,0.0,-0.889,0.51,0.27,0.5234666666666666,173.458145570648,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Staphylococcales,0.0,-0.576,0.743,0.235,0.4972666666666667,94.81582582218682,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,0.0,-0.265,0.784,0.243,0.5537333333333333,781.2821360751426,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridiales,0.0,-0.208,1.315,0.426,0.6968666666666666,210.38440015837367,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales,0.0,-0.381,0.577,0.165,0.43233333333333335,1063.0913751963756,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.0,-0.486,0.956,0.293,0.5356666666666666,62.79882319596402,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Acidaminococcales,0.0,-0.709,0.438,0.219,0.5216666666666666,397.00002131636626,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,0.0,-0.958,0.482,0.278,0.5241333333333333,69.61195601280922,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales,0.0,-0.64,0.478,0.202,0.47046666666666664,267.9864271808549,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Patescibacteria*Gracilibacteria*Absconditabacteriales_SR1,0.0,-1.043,0.992,0.358,0.5356666666666666,0.6040709230822405,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,0.0,-0.955,0.696,0.316,0.5381333333333334,8.635972552488754,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Euryarchaeota*Methanobacteria*Methanobacteriales,0.0,-1.347,0.486,0.328,0.5315333333333333,31.15380330910644,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales,0.0,-1.077,0.3,0.317,0.5589333333333333,132.67948524266197,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Campilobacterota*Campylobacteria*Campylobacterales,0.0,-1.102,0.714,0.336,0.5196,8.19018375712606,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*RF39,0.0,-0.556,0.999,0.292,0.5151333333333333,28.387143084762187,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,0.0,-0.614,0.752,0.244,0.5210666666666667,97.80114987461516,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Patescibacteria*Saccharimonadia*Saccharimonadales,0.0,-0.913,0.774,0.334,0.5485333333333333,0.6268401809737042,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Monoglobales,0.0,-0.308,0.799,0.232,0.5126666666666667,375.37905710394585,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,0.0,-0.543,0.666,0.226,0.5164666666666666,201.93307575860138,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales,0.0,-0.65,0.803,0.271,0.5183333333333333,64.7113320892264,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Izemoplasmatales,0.0,-1.409,0.693,0.445,0.5394666666666666,19.316049572057093,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Propionibacteriales,0.0,-1.024,0.631,0.324,0.5146666666666667,41.01493769523104,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,0.0,-0.696,0.804,0.273,0.5021333333333333,50.802031014255135,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,0.0,-1.326,0.481,0.405,0.5762666666666667,33.24606234520306,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales,0.0,-0.485,0.803,0.24,0.5039333333333333,105.20768346549515,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Synergistota*Synergistia*Synergistales,0.0,-0.979,0.783,0.336,0.5288,8.558597509490678,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptococcales,0.0,-0.686,0.64,0.23,0.47213333333333335,111.60170575582508,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Cyanobacteriia*Chloroplast,0.0,-0.975,0.625,0.292,0.5108666666666667,30.3846131647526,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Bacillales,0.0,-0.761,1.146,0.373,0.5474,7.759643049650761,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,0.0,-1.433,0.52,0.357,0.5466,29.634414392729763,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Xanthomonadales,0.0,-1.22,0.594,0.367,0.5464666666666667,19.627592058893335,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Eubacteriales,0.0,-0.858,1.014,0.349,0.5363333333333333,38.127520124942954,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridia_or,0.0,-0.875,0.917,0.331,0.5436,0.664936543877986,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales,0.0,-0.723,0.858,0.293,0.5436666666666666,18.540107054776108,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Spirochaetia*Spirochaetales,0.0,-0.73,1.091,0.326,0.5135333333333333,0.5416887710540821,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Cardiobacteriales,0.0,-1.045,0.766,0.322,0.5200666666666667,1.3538282693834347,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Lentisphaeria*Victivallales,0.0,-0.907,0.8,0.3,0.5084666666666666,18.46609474984991,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Thermoplasmatota*Thermoplasmata*Methanomassiliicoccales,0.0,-0.841,0.857,0.321,0.5379333333333334,0.8016656401260959,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Acholeplasmatales,0.0,-1.08,0.947,0.513,0.5572,0.6162739651997009,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Incertae_Sedis*DTU014,0.0,-1.048,0.651,0.329,0.5164666666666666,9.289979390669364,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Thermoleophilia*Gaiellales,0.0,-0.915,0.69,0.31,0.5595333333333333,8.19837803734044,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Opitutales,0.0,-0.954,0.899,0.345,0.5457333333333333,0.4990426751128118,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,0.0,-0.956,0.825,0.353,0.5495333333333333,0.5220125414513755,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Thermotogota*Thermotogae*Petrotogales,0.0,-0.967,0.818,0.337,0.5570666666666667,0.5256794484428138,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Mycoplasmatales,0.0,-0.907,0.853,0.337,0.5489333333333334,0.9417045774706759,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fibrobacterota*Fibrobacteria*Fibrobacterales,0.0,-0.813,0.915,0.334,0.5722666666666667,0.8754093568558284,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Thermoleophilia*Solirubrobacterales,0.0,-0.96,0.931,0.361,0.5624666666666667,0.6570049898540136,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Sphingobacteriales,0.0,-1.121,1.048,0.408,0.5202,0.7060539234232074,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Cytophagales,0.0,-0.737,1.129,0.336,0.5317333333333333,0.7897303936577494,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Acidobacteriota*Acidobacteriae*Subgroup_2,0.0,-1.097,1.008,0.401,0.5814666666666667,0.4838096834443868,0.0
