,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes,-0.2915853915271393,0.26585471400534805,-1.0967847330375855,0.2727355055682356,0.8986110850788038,0,0,0,False
Bacteria*Spirochaetota,-0.5225935984012571,0.503740250261166,-1.037426725639487,0.2995370283596013,0.8986110850788038,0,0,0,False
Bacteria*Bacteroidota,-0.6065785682069462,0.3470964531581524,-1.7475792756964945,0.08053690653385032,0.8986110850788038,0,0,0,False
Bacteria*Proteobacteria,0.03715315407008846,0.3271032195316335,0.11358235520667337,0.9095688753253286,0.9517656170694886,0,0,0,False
Bacteria*Actinobacteriota,0.47114981343864976,0.38916296460593636,1.2106748490718604,0.2260200453105617,0.8986110850788038,0,0,0,False
Bacteria*Fusobacteriota,-0.16471635198836165,0.6044366946371533,-0.2725121645489141,0.7852282391361383,0.9517656170694886,0,0,0,False
Bacteria*Verrucomicrobiota,0.12470508203681904,0.9534404910284019,0.13079482485824512,0.8959376169921474,0.9517656170694886,0,0,0,False
Bacteria*Patescibacteria,-0.38832842378981225,0.44548716919109665,-0.8716938458517859,0.3833754184764622,0.9517656170694886,0,0,0,False
Archaea*Euryarchaeota,0.0423060091651153,0.6993919202122831,0.06048970247221952,0.9517656170694886,0.9517656170694886,0,0,0,False
Bacteria*Campilobacterota,-0.2866858345131382,0.4073470130749445,-0.7037877419280185,0.48156496862281656,0.9517656170694886,0,0,0,False
Bacteria*Desulfobacterota,0.6748614787815765,0.6468878891664539,1.0432433348708505,0.2968356078172582,0.8986110850788038,0,0,0,False
Bacteria*Cyanobacteria,0.42093196041599035,0.5296749671378821,0.794698610528097,0.42678884080949697,0.9517656170694886,0,0,0,False
Bacteria*Synergistota,0.3201316441026192,0.2729265745955398,1.1729588611040693,0.24081230341577914,0.8986110850788038,0,0,0,False
Archaea*Thermoplasmatota,0.024060377919419274,0.28622787825096113,0.084060218265404,0.9330085538786442,0.9517656170694886,0,0,0,False
Bacteria*Thermotogota,0.014373166142517876,0.20156999078957444,0.07130608125850686,0.9431541554076248,0.9517656170694886,0,0,0,False
Bacteria*Fibrobacterota,0.014373166142517876,0.20156999078957444,0.07130608125850686,0.9431541554076248,0.9517656170694886,0,0,0,False
Bacteria*Acidobacteriota,0.07599096778040379,0.20536803746984175,0.37002334305095086,0.7113650976452177,0.9517656170694886,0,0,0,False
Bacteria*Abditibacteriota,0.014373166142517876,0.20156999078957444,0.07130608125850686,0.9431541554076248,0.9517656170694886,0,0,0,False
