,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes,743538.2635202069,-0.4557775705910734,0.3422633264946649,-1.331657631154876,0.19158078266122844,0.6694854891318425,0,35
Bacteria*Spirochaetota,29.040370506207175,-0.9210445527374646,0.5856580955925902,-1.572665962732946,0.12479361347458515,0.6694854891318425,0,35
Bacteria*Bacteroidota,233855.65927672622,-0.9104081006239071,0.46697134750291736,-1.9496016307900335,0.05927166828238545,0.6694854891318425,0,35
Bacteria*Proteobacteria,10092.172484144234,0.02155259214612069,0.41043429036747336,0.05251167519854164,0.9584195676230758,0.9896748522485335,0,35
Bacteria*Actinobacteriota,11937.865325755314,0.6459012103722042,0.5008339635542376,1.289651376253473,0.20562891243415474,0.6694854891318425,0,35
Bacteria*Fusobacteriota,31.018767823813494,-0.21773204870939317,0.8515318225140638,-0.25569455298401034,0.7996834778227554,0.9896748522485335,0,35
Bacteria*Verrucomicrobiota,199.37102276268251,0.18529657918348516,1.5015840112935055,0.12340074067774977,0.9024957010626056,0.9896748522485335,0,35
Bacteria*Patescibacteria,33.78109953065674,-0.7328565921417096,0.6081811657570753,-1.2049971840700395,0.2362889961641797,0.6694854891318425,0,35
Archaea*Euryarchaeota,54.362847740029444,-0.04721977541814125,1.1471967455014305,-0.04116100887080347,0.967401450893163,0.9896748522485335,0,35
Bacteria*Campilobacterota,30.28013451407515,-0.578658932749966,0.6573290844487977,-0.8803184682375642,0.3846917397202214,0.8174699469054705,0,35
Bacteria*Desulfobacterota,75.31531348148017,1.2914982791173846,1.0637461797218124,1.2141038000767563,0.23283696133603807,0.6694854891318425,0,35
Bacteria*Cyanobacteria,40.944819584464106,0.6840846328007232,0.9861159362744221,0.6937162331897982,0.4924388842779799,0.9301623369695176,0,35
Bacteria*Synergistota,15.490289700837161,0.5523196735611969,0.5197605177265743,1.0626426108259164,0.29522137642547797,0.7169661998904464,0,35
Archaea*Thermoplasmatota,19.96385842046219,-0.005460668218188126,0.4189625916958541,-0.013033784701600036,0.9896748522485335,0.9896748522485335,0,35
Bacteria*Thermotogota,15.490289700837161,-0.01434881872446162,0.2960666810002892,-0.04846482108686726,0.9616213094379938,0.9896748522485335,0,35
Bacteria*Fibrobacterota,15.490289700837161,-0.01434881872446162,0.2960666810002892,-0.04846482108686726,0.9616213094379938,0.9896748522485335,0,35
Bacteria*Acidobacteriota,15.490289700837158,0.133668770001182,0.32988515199502144,0.4051978974888791,0.6877982164185754,0.9896748522485335,0,35
