Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes,0.0,-0.189,0.389,0.099,0.379,22283.337296508016,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota,0.0,-1.138,0.538,0.353,0.5185333333333333,3.562970017809042,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota,0.0,-0.485,0.063,0.158,0.6443333333333333,6598.47916367787,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria,0.0,0.0,0.0,0.0,0.0,788.0759525641497,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota,0.0,-0.101,0.751,0.234,0.6430666666666667,923.8913440575059,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota,0.0,-0.749,0.735,0.264,0.5266,15.511698353096584,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota,0.0,-0.435,0.616,0.194,0.4836,97.28010248432676,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Patescibacteria,0.0,-0.862,0.631,0.276,0.47873333333333334,15.872601896273425,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Euryarchaeota,0.0,-0.652,0.656,0.23,0.5275333333333333,37.472018147709726,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Campilobacterota,0.0,-0.868,0.586,0.281,0.5359333333333334,15.480705959115175,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota,0.0,-0.273,0.889,0.267,0.5737333333333333,93.27895052321519,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria,0.0,-0.478,0.702,0.221,0.4916,50.78466666482159,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Synergistota,0.0,-0.604,1.033,0.327,0.5448,7.025837826840972,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Thermoplasmatota,0.0,-0.831,0.678,0.271,0.48893333333333333,11.456926386768641,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Thermotogota,0.0,-0.889,0.843,0.317,0.49866666666666665,0.2667600994838276,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fibrobacterota,0.0,-0.963,0.762,0.325,0.5363333333333333,0.2743349350849985,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Acidobacteriota,0.0,-0.807,0.85,0.305,0.4892666666666667,2.7280701970748886,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Abditibacteriota,0.0,-0.857,0.901,0.329,0.5555333333333333,0.2205997008397914,0.0
