,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes,743538.2635202066,-0.49093942589345985,0.4200646377038753,-1.1687235292572944,0.25561150908113733,0.8017880251534641,0,21
Bacteria*Spirochaetota,29.040370506207207,-1.049519816189778,0.8490483542507063,-1.2361131270503314,0.2300649258418971,0.8017880251534641,0,21
Bacteria*Bacteroidota,233855.65927672666,-0.8531425710475262,0.5556975361531737,-1.5352642679566677,0.13964892504922377,0.8017880251534641,0,21
Bacteria*Proteobacteria,10092.172484144241,0.20019467956020426,0.45153909324051233,0.4433606802978863,0.6620389013029081,0.8942895910975169,0,21
Bacteria*Actinobacteriota,11937.865325755343,0.18241068013498046,0.635625257397105,0.28697833827742303,0.7769414071952251,0.9434288515942019,0,21
Bacteria*Fusobacteriota,31.01876782381353,0.06463858197656003,1.1798873532359193,0.05478368913717435,0.9568286542363794,0.9905039619986079,0,21
Bacteria*Verrucomicrobiota,199.37102276268283,-0.3082158157677144,1.9201291734882904,-0.1605182713868047,0.8740069131966668,0.9905039619986079,0,21
Bacteria*Patescibacteria,33.78109953065677,-0.9795012429914833,0.7408999409465857,-1.3220425442875008,0.20037451037275208,0.8017880251534641,0,21
Archaea*Euryarchaeota,54.36284774002955,-1.2127338876893297,1.1647913283978495,-1.0411597838364957,0.30964048852210946,0.8017880251534641,0,21
Bacteria*Campilobacterota,30.28013451407518,-0.6681969347118524,0.8203349283734156,-0.8145416117253145,0.42447601331653984,0.8017880251534641,0,21
Bacteria*Desulfobacterota,75.31531348148036,1.2308742760876048,1.3799247666720795,0.8919865095660722,0.38250736457149603,0.8017880251534641,0,21
Bacteria*Cyanobacteria,40.94481958446418,1.4274090417791256,1.1978441266362598,1.1916484040269257,0.24669294493978217,0.8017880251534641,0,21
Bacteria*Synergistota,15.490289700837188,0.37789595914715096,0.4014259358028666,0.9413840149400042,0.3572121425510505,0.8017880251534641,0,21
Archaea*Thermoplasmatota,19.963858420462234,0.0068244970133118366,0.5666162713076065,0.012044301159164791,0.9905039619986079,0.9905039619986079,0,21
Bacteria*Thermotogota,15.490289700837188,-0.142824082176776,0.345908564413269,-0.4128954783731203,0.6838685108392777,0.8942895910975169,0,21
Bacteria*Fibrobacterota,15.490289700837188,-0.142824082176776,0.345908564413269,-0.4128954783731203,0.6838685108392777,0.8942895910975169,0,21
Bacteria*Acidobacteriota,15.490289700837202,0.19357952856332306,0.4064120724038,0.47631343089382366,0.6387694422658297,0.8942895910975169,0,21
