Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes,0.0,-0.268,0.323,0.1,0.40613333333333335,23683.128610371965,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota,0.0,-1.014,0.669,0.34,0.5372666666666667,5.856301146583019,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota,0.0,-0.537,0.12,0.145,0.5074,7270.048201086295,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria,0.0,0.0,0.0,0.0,0.0,856.2121640602209,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota,0.0,-0.302,0.514,0.155,0.4722,915.543795387683,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota,0.0,-0.584,0.863,0.283,0.5294,20.811759772907465,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota,0.0,-0.672,0.487,0.205,0.4928666666666667,93.73936333383301,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Patescibacteria,0.0,-0.893,0.647,0.294,0.5202666666666667,20.420069181131822,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Euryarchaeota,0.0,-0.945,0.559,0.304,0.5357333333333333,30.432715594929707,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Campilobacterota,0.0,-0.723,0.643,0.262,0.5333333333333333,20.542957893690375,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota,0.0,-0.377,0.799,0.238,0.5408,91.51640086462568,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria,0.0,-0.345,0.897,0.249,0.5046,66.25548147184227,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Synergistota,0.0,-0.651,0.976,0.33,0.5483333333333333,5.598609148989662,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Thermoplasmatota,0.0,-0.887,0.613,0.274,0.5208666666666667,12.311308135576905,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Thermotogota,0.0,-0.792,0.921,0.339,0.5348,0.43714872964241125,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fibrobacterota,0.0,-0.757,0.844,0.315,0.5478666666666666,0.5212727825164032,0.0
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Acidobacteriota,0.0,-0.724,0.957,0.307,0.5198,5.362971472350683,0.0
