,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes,769186.2833342672,0.04009656798489758,0.41034113880051837,0.09771520374999487,0.9230850921665406,0.9230850921665406,0,21
Bacteria*Spirochaetota,46.703717954100966,-1.4551866671785598,1.4224791674468216,-1.0229933066720718,0.31795186755708993,0.9216867723198207,0,21
Bacteria*Bacteroidota,201853.83521432607,0.27136403146689925,0.5210758862298237,0.5207764140273659,0.6079705986194742,0.9216867723198207,0,21
Bacteria*Proteobacteria,10137.177272747122,0.09249546326264652,0.4036537966179667,0.22914553024801038,0.8209727497850269,0.9216867723198207,0,21
Bacteria*Actinobacteriota,17904.37141969794,0.1954380114226324,0.7849522293496488,0.24898077120509274,0.8057945998828684,0.9216867723198207,0,21
Bacteria*Fusobacteriota,27.353531151834215,0.29181179093783216,1.0903650998006869,0.2676275964731207,0.7915969481740102,0.9216867723198207,0,21
Bacteria*Verrucomicrobiota,320.68879888526305,-0.4528646300712633,1.743039254191912,-0.2598132136050001,0.797538093735067,0.9216867723198207,0,21
Bacteria*Patescibacteria,18.715571713938754,-0.13588838333977382,0.2292963413676274,-0.592632148115726,0.5597555302803033,0.9216867723198207,0,21
Archaea*Euryarchaeota,47.5573651209698,-0.9259976444343352,0.9782758756339558,-0.9465608500610908,0.3546280475844791,0.9216867723198207,0,21
Bacteria*Campilobacterota,27.948715801635114,-0.7144312587847105,0.5682914245579962,-1.2571565008927919,0.22249965659503185,0.9216867723198207,0,21
Bacteria*Desulfobacterota,232.90882217097993,0.22238609144223354,1.3164556112701284,0.16892790728255044,0.8674699033598312,0.9216867723198207,0,21
Bacteria*Cyanobacteria,93.05510821244455,-1.9149488804035601,1.1191942939506172,-1.7110066507255213,0.1018128842761409,0.9216867723198207,0,21
Bacteria*Synergistota,24.77819110012698,-0.5407201329337381,0.4565921342821212,-1.1842519665475348,0.24954452439328728,0.9216867723198207,0,21
Archaea*Thermoplasmatota,18.715571713938754,-0.13588838333977382,0.2292963413676274,-0.592632148115726,0.5597555302803033,0.9216867723198207,0,21
Bacteria*Thermotogota,18.715571713938754,-0.13588838333977382,0.2292963413676274,-0.592632148115726,0.5597555302803033,0.9216867723198207,0,21
Bacteria*Fibrobacterota,18.715571713938754,-0.13588838333977382,0.2292963413676274,-0.592632148115726,0.5597555302803033,0.9216867723198207,0,21
Bacteria*Acidobacteriota,22.476221708515737,-0.40004880012663313,0.37673490042139923,-1.0618840985508802,0.30034827531700864,0.9216867723198207,0,21
