,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia,333463.6243765272,-0.47755565576019876,0.8349516534105349,-0.5719560573471801,0.5719154743822081,0.7087683240503226,0,28
Bacteria*Firmicutes*Clostridia,559280.5486980741,0.8289458351881205,0.4118123174161603,2.012921421071586,0.05382841571768755,0.32297049430612534,0,28
Bacteria*Firmicutes*Bacilli,42857.76590766038,0.4052437139724302,0.7396585367456691,0.5478794522610545,0.5881162031375653,0.7087683240503226,0,28
Bacteria*Firmicutes*Negativicutes,35937.89696547799,-1.5097558107204239,1.242376300864567,-1.215216202747741,0.23443159627752985,0.6028241047136482,0,28
Bacteria*Actinobacteriota*Actinobacteria,10821.55675820016,0.7399611356806544,1.3598282072462267,0.5441578073888772,0.5906402700419355,0.7087683240503226,0,28
Bacteria*Proteobacteria*Gammaproteobacteria,13767.682989164508,-0.24576287320538648,1.1373720828750895,-0.21607957229277017,0.8304921926362349,0.8793446745560134,0,28
Bacteria*Actinobacteriota*Coriobacteriia,1139.7686966710403,2.30501551188172,0.8883979715191952,2.594575388257645,0.01490354498076837,0.2682638096538307,0,28
Bacteria*Fusobacteriota*Fusobacteriia,96.799450860299,0.8101263215406144,0.8255489265330997,0.9813183634587804,0.3348394528401061,0.7087683240503226,0,28
Bacteria*Desulfobacterota*Desulfovibrionia,1440.0708189322377,-0.7523417802196969,1.0916177124535915,-0.6891989490796042,0.49637016191887473,0.7087683240503226,0,28
Bacteria*Verrucomicrobiota*Verrucomicrobiae,371.7208401387793,1.6132215006105555,1.1897971751334593,1.3558794173717892,0.18597284149701607,0.5579185244910482,0,28
Archaea*Euryarchaeota*Methanobacteria,127.36956104944356,2.278352705843986,1.0137338675630383,2.2474860303533344,0.03267246572013672,0.29405219148123046,0,28
Bacteria*Proteobacteria*Alphaproteobacteria,95.13575215435252,0.9938963609538467,0.6842372990474466,1.4525609205132322,0.1574610232625061,0.5579185244910482,0,28
Bacteria*Verrucomicrobiota*Lentisphaeria,136.11568277413124,-0.42898659405562345,0.6180388774755103,-0.6941093994084894,0.49333275461245907,0.7087683240503226,0,28
Bacteria*Elusimicrobiota*Elusimicrobia,90.06401485203128,-0.12358640481939354,0.3105065564062018,-0.3980154436987764,0.6936373550967379,0.78034202448383,0,28
Bacteria*Cyanobacteria*Vampirivibrionia,99.7261563662264,0.036466531095064925,0.5256121292923064,0.06937916585784297,0.9451809362382195,0.9451809362382195,0,28
Bacteria*Cyanobacteria*Cyanobacteriia,117.03056596917972,-0.2956480047489498,0.4090787323038301,-0.7227166347268495,0.4758477903849684,0.7087683240503226,0,28
Bacteria*Synergistota*Synergistia,84.32312821793366,0.25758413560011906,0.3582986849604008,0.718908961746782,0.47815422359880433,0.7087683240503226,0,28
Archaea*Thermoplasmatota*Thermoplasmata,72.79963691003219,0.4177407644340035,0.29022646120427764,1.439361396271769,0.16113491691426504,0.5579185244910482,0,28
