,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia,-0.757628504738797,0.6452413823329853,-1.1741784167646778,0.2403235691811043,0.7652961267312532,0,0,0,False
Bacteria*Firmicutes*Clostridia,0.15008200277786615,0.3599482513601682,0.41695438777862665,0.6767117707764237,0.8389035254925558,0,0,0,False
Bacteria*Firmicutes*Bacilli,-0.14317724595583212,0.5549778668208639,-0.2579873081714211,0.7964167023676092,0.8389035254925558,0,0,0,False
Bacteria*Firmicutes*Negativicutes,-1.4679089104643268,0.8360506247667581,-1.7557655804322196,0.07912844375902421,0.47477066255414524,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria,0.20652839162793446,0.9170479312292751,0.22521002948132643,0.8218158874586026,0.8389035254925558,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria,-0.7244913242071678,0.7789124461782709,-0.9301319137495876,0.3523027888728163,0.7652961267312532,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia,1.1731851101243889,0.6184029014307748,1.897120966622304,0.05781197460563678,0.47477066255414524,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia,0.38090904399307807,0.527356203899916,0.7222993513230171,0.4701104516344835,0.7652961267312532,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia,-0.9191511419669317,0.7013705396893315,-1.3105071997664244,0.1900243101923577,0.7652961267312532,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae,0.8152302853446977,0.7390719433876196,1.1030459113465974,0.27000722787707315,0.7652961267312532,0,0,0,False
Archaea*Euryarchaeota*Methanobacteria,1.1966907080697342,0.6455419539287595,1.8537768161878418,0.06377109661133538,0.47477066255414524,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria,0.46533484765190647,0.4508621739055315,1.032099995484224,0.30202527597900913,0.7652961267312532,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria,-0.34282557975535316,0.4217712904787247,-0.8128234128174882,0.4163193099812801,0.7652961267312532,0,0,0,False
Bacteria*Elusimicrobiota*Elusimicrobia,-0.14003080268712884,0.2589251766773467,-0.5408157077811896,0.5886346149165826,0.8150325437306529,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia,-0.07314399542954317,0.3597902736856605,-0.20329619997856638,0.8389035254925558,0.8389035254925558,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia,-0.23327859476169205,0.2956067281208423,-0.7891518445626485,0.430023263437473,0.7652961267312532,0,0,0,False
Bacteria*Synergistota*Synergistia,0.0720448971052281,0.2734132864067296,0.2635018146047742,0.792163825105729,0.8389035254925558,0,0,0,False
Archaea*Thermoplasmatota*Thermoplasmata,0.15912834066831838,0.24164162942283948,0.6585303246315467,0.5101974178208355,0.7652961267312532,0,0,0,False
