,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,329941.7161792913,0.9139435741508388,0.6076705890709398,1.504011532873684,0.14377549653048724,0.5339385665083061,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,274841.10542436264,-0.005069582157702035,0.8573875722247188,-0.00591282440046065,0.9953242033468728,0.9953242033468728,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,1533.4998889112726,-2.4749587040473267,1.3001682788851912,-1.9035679798075378,0.0672919854206782,0.3915170060839459,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,182674.4115553471,1.1863403598405213,0.41292489149552924,2.873017307200445,0.0076714298021672974,0.27066945807699944,0,28
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,21883.96386214738,-3.1188769710504918,1.6274793128120588,-1.9163850173072274,0.06557555411942739,0.3915170060839459,0,28
Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae,194.02101989277847,-0.6746021878133763,0.7922827225051398,-0.8514664887306059,0.4017340200735472,0.6928813770640097,0,28
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,14563.215171516345,0.8902826845276843,1.4483789706102899,0.6146752352753052,0.543732426602531,0.6959775060512396,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,35062.438824892895,-1.039090851162849,1.1046640725597736,-0.9406396722535063,0.3549344673575141,0.654424846249238,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,21700.273747925035,-0.9101546597235782,1.1383577328899506,-0.7995330759628322,0.4307122993311888,0.6928813770640097,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,1314.8714746003868,-2.668040054796784,1.0114507658511347,-2.6378348258519844,0.013467634749959802,0.27066945807699944,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,50446.180503743555,0.9251753586691838,0.6282677792170253,1.472581261165705,0.152016717223707,0.5339385665083061,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,1067.7261027977806,1.3497428589858373,1.2239773203922881,1.1027515269263657,0.27952341674881165,0.653474190098812,0,28
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,10453.384194194996,0.5784886654087664,1.0734772543730804,0.5388923361460589,0.59422033248645,0.7313481015217846,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,621.8436530799713,-0.7605769819724562,1.1899433887913637,-0.639170727899065,0.5279066959590637,0.6928813770640097,0,28
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,3737.9978361452445,-1.2292583895328115,1.4006249563514375,-0.8776499261693667,0.3876025835709359,0.6890712596816638,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,6265.448748280762,0.05912243878958215,1.3043268729755588,0.045327931222260434,0.964167661769533,0.9953242033468728,0,28
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,8294.065601170973,1.3516151857440861,0.7596864969352943,1.779174950715504,0.08607015838045591,0.42373001048839837,0,28
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,3702.4355257171906,0.01605968638282651,1.2026597386115232,0.013353474692158149,0.98944048004453,0.9953242033468728,0,28
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,143.0040929954153,0.8022993014474066,0.858266275541729,0.9347906638193414,0.35788858779255206,0.654424846249238,0,28
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,241.29186977843773,1.8717928228527185,0.9504824330482271,1.9693081721140495,0.05888514486102555,0.3915170060839459,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae,2058.091748889111,-1.8335090196828412,1.2027098020524463,-1.5244816468228035,0.13860498492480455,0.5339385665083061,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,2276.6248790801324,0.17667896147320922,1.3935142795162399,0.12678661716659517,0.9000153979596258,0.993120439127863,0,28
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales*Desulfovibrionaceae,2191.9962945915177,-0.7711017561333852,1.1460122059457096,-0.6728564950118121,0.5065542717044151,0.6928813770640097,0,28
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,1448.840652476055,0.9212591122650776,1.148699808894443,0.8020016240376467,0.42930651891864,0.6928813770640097,0,28
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,233.65987853072207,-0.3220579805163988,0.7738324350188736,-0.4161856830265119,0.6804470311059506,0.7917929089232879,0,28
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcales-Tissierellales_fa,179.37797574347846,-0.561391993109394,0.5973660412297118,-0.9397788865830686,0.35536819767536576,0.654424846249238,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,228.45379645275904,0.6643700720129834,0.8746003985367562,0.7596269943673738,0.45382609330265744,0.6928813770640097,0,28
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,6022.9618460023175,0.9634151050156524,0.8855349685521453,1.0879469916256854,0.2858949581682303,0.653474190098812,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Comamonadaceae,164.25896457739123,-0.434361336961158,0.6589723599506525,-0.6591495536985578,0.5151845771130218,0.6928813770640097,0,28
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,1996.510395604856,1.7829601713962244,1.2008450608783188,1.484754552841427,0.14878085884132852,0.5339385665083061,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,3228.777893841219,0.07345604636459296,0.8945909292916607,0.0821113248071447,0.9351423610008702,0.9953242033468728,0,28
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,4372.680712294569,0.7561407036959299,1.0302399899745849,0.7339461786127941,0.4690832677040232,0.6928813770640097,0,28
