,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,0.22670688036483438,0.44954246265179715,0.504305820250033,0.6140464880989047,0.7705681419280372,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,-0.41383372141950403,0.6195032702262403,-0.6680089376580264,0.50412788735246,0.7472710081467658,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,-1.659574884011517,0.8296994577216337,-2.000212087119754,0.045477367175811884,0.46474092624675867,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,0.41492307598222206,0.32080238285430035,1.2933915025521139,0.19587568757152257,0.7374143532104379,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,-2.2422570271168563,1.009108612178716,-2.2220175311711103,0.02628212085526719,0.46474092624675867,0,0,0,False
Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae,-0.49494039324618366,0.5259874854469435,-0.9409737055352592,0.3467183342197664,0.7472710081467658,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,0.30916895835070124,0.9257119533944138,0.3339796544886734,0.7383949114144832,0.8293109480450909,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,-1.1046152359003405,0.7535326264346899,-1.465915604911209,0.1426712801324879,0.6239790087722363,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,-1.0775186650486974,0.7416212151292453,-1.4529231945730057,0.1462450801809929,0.6239790087722363,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,-1.843501010410652,0.6201539870899547,-2.972650420359626,0.002952405031951397,0.1889539220448894,1,0,0,True
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,0.234382950456672,0.4865128569839198,0.4817610615877698,0.6299756934326171,0.7753546996093749,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.4216049590335179,0.7463114431011459,0.5649182562197144,0.5721293656123676,0.7472710081467658,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,-0.018921576331629136,0.7131452786385426,-0.026532569026821714,0.9788325564105427,0.9788325564105427,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,-0.5935943003847657,0.7349093032474611,-0.8077109621034266,0.41925699157531776,0.7472710081467658,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,-1.077497937666212,0.8567808887341042,-1.2576120123993635,0.2085321069158192,0.741447491256246,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,-0.47231518920419924,0.8149652537663393,-0.5795525478189502,0.562216400747602,0.7472710081467658,0,0,0,False
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,0.5127721990749241,0.5171252724436826,0.9915821685755408,0.3214013912153215,0.7472710081467658,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,-0.15014000659048593,0.7349436507963758,-0.20428777965194486,0.8381286190353632,0.8740337380168571,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,0.377121233397801,0.4986618328947223,0.7562664886715302,0.4494894358727094,0.7472710081467658,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,0.9682402043075659,0.5728172436954204,1.6903125996367536,0.09096816587900089,0.4851635513546714,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae,-1.2930284160195744,0.7461176757430314,-1.733008690260413,0.08309412420135197,0.48345672262604783,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,-0.22369496211474016,0.8504972268266451,-0.2630166860736107,0.7925377181543709,0.845373566031329,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales*Desulfovibrionaceae,-0.922938952562209,0.686915717160025,-1.3435985369180303,0.1790782428834733,0.7163129715338932,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,0.2534307082140215,0.6890996171659894,0.36777078654649065,0.7130441536572757,0.8293109480450909,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,-0.2820244844629166,0.4865185489615324,-0.5796787914148274,0.5621312481574089,0.7472710081467658,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcales-Tissierellales_fa,-0.39274213459951696,0.3929677353271872,-0.9994259052146294,0.31758841587510567,0.7472710081467658,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,0.19659526094621704,0.5294932560612141,0.3712894521238036,0.7104219533749352,0.8293109480450909,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,0.2580477296224327,0.5842053735943907,0.4417072168213113,0.6587010866883047,0.7954126329821039,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Comamonadaceae,-0.3362131071188582,0.431187651076098,-0.7797373284689031,0.4355455021149929,0.7472710081467658,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,0.7291751308767618,0.7412391751244073,0.9837244918340686,0.32525099417901315,0.7472710081467658,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,-0.3213120834253744,0.5529839259579328,-0.5810513983182535,0.5612058132163603,0.7472710081467658,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,0.18410902421522302,0.6465731076358611,0.2847458733450914,0.7758388429416492,0.845373566031329,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,0.8029202499820948,0.7143422308404939,1.1239994155705735,0.2610132738777391,0.7472710081467658,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae,1.1603843575302557,0.5643144144771763,2.0562727581667817,0.039756232584932966,0.46474092624675867,0,0,0,False
Archaea*Euryarchaeota*Methanobacteria*Methanobacteriales*Methanobacteriaceae,1.1929028974744573,0.614931997830378,1.9398940072777056,0.05239257253669594,0.46474092624675867,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae,-0.08615359235990401,0.44568756049179803,-0.19330490683840723,0.8467201837038304,0.8740337380168571,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,-0.8096215519163696,0.42140317906007246,-1.9212516472282126,0.05469998979604063,0.46474092624675867,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Eggerthellaceae,1.0149309495474457,0.518919699831844,1.9558535740237537,0.05048240568628262,0.46474092624675867,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriales_Incertae_Sedis,0.9791091162031782,0.533417014928712,1.8355415909146249,0.06642548250629786,0.47235898671145143,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*M2PB4-65_termite_group,0.31816366576432226,0.312073528147562,1.0195150727872073,0.30795850109682016,0.7472710081467658,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae,0.34220596482434107,0.4269599551299569,0.8014942870231972,0.42284555010686936,0.7472710081467658,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria*Victivallales*vadinBE97,-0.20953973291725664,0.26964560708085905,-0.77709307110804,0.4371038616313373,0.7472710081467658,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptococcales*Peptococcaceae,-0.44341645587218115,0.3664108476584429,-1.2101619226227727,0.22621676597566157,0.7472710081467658,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Atopobiaceae,-0.17840486617675033,0.25429673060635566,-0.7015617768712731,0.4829524958491671,0.7472710081467658,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Oxalobacteraceae,-0.17173263560628482,0.24263188137297712,-0.7077908914298654,0.4790751236235488,0.7472710081467658,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria*Victivallales*Victivallaceae,-0.2690700030302513,0.2920335557293899,-0.9213667325257049,0.3568589913159098,0.7472710081467658,0,0,0,False
Bacteria*Elusimicrobiota*Elusimicrobia*Elusimicrobiales*Elusimicrobiaceae,-0.1438186132824057,0.22176166571519793,-0.6485278364886913,0.5166436126377159,0.7472710081467658,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales*Actinomycetaceae,0.5128642559187483,0.28805549346991655,1.7804356019764989,0.07500469964784241,0.48003007774619144,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae,-0.4756315070739807,0.30989947298254894,-1.534792887823867,0.12483471036576177,0.6145708818006733,0,0,0,False
Bacteria*Firmicutes*Clostridia*Eubacteriales*Eubacteriaceae,0.4840741316999916,0.25544830846393746,1.894998383864147,0.05809261578084483,0.46474092624675867,0,0,0,False
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Porphyromonadaceae,-0.10516404693220958,0.19307955046109232,-0.5446669348518155,0.5859826099167449,0.7500577406934335,0,0,0,False
Bacteria*Synergistota*Synergistia*Synergistales*Synergistaceae,0.06825708650995105,0.24513470052115321,0.278447263340675,0.7806690425162217,0.845373566031329,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales*Leuconostocaceae,0.16319273245013355,0.23580751424276997,0.6920590846062793,0.48890022492199564,0.7472710081467658,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales*Defluviitaleaceae,0.18237153728025235,0.21137745023866852,0.8627766919997129,0.38826025656816304,0.7472710081467658,0,0,0,False
Bacteria*Firmicutes*Bacilli*Staphylococcales*Gemellaceae,-0.2213620006027846,0.24458791095201848,-0.9050406446547958,0.36544385508659916,0.7472710081467658,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Opitutales*Puniceicoccaceae,0.17021676682732206,0.2113743446816348,0.8052858405484216,0.4206547507641683,0.7472710081467658,0,0,0,False
Archaea*Thermoplasmatota*Thermoplasmata*Methanomassiliicoccales*Methanomethylophilaceae,0.1553405300730413,0.20211930576458872,0.7685585970395558,0.4421553921681281,0.7472710081467658,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales*Micrococcaceae,-0.24054080543290324,0.22820951158303393,-1.0540349688509043,0.2918669075119532,0.7472710081467658,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales*Mitochondria,-0.05895423489487993,0.1766677475935552,-0.33370117465079724,0.738605063102659,0.8293109480450909,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Pseudomonadaceae,-0.20648576384850398,0.19854552160535963,-1.0399920490723877,0.298343594630574,0.7472710081467658,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales*Corynebacteriaceae,0.12400695478999228,0.17857047685622696,0.694442647929055,0.487404655968927,0.7472710081467658,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_or*Hungateiclostridiaceae,0.12400695478999221,0.1852737786453256,0.6693173513095015,0.5032930606704521,0.7472710081467658,0,0,0,False
Bacteria*Firmicutes*Clostridia*Eubacteriales*Anaerofustaceae,0.10913071803571163,0.17312925963192557,0.6303424289327209,0.528470568807696,0.7472710081467658,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ethanoligenenaceae,-0.021646515699185173,0.17930080604703016,-0.12072737527742818,0.9039069752477583,0.9182547050135957,0,0,0,False
