Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae,0.4075246945308374,-0.06,0.809,0.275,0.797,3959.6698445302586,0.3723182342131018
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae,0.0,-0.387,0.414,0.134,0.42286666666666667,2076.4006845799695,-0.21561562162632664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae,0.0,-0.97,0.42,0.307,0.5266666666666666,90.14245331843078,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae,0.4468279117415938,-0.019,0.924,0.295,0.8216666666666667,2744.1294006089897,0.4290207907740423
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae,0.0,-1.202,0.095,0.397,0.7644666666666666,357.23407302064976,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae,0.0,-1.18,0.617,0.335,0.5342666666666667,4.443272851652048,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae,0.0,-0.416,0.585,0.166,0.4135333333333333,460.53609446196765,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae,0.0,-0.64,0.339,0.189,0.4448,565.8852016256303,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae,0.0,-0.615,0.348,0.184,0.46813333333333335,444.6961471945822,-0.21561562162632644
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae,0.0,-1.4,0.244,0.472,0.7384666666666667,117.14251068700233,-0.215615621626327
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae,0.0,-0.217,0.715,0.206,0.4948,851.8336264563956,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae,0.0,-0.347,0.87,0.257,0.5162,164.74374954739704,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae,0.0,-0.382,0.576,0.183,0.48273333333333335,427.6868349190465,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Muribaculaceae,0.0,-0.859,0.538,0.269,0.5067333333333334,58.69715351903395,-0.21561562162632664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae,0.0,-0.76,0.364,0.235,0.5116666666666667,190.06977349103326,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae,0.0,0.0,0.0,0.0,0.0,316.2051569077765,-0.21561562162632664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae,0.0,-0.346,0.715,0.214,0.48533333333333334,425.5537379308719,-0.21561562162632664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae,0.0,-0.641,0.43,0.196,0.4660666666666667,258.8868862422453,-0.21561562162632664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae,0.0,-0.71,0.757,0.283,0.5141333333333333,23.438764016537032,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae,0.0,-0.363,1.064,0.331,0.591,71.54962276407807,-0.21561562162632664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae,0.0,-0.891,0.359,0.274,0.5392,152.3821078267406,-0.215615621626327
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae,0.0,-0.553,0.566,0.191,0.44353333333333333,178.82206007932623,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales*Desulfovibrionaceae,0.0,-0.56,0.574,0.203,0.4735333333333333,174.05846241075258,-0.21561562162632664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae,0.0,-0.38,0.797,0.22,0.45966666666666667,185.74805893207133,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae,0.0,-0.966,0.643,0.319,0.5316666666666666,38.605364119747726,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcales-Tissierellales_fa,0.0,-1.234,0.626,0.385,0.5669333333333333,11.272782969628846,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*UCG-010,0.0,-0.589,0.973,0.286,0.48586666666666667,50.42016698571275,-0.21561562162632664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae,0.0,-0.379,0.609,0.179,0.46113333333333334,365.1803107464179,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Comamonadaceae,0.0,-1.07,0.909,0.397,0.5776,5.172681573511635,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcaceae,0.0,-0.306,0.816,0.247,0.5184,229.1533049840486,-0.21561562162632664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Oscillospirales*Butyricicoccaceae,0.0,-0.521,0.472,0.174,0.45593333333333336,268.64511504009977,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Monoglobales*Monoglobaceae,0.0,-0.413,0.62,0.189,0.4668,309.6340863387564,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae,0.0,-0.378,0.81,0.254,0.5142666666666666,125.38527958747137,-0.21561562162632664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Anaerovoracaceae,0.0,-0.308,0.941,0.296,0.5639333333333333,185.37693406278478,-0.21561562162632664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Euryarchaeota*Methanobacteria*Methanobacteriales*Methanobacteriaceae,0.0,-0.319,1.275,0.397,0.6108,49.22448851175887,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales*Succinivibrionaceae,0.0,-0.825,0.831,0.312,0.5342666666666667,23.48568845336545,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Selenomonadaceae,0.0,-1.573,0.358,0.488,0.6312,26.55959918713732,-0.215615621626327
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Eggerthellaceae,0.0,-0.198,0.869,0.267,0.6049333333333333,216.45685286367046,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriales_Incertae_Sedis,0.0,-0.474,0.807,0.248,0.5016666666666667,89.78260368422488,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*M2PB4-65_termite_group,0.0,-0.712,1.164,0.36,0.5416666666666666,4.560312872890858,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae,0.0,-0.61,0.826,0.27,0.49853333333333333,29.707253264390786,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Lentisphaeria*Victivallales*vadinBE97,0.0,-0.979,0.748,0.317,0.49946666666666667,4.601540936745167,-0.21561562162632664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Peptococcales*Peptococcaceae,0.0,-0.739,0.566,0.239,0.494,74.54412512773949,-0.215615621626327
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Atopobiaceae,0.0,-0.982,0.805,0.352,0.5274,4.647787192004094,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Oxalobacteraceae,0.0,-1.145,0.803,0.381,0.5562,4.346588278796759,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Lentisphaeria*Victivallales*Victivallaceae,0.0,-1.091,0.638,0.336,0.5263333333333333,24.15258065110713,-0.21561562162632664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Elusimicrobiota*Elusimicrobia*Elusimicrobiales*Elusimicrobiaceae,0.0,-1.172,0.687,0.373,0.5648666666666666,4.8909728652543665,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales*Actinomycetaceae,0.0,-0.405,1.278,0.422,0.5892,31.481221765638303,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Carnobacteriaceae,0.0,-1.398,0.414,0.462,0.6102,25.365531722682547,-0.21561562162632664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Eubacteriales*Eubacteriaceae,0.0,-0.435,1.445,0.468,0.6426666666666667,19.95323396382957,-0.215615621626327
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Porphyromonadaceae,0.0,-1.245,0.71,0.367,0.5365333333333333,4.808529084195538,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Synergistota*Synergistia*Synergistales*Synergistaceae,0.0,-0.828,0.989,0.33,0.5269333333333334,10.489672835014034,-0.21561562162632664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Lactobacillales*Leuconostocaceae,0.0,-0.696,0.689,0.264,0.5205333333333333,35.887578529165445,-0.21561562162632664
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia*Lachnospirales*Defluviitaleaceae,0.0,-0.811,0.998,0.347,0.5064666666666666,5.004768878848173,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli*Staphylococcales*Gemellaceae,0.0,-1.085,0.545,0.324,0.5004666666666666,23.721723546408487,-0.2156156216263272
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae*Opitutales*Puniceicoccaceae,0.0,-0.695,1.035,0.341,0.5364,4.587757000177732,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Thermoplasmatota*Thermoplasmata*Methanomassiliicoccales*Methanomethylophilaceae,0.0,-0.949,0.936,0.353,0.5451333333333334,4.822976331483623,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria*Micrococcales*Micrococcaceae,0.0,-1.368,0.653,0.449,0.6174,17.750101489948072,-0.21561562162632683
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales*Mitochondria,0.0,-1.055,0.812,0.382,0.5692666666666667,4.866579036320884,-0.215615621626327
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales*Pseudomonadaceae,0.0,-1.291,0.465,0.411,0.5391333333333334,17.679242895654973,-0.21561562162632683
