,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Bacteroidaceae*Bacteroides,443091.8317760617,-0.08549580862792121,0.8612156004607372,-0.09927340910009323,0.9216285374971392,0.9556258365089411,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella,1328.3549233395004,-2.165283240378823,1.2740923834821363,-1.6994711438907069,0.10031574733714628,0.5121681328370988,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Blautia,25304.83746355648,3.1419431464385124,1.1191690867096407,2.807389145884856,0.008993529710875092,0.2683188355225829,0,28
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Dialister,11775.640189868212,-2.0325502393983026,1.7761535807424447,-1.1443550047900037,0.2621651368829063,0.6533420495944857,0,28
Bacteria*Firmicutes*Bacilli*Bacillales*Planococcaceae*Lysinibacillus,314.4014221968199,-0.790650810986123,0.8517367047754588,-0.9282807780305303,0.3611956208878685,0.6533420495944857,0,28
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales*Bifidobacteriaceae*Bifidobacterium,23542.051562870092,0.8130856277291947,1.4478208044337622,0.5615927228281471,0.578861343790306,0.7551675451286761,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Rikenellaceae*Alistipes,53962.450223452906,-1.0525386451524377,1.125567017737675,-0.9351185922878051,0.35772253260136655,0.6533420495944857,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Tannerellaceae*Parabacteroides,35044.026928808715,-0.983982311403684,1.138287002790298,-0.8644413131236982,0.39469105728747755,0.6533420495944857,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Ruminococcus,42842.9733576222,-0.6426871063354133,1.4196188768957902,-0.45271806172424606,0.6542402330089339,0.813697395852432,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Faecalibacterium,76415.5327311358,1.107373757360752,0.6622017546375074,1.672260379266035,0.10561266042220945,0.5121681328370988,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales*Pasteurellaceae*Haemophilus,2154.4151600228015,-2.7762149624853976,1.0028101734147028,-2.7684351795435163,0.009876766951751518,0.2683188355225829,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Agathobacter,34672.36969404015,1.8963646136366508,0.9387636847858941,2.020066012746497,0.05303748825978158,0.4322555293172199,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Incertae_Sedis,5344.528934777599,2.262092232046792,0.67152630275821,3.368583215215148,0.0022146711628678807,0.12033046651582152,1,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-002,9571.760764732515,0.6739303551104578,1.6096734054170354,0.41867521252601886,0.6786476919814601,0.8194042503183556,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Roseburia,9710.55943899632,2.0030214381649474,1.1104719461210586,1.8037569027849958,0.08203960405587378,0.5104565755420553,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales*Enterobacteriaceae*Escherichia/Shigella,1105.1319547201813,1.2981592351540894,1.3326202291075362,0.974140424105279,0.33832808450135854,0.6533420495944857,0,28
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelotrichaceae*Holdemanella,1318.893881083547,-1.18411173384319,1.5113797085983685,-0.7834640938386807,0.4399318231463506,0.6764989355929731,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Prevotellaceae*Alloprevotella,626.9420533630188,-1.7863751719423668,0.9493741696679304,-1.88163447986709,0.07031973683283141,0.4983529175544139,0,28
Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*Acidaminococcus,953.2483421282461,-1.6050996776567288,1.2559106364704018,-1.2780365346436464,0.21173050677271393,0.6533420495944857,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Anaerostipes,5982.155507346827,2.513828644834402,1.0821312457892194,2.3230348949041,0.027664293707114578,0.4241496192330566,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospira,29128.45955039624,-0.9261076728935687,1.0536017765556638,-0.8789921329870125,0.38688688648440306,0.6533420495944857,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Ruminococcaceae*Subdoligranulum,35264.69712148885,1.0427674564428346,0.8704185885105432,1.1980068787676217,0.24095719832937673,0.6533420495944857,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae*Sutterella,1793.5400045591002,-2.392235054954776,1.0808487965233644,-2.213292981080785,0.03519740270132392,0.4241496192330566,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnoclostridium,7124.213118646152,1.5724727370056706,1.1127773885885328,1.4131062988260605,0.16864527334186463,0.5848761607388071,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales*Sutterellaceae*Parasutterella,3300.6896562148627,1.17598229342671,1.355540473093279,0.8675375739561462,0.39302205455883676,0.6533420495944857,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Coprococcus,10681.276284544581,0.33448731221200334,1.0495516162123555,0.31869543817111956,0.7523226909639976,0.8532272691156129,0,28
Bacteria*Firmicutes*Bacilli*Erysipelotrichales*Erysipelatoclostridiaceae*Erysipelotrichaceae_UCG-003,6068.330328556243,0.025050176499172384,1.2247814554070062,0.020452772524097353,0.9838272421380515,0.9838272421380515,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_NK4A136_group,8835.517651675196,-1.9534176287755343,1.1900553794504942,-1.6414510303524876,0.11189036205273724,0.5121681328370988,0,28
Bacteria*Firmicutes*Clostridia*Christensenellales*Christensenellaceae*Christensenellaceae_R-7_group,5116.827488896901,-0.10737740378101655,1.2301579984589042,-0.08728748983100947,0.9310642632684082,0.9556258365089411,0,28
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales*Fusobacteriaceae*Fusobacterium,235.1950789458039,0.6756288792411423,0.8936785967549191,0.7560087952139081,0.4559576826395414,0.6881583543541226,0,28
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales*Coriobacteriaceae*Collinsella,375.4026612712101,1.7931309436211265,0.9356582747402687,1.9164378620163278,0.06556855673367351,0.48580339761767194,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Barnesiellaceae*Barnesiella,2725.3292128023804,0.07458448677092021,1.4826303453520533,0.05030551749108439,0.9602360793632088,0.9661634625691545,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae*Butyricimonas,1069.2844741322656,-1.7983820085074063,1.088394598782664,-1.6523253703379652,0.10964004180447766,0.5121681328370988,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Tuzzerella,427.99327196396007,0.37269989758462124,1.0749549434804997,0.3467121109075417,0.73139982542532,0.847566994780542,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Fusicatenibacter,3627.8075026328074,1.2853552886411717,1.175462371405876,1.0934890983399677,0.283497740616101,0.6533420495944857,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*UCG-005,7014.884971274822,-0.20500746162978112,1.0878877404860008,-0.18844541950458646,0.8518866705208206,0.895855014805766,0,28
Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*Lactobacillus,377.62985793658726,-0.4231081515632578,0.7925371101831985,-0.5338654128958762,0.5976479344883388,0.7551675451286761,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales*Oscillospiraceae*NK4A214_group,3610.0556620342327,-0.2789480365621735,1.1750786508810502,-0.23738669437405222,0.8140852042242039,0.895855014805766,0,28
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales*Desulfovibrionaceae*Desulfovibrio,476.1898561184858,-0.4748187048272925,0.8839428611222228,-0.5371599519730035,0.5954004863811824,0.7551675451286761,0,28
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium_sensu_stricto_1,2309.1569095457294,0.8450393659845358,1.1736807517137364,0.7199908192672166,0.47749825226668796,0.7077632267528101,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Tyzzerella,333.8324842477345,1.8320865074281851,1.0476882075453302,1.748694405676907,0.09130090328167287,0.5121681328370988,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Lachnospiraceae_UCG-010,1548.9399424144028,-0.6850838219901766,1.0024824059460251,-0.6833873771018205,0.4999785142993528,0.7212079454052611,0,28
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Anaeroglobus,173.922218587745,0.7881913862586232,0.7757578365649506,1.016027617263563,0.31831578648024134,0.6533420495944857,0,28
Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*Streptococcus,9710.06572303624,0.8691678639042286,0.8852133308931749,0.9818738981565535,0.33457047341322854,0.6533420495944857,0,28
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales*Peptostreptococcales-Tissierellales_fa*Fenollaria,268.65520439001943,-0.563798853546297,0.6317561752870676,-0.892431092248697,0.37976783554961147,0.6533420495944857,0,28
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales*Marinifilaceae*Odoribacter,1435.8241513725845,-0.8281031486464587,1.0919168006699855,-0.758393998643803,0.4545518216193629,0.6881583543541226,0,28
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales*Veillonellaceae*Megasphaera,791.0334723409113,-2.093128500258271,0.98030220139719,-2.1351869834373614,0.04163431845232458,0.4241496192330566,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales*Lachnospiraceae*Dorea,3329.47592702718,-0.5670846494701618,1.2533242552919388,-0.4524644337454954,0.6544206840296889,0.813697395852432,0,28
