,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,391763.84743889107,-0.4654047117085799,0.8627657171221873,-0.5394334782575372,0.5938519209412434,0.725819014483742,0,28
Bacteria*Firmicutes*Clostridia*Lachnospirales,251999.13432343295,0.9580386275857393,0.5853764894299084,1.6366195856597563,0.11290242776180762,0.47283487434695853,0,28
Bacteria*Firmicutes*Clostridia*Oscillospirales,269973.26478812675,0.7779024876460968,0.3029984399989736,2.5673481607652238,0.01587887572789214,0.15717002115932463,1,28
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,17030.459487402484,-3.08781452627367,1.6407390637126134,-1.8819656303462777,0.07027316195492805,0.3435576806685372,0,28
Bacteria*Firmicutes*Bacilli*RF39,215.96469985471433,0.4101493624293291,1.1121548498080533,0.36878799971075676,0.7150597122950578,0.8279638773942776,0,28
Bacteria*Firmicutes*Bacilli*Bacillales,154.46124859680407,-0.6571839167361112,0.8322514888189868,-0.7896458288932512,0.43637101830993674,0.6651937665934649,0,28
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,11145.48170149083,0.9149005933040694,1.4416631713203596,0.6346146669378742,0.5308313825671793,0.6673308809415969,0,28
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,4821.570610528695,-2.9209785290862706,1.2374841989756595,-2.36041682916367,0.02545362020298549,0.15999418413305164,1,28
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,1010.9533066440692,-2.6128350779096947,0.992976443985837,-2.6313162751592545,0.01367543633885754,0.15717002115932463,1,28
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,20415.13785987295,1.012115507345613,0.7930365600249332,1.276253275528422,0.21235098517087292,0.5496143145599064,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,826.1347860941895,1.3745225856216963,1.2394422808745462,1.1089847480851127,0.2768714389981484,0.6318270236721665,0,28
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,2882.9011625784565,-1.1796114189882088,1.3979428955996835,-0.8438194597943031,0.4059219759472228,0.6651937665934649,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,5260.610381476111,-0.0363520160934106,1.3262993305116602,-0.02740860623022912,0.9783282544869389,0.996556054260114,0,28
Bacteria*Firmicutes*Bacilli*Lactobacillales,5144.829267707287,0.9130076596036968,0.9726282339679864,0.9387015796147946,0.35591152469851883,0.6651937665934649,0,28
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,1339.8405686680735,2.316985403673547,0.876613123060966,2.643110561228054,0.013301608877294946,0.15717002115932463,1,28
Bacteria*Firmicutes*Clostridia*Christensenellales,2829.0058059568023,0.06115202415335223,1.1826034970338497,0.05170965949849705,0.9591271876644308,0.996556054260114,0,28
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,113.73946599664578,0.8219725571368871,0.8583864139808663,0.9575787125111804,0.34647099660171177,0.6651937665934649,0,28
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,3658.0992642807973,2.442866473159504,0.8549613061542013,2.8572830788659194,0.007970564778859768,0.15717002115932463,1,28
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,1692.8371087996231,-0.7396546135578073,1.118989529335603,-0.6610022651391343,0.5140133650949501,0.6651937665934649,0,28
Bacteria*Firmicutes*Clostridia*Clostridiales,1118.2478315476158,0.9639539882668473,1.1358013757416079,0.848699437115442,0.4032462525600268,0.6651937665934649,0,28
Bacteria*Firmicutes*Clostridia*Monoglobales,3331.152347377359,0.7993197978043427,1.0111804233728527,0.7904818757647263,0.43589078591906116,0.6651937665934649,0,28
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,436.9665880513254,1.6126685327400025,1.1858908444291376,1.3598794023207983,0.18471819646389667,0.5079750402757158,0,28
Archaea*Euryarchaeota*Methanobacteria*Methanobacteriales,149.7103007779767,2.2910429747692254,1.0085123847747595,2.271705344779584,0.030984173396402085,0.17041295368021148,1,28
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,99.24095520183779,1.1441367670980163,0.7098234970588281,1.6118609370340322,0.11820871858673963,0.47283487434695853,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Aeromonadales,143.6578686997587,0.003107748061013521,0.713594242084692,0.004355063252661002,0.996556054260114,0.996556054260114,0,28
Bacteria*Firmicutes*Clostridia*Clostridia_vadinBB60_group,333.84761713855363,-0.8746684589751331,0.7724963117426692,-1.1322623107442085,0.26712777349565153,0.6318270236721665,0,28
Bacteria*Verrucomicrobiota*Lentisphaeria*Victivallales,159.92683736351486,-0.4163713549053252,0.5718780245236144,-0.7280772071145254,0.47261164059525873,0.6651937665934649,0,28
Bacteria*Bacteroidota*Bacteroidia*Flavobacteriales,137.62736798323877,-0.49070636475133367,0.45228171373610065,-1.084957339304797,0.28719410166916653,0.6318270236721665,0,28
Bacteria*Firmicutes*Bacilli*Izemoplasmatales,110.95771833579686,0.1500281768880972,0.4386497627137328,0.34202270157389114,0.7348877446651877,0.8291041221863656,0,28
Bacteria*Firmicutes*Clostridia*Peptococcales,258.6718909718344,-0.4386091336631356,0.5944052087836629,-0.7378958447565857,0.46671743583820957,0.6651937665934649,0,28
Bacteria*Elusimicrobiota*Elusimicrobia*Elusimicrobiales,105.9470457419925,-0.1132823378318206,0.30079519017286427,-0.3766095387586426,0.7093027710186115,0.8279638773942776,0,28
Bacteria*Actinobacteriota*Actinobacteria*Actinomycetales,93.14380859522838,1.255747983329722,0.49900500612758697,2.5165037783381456,0.017860229677195978,0.15717002115932463,1,28
Bacteria*Cyanobacteria*Vampirivibrionia*Gastranaerophilales,117.17942029164598,0.048332487585140776,0.5141723800844415,0.09400055206622189,0.9257781618886807,0.996556054260114,0,28
Bacteria*Firmicutes*Clostridia*Eubacteriales,86.40629331765201,1.1279477500970951,0.46700399682296734,2.4152850034914786,0.022499703312758433,0.15999418413305164,1,28
Bacteria*Cyanobacteria*Cyanobacteriia*Chloroplast,137.50567197362943,-0.2833309472341139,0.4018998084134564,-0.7049790552341737,0.48664669930364857,0.6651937665934649,0,28
Bacteria*Synergistota*Synergistia*Synergistales,99.08735458149563,0.26996413737578223,0.3666006826674533,0.7363983487741321,0.46761360661780615,0.6651937665934649,0,28
Bacteria*Firmicutes*Bacilli*Staphylococcales,125.81926683312075,-0.2412425546107738,0.36080230300129734,-0.6686280896879595,0.5092080303309635,0.6651937665934649,0,28
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Opitutales,85.54954841386204,0.45423568551978133,0.3091846253565599,1.469140598423821,0.15294147109471817,0.48439427945158264,0,28
Archaea*Thermoplasmatota*Thermoplasmata*Methanomassiliicoccales,85.54954841386204,0.4300643468941342,0.29174563023074196,1.4741072438822675,0.15160801477916191,0.48439427945158264,0,28
Bacteria*Actinobacteriota*Actinobacteria*Micrococcales,122.08840061851505,-0.31786511727219124,0.328738920813101,-0.966922676773366,0.34186079038216177,0.6651937665934649,0,28
Bacteria*Proteobacteria*Alphaproteobacteria*Rickettsiales,96.46793490682592,0.021939633884923565,0.25288452298076247,0.08675751930691529,0.9314817205379367,0.996556054260114,0,28
Bacteria*Proteobacteria*Gammaproteobacteria*Pseudomonadales,115.87600963627024,-0.2425208873003766,0.28484901225420406,-0.8514015385945831,0.4017694750672749,0.6651937665934649,0,28
Bacteria*Actinobacteriota*Actinobacteria*Corynebacteriales,85.54954841386198,0.3448134602778413,0.24768657119002205,1.3921362737639287,0.17484056046637467,0.5079750402757158,0,28
Bacteria*Firmicutes*Clostridia*Clostridia_or,85.54954841386198,0.37624068542362715,0.2568617100918536,1.4647597156037142,0.1541254525527763,0.48439427945158264,0,28
