,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia*Bacteroidales,-0.7480052531121381,0.6334692090681299,-1.1808075947566534,0.23767916631811095,0.6755390567137864,0,0,0,False
Bacteria*Firmicutes*Clostridia*Lachnospirales,0.24095628340559888,0.4444905762890636,0.5420953699790001,0.5877528081354833,0.8342297921922989,0,0,0,False
Bacteria*Firmicutes*Clostridia*Oscillospirales,0.11592124492840712,0.26999716911287386,0.42934244573484986,0.667674031643746,0.8720849544666158,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Veillonellales-Selenomonadales,-2.246846056645406,1.024815482107018,-2.192439610714991,0.028347779112991526,0.3524503553717666,0,0,0,False
Bacteria*Firmicutes*Bacilli*RF39,0.12310226216780515,0.708098988132507,0.17384894517709568,0.8619841773444584,0.8953430091414252,0,0,0,False
Bacteria*Firmicutes*Bacilli*Bacillales,-0.4811415731358867,0.5558179050966572,-0.8656460483262334,0.3866842949416177,0.7418568098702784,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria*Bifidobacteriales,0.3229677784609978,0.9267128570044781,0.34850900796279455,0.7274579499866616,0.8720849544666158,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridia_UCG-014,-1.8969101504393346,0.7769797292782332,-2.4413894969968504,0.014630865207303842,0.3218790345606845,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Pasteurellales,-1.8297021903003554,0.6181900450361315,-2.9597729775694046,0.00307865818555432,0.13546096016439008,1,0,0,True
Bacteria*Firmicutes*Bacilli*Erysipelotrichales,0.2775737169784262,0.5486439856655857,0.5059268382240416,0.612908010826366,0.8427485148862532,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Enterobacterales,0.4354037791438154,0.7650639569912506,0.5691076872267226,0.569283061861616,0.8342297921922989,0,0,0,False
Bacteria*Firmicutes*Negativicutes*Acidaminococcales,-1.0636991175559152,0.8670742328437764,-1.2267682249849134,0.21990971675533136,0.6755390567137864,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria*Burkholderiales,-0.5497067423775461,0.8359111360558992,-0.6576138523183714,0.5107862911196965,0.8026641717595231,0,0,0,False
Bacteria*Firmicutes*Bacilli*Lactobacillales,0.23106697378267113,0.630259485629898,0.36662196928577234,0.7139010185313563,0.8720849544666158,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia*Coriobacteriales,1.1831961196394083,0.579374252200203,2.0421965856200224,0.041132035044026134,0.3524503553717666,0,0,0,False
Bacteria*Firmicutes*Clostridia*Christensenellales,-0.1363411864801894,0.7354932951597043,-0.18537379929559303,0.8529358573899233,0.8953430091414252,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia*Fusobacteriales,0.39092005350809816,0.506605688768957,0.7716456055952059,0.4403243553392469,0.7545614020102711,0,0,0,False
Bacteria*Firmicutes*Clostridia*Peptostreptococcales-Tissierellales,1.1729062721880261,0.5754018650651426,2.0384123573447903,0.04150871150345285,0.3524503553717666,0,0,0,False
Bacteria*Desulfobacterota*Desulfovibrionia*Desulfovibrionales,-0.9091401324519119,0.6841450713003068,-1.3288703969232327,0.1838907319172442,0.6755390567137864,0,0,0,False
Bacteria*Firmicutes*Clostridia*Clostridiales,0.26722952832431895,0.6914346925211122,0.38648556575885057,0.6991370906260703,0.8720849544666158,0,0,0,False
Bacteria*Firmicutes*Clostridia*Monoglobales,0.1979078443255208,0.6394298967410084,0.3095067111096941,0.7569361078972208,0.8764523354599398,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae*Verrucomicrobiales,0.8167190700923921,0.7022389048555041,1.1630216788693073,0.2448207068403026,0.6755390567137864,0,0,0,False
Archaea*Euryarchaeota*Methanobacteria*Methanobacteriales,1.206701717584754,0.6104241412835819,1.976825023740603,0.048061412096149995,0.3524503553717666,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales,0.5556107107886553,0.43131298658439515,1.288184515816657,0.19768174072160846,0.6755390567137864,0,0,0,False
