,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Firmicutes,685521.4544439776,0.6584700537210209,0.38553378382949444,1.7079438465300223,0.09871269652110777,0.5922761791266467,0,28
Bacteria*Bacteroidota,288414.83376280917,-0.47472928528884856,0.7959696428922246,-0.5964163200544667,0.5556888513602466,0.7409184684803287,0,28
Bacteria*Actinobacteriota,11726.976657708368,1.2901869921765856,1.2235909238857825,1.0544267426235172,0.3007017194580347,0.7409184684803287,0,28
Bacteria*Proteobacteria,11961.671334846138,-0.15517564378919252,1.1058803570618265,-0.14031865454367332,0.8894127844878952,0.8894127844878952,0,28
Bacteria*Fusobacteriota,83.74007630584931,0.8127253498636589,0.8449758767676775,0.9618326063610384,0.34436702044346157,0.7409184684803287,0,28
Bacteria*Desulfobacterota,1245.656482536951,-0.7496236184579754,1.0372693344948443,-0.7226894631210188,0.47586422631188363,0.7409184684803287,0,28
Bacteria*Verrucomicrobiota,599.824407875694,0.7411411066297897,1.1341737315008094,0.6534634739327507,0.5187882001684265,0.7409184684803287,0,28
Archaea*Euryarchaeota,110.17916008123132,2.2810065456690642,1.0009305490970102,2.2788859304243188,0.03049901313721951,0.3659881576466341,0,28
Bacteria*Cyanobacteria,121.83005411894126,-0.2530739374162772,0.5707464598705632,-0.44340868530953415,0.6608775427646729,0.7754044172377907,0,28
Bacteria*Elusimicrobiota,77.90854760101018,-0.12089883549391839,0.3227495511584219,-0.374590251357391,0.7107873824679749,0.7754044172377907,0,28
Bacteria*Synergistota,72.94695505564849,0.2601831639231643,0.34520313337285496,0.7537103194313699,0.45731486231725793,0.7409184684803287,0,28
Archaea*Thermoplasmatota,62.978117083353396,0.42033979275704814,0.2956100666350203,1.4219400494098442,0.16608800579083025,0.664352023163321,0,28
