,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Firmicutes,0.017477652960954115,0.3429885271946687,0.050956960875354264,0.9593598162099611,0.9593598162099611,0,0,0,False
Bacteria*Bacteroidota,-0.7700815040109528,0.6329005204643325,-1.2167496772572983,0.2236994718126037,0.7928752749378152,0,0,0,False
Bacteria*Actinobacteriota,0.4648745312698398,0.8736594184354591,0.5321004060167206,0.5946564562033614,0.7928752749378152,0,0,0,False
Bacteria*Proteobacteria,-0.6773254419726016,0.7702551543953557,-0.8793520408237927,0.37921042721576725,0.7928752749378152,0,0,0,False
Bacteria*Fusobacteriota,0.36845604472092236,0.5496858397201757,0.6703029587018094,0.5026646814136904,0.7928752749378152,0,0,0,False
Bacteria*Desulfobacterota,-0.9316041412390876,0.6807125652938201,-1.3685719769797018,0.17113310862433645,0.7928752749378152,0,0,0,False
Bacteria*Verrucomicrobiota,0.29634741212636195,0.7150200651876889,0.4144602739904542,0.6785370548131104,0.8142444657757325,0,0,0,False
Archaea*Euryarchaeota,1.1842377087975782,0.6510151215385137,1.8190632899569588,0.06890177487270263,0.7928752749378152,0,0,0,False
Bacteria*Cyanobacteria,-0.2676318651653167,0.3899416122258203,-0.6863383049519926,0.49249979930055904,0.7928752749378152,0,0,0,False
Bacteria*Elusimicrobiota,-0.1524838019592845,0.2744194739658814,-0.5556595519829719,0.5784436124079755,0.7928752749378152,0,0,0,False
Bacteria*Synergistota,0.059591897833072366,0.2772954755263895,0.21490396740137635,0.8298421916215488,0.9052823908598714,0,0,0,False
Archaea*Thermoplasmatota,0.14667534139616256,0.2566672353808683,0.5714611028498092,0.5676871199924025,0.7928752749378152,0,0,0,False
