Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bacteroidota*Bacteroidia,0.0,-0.197,0.114,0.052,0.3273333333333333,16277.17674837233,0.25126267829311366
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Clostridia,-0.34230119303448553,-0.498,-0.196,0.079,1.0,16584.403973963756,-0.24257355538811431
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Gammaproteobacteria,0.0,0.0,0.0,0.0,0.0,1147.704576378576,0.25126267829311394
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Verrucomicrobiae,0.0,-0.464,0.167,0.142,0.5202666666666667,243.8416906985165,0.25126267829311394
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Fusobacteriota*Fusobacteriia,0.0,-0.396,0.441,0.154,0.4795333333333333,52.4845691852279,0.25126267829311394
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Negativicutes,0.0,-0.322,0.116,0.087,0.4424666666666667,1631.9309198635158,0.2512626782931134
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Actinobacteria,-0.2412073851558448,-0.498,0.026,0.162,0.7670666666666667,619.1278665856778,-0.09672602009701746
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Bacilli,-0.36232823598825503,-0.593,-0.111,0.137,0.9798666666666667,1438.2623609223313,-0.2714664709411881
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Proteobacteria*Alphaproteobacteria,0.0,-0.501,0.111,0.154,0.5619333333333333,282.4549887725268,0.25126267829311394
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Vampirivibrionia,0.0,-0.249,0.386,0.114,0.41373333333333334,138.31299630789763,0.25126267829311394
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Euryarchaeota*Methanobacteria,-0.18919654454500598,-0.563,0.138,0.177,0.6130666666666666,132.8635499777525,-0.021690238275294198
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Desulfobacterota*Desulfovibrionia,0.0,-0.345,0.113,0.105,0.47533333333333333,629.8736263149277,0.25126267829311366
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Elusimicrobiota*Elusimicrobia,0.0,-0.65,0.481,0.225,0.5104666666666666,5.921082021596789,0.25126267829311394
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Limnochordia,0.0,-0.651,0.357,0.199,0.5168666666666667,31.865349795079364,0.25126267829311366
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Lentisphaeria,0.0,-0.385,0.247,0.109,0.4012,167.0877638005567,0.2512626782931134
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Actinobacteriota*Coriobacteriia,0.0,-0.349,0.161,0.096,0.40886666666666666,360.87051367682716,0.25126267829311394
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Synergistota*Synergistia,0.0,-0.346,0.447,0.148,0.48793333333333333,49.6262141949801,0.25126267829311366
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Cyanobacteria*Cyanobacteriia,0.0,-0.422,0.436,0.155,0.47086666666666666,29.56287071196577,0.25126267829311394
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Spirochaetota*Spirochaetia,0.0,-0.581,0.596,0.235,0.5669333333333333,1.3586875623337469,0.25126267829311394
"C(host_disease, Treatment('Healthy'))[T.IBS]",Archaea*Thermoplasmatota*Thermoplasmata,0.0,-0.288,0.92,0.275,0.5932,13.484207773069231,0.25126267829311394
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Verrucomicrobiota*Kiritimatiellae,0.0,-0.752,0.478,0.257,0.5664666666666667,1.4821877505244059,0.25126267829311394
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Campilobacterota*Campylobacteria,0.0,-0.465,0.552,0.175,0.4398,21.66112558118841,0.25126267829311394
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Incertae_Sedis,0.0,-0.431,0.392,0.153,0.5012,52.64225930970272,0.25126267829311366
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Firmicutes*Syntrophomonadia,0.0,-0.49,0.592,0.208,0.5206,2.5257024097300524,0.25126267829311394
"C(host_disease, Treatment('Healthy'))[T.IBS]",Bacteria*Bdellovibrionota*Oligoflexia,0.0,-0.616,0.467,0.214,0.5464,0.2507043822570178,0.25126267829311394
