,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia,0.37273923083044186,0.157989090515516,2.359271957413005,0.018310831113146707,0.15259025927622258,1,0,0,True
Bacteria*Firmicutes*Clostridia,-0.05914254107653683,0.12017262477116539,-0.4921465366106216,0.6226157561212393,0.8192312580542623,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria,0.22673930138510875,0.25533871275601333,0.8879942212357258,0.37454385977667404,0.6677670863192646,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae,-0.9925838973015452,0.4627612032062192,-2.1449159748580353,0.031959565740932706,0.15979782870466352,1,0,0,True
Bacteria*Fusobacteriota*Fusobacteriia,0.40622059388570336,0.3128898562547153,1.2982862364032983,0.194188994177964,0.5190287579604689,0,0,0,False
Bacteria*Firmicutes*Negativicutes,0.2347613703299863,0.20370530564974565,1.1524558458660816,0.24913380382102507,0.5190287579604689,0,0,0,False
Bacteria*Actinobacteriota*Actinobacteria,-0.5680754384804397,0.3571355231557308,-1.590643891878343,0.11168974067268247,0.4190734696560805,0,0,0,False
Bacteria*Firmicutes*Bacilli,-0.5302882188886947,0.1977706103183672,-2.6813297387061064,0.007333021972694959,0.09166277465868698,1,0,0,True
Bacteria*Proteobacteria*Alphaproteobacteria,-0.24418286805745965,0.4362594143245078,-0.5597194239018217,0.5756708313246309,0.7995428212842096,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia,0.2883210836955587,0.3827609510295654,0.7532667136499199,0.45128965693177275,0.705140088955895,0,0,0,False
Archaea*Euryarchaeota*Methanobacteria,-0.9528089661179033,0.30307991264519923,-3.1437549186353038,0.00166795068368645,0.04169876709216125,1,0,0,True
Bacteria*Desulfobacterota*Desulfovibrionia,-0.44332722828669896,0.28308907985980963,-1.5660343680732647,0.11734057150370253,0.4190734696560805,0,0,0,False
Bacteria*Elusimicrobiota*Elusimicrobia,-0.12217285532997535,0.14536727434746402,-0.8404426366140137,0.4006602517915588,0.6677670863192646,0,0,0,False
Bacteria*Firmicutes*Limnochordia,-0.22286499008300723,0.1854386804487602,-1.2018257978522908,0.22943102809733512,0.5190287579604689,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria,-0.24998973753026366,0.258286532415593,-0.9678775551797664,0.33310552499175905,0.6405875480610751,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia,-0.3282654777293884,0.27557910935280244,-1.1911841884543422,0.23358128533086972,0.5190287579604689,0,0,0,False
Bacteria*Synergistota*Synergistia,-0.23171521209067952,0.17047930378762258,-1.3591984888637427,0.1740837000198906,0.5190287579604689,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia,-0.056268894702926016,0.13907107574628005,-0.40460530272723605,0.6857676601013076,0.8273893947857653,0,0,0,False
Bacteria*Spirochaetota*Spirochaetia,0.026454366323608963,0.08859007833088783,0.29861545245282145,0.7652334737766999,0.8273893947857653,0,0,0,False
Archaea*Thermoplasmatota*Thermoplasmata,0.012142554476987439,0.09357985121278731,0.1297560780405281,0.8967594136907212,0.8967594136907212,0,0,0,False
Bacteria*Verrucomicrobiota*Kiritimatiellae,-0.02697533859481796,0.10345726071077418,-0.26073896031551036,0.7942938189943347,0.8273893947857653,0,0,0,False
Bacteria*Campilobacterota*Campylobacteria,0.0664888444506262,0.1155000077430289,0.5756609523226562,0.5648443733487547,0.7995428212842096,0,0,0,False
Bacteria*Firmicutes*Incertae_Sedis,-0.2106857703031689,0.09753818102162186,-2.1600338256919613,0.030770051091124424,0.15979782870466352,1,0,0,True
Bacteria*Firmicutes*Syntrophomonadia,0.026454366323608963,0.08859007833088783,0.29861545245282145,0.7652334737766999,0.8273893947857653,0,0,0,False
Bacteria*Bdellovibrionota*Oligoflexia,0.026454366323608963,0.08859007833088783,0.29861545245282145,0.7652334737766999,0.8273893947857653,0,0,0,False
