,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reject,df
Bacteria*Bacteroidota*Bacteroidia,377163.0401238484,0.32215933729102714,0.19773812129381607,1.6292222014809956,0.10593280020787253,0.2648320005196813,0,118
Bacteria*Firmicutes*Clostridia,550767.7220308356,-0.3009657627919255,0.15287748255203243,-1.968672938406679,0.05133514053605699,0.18333978762877498,1,118
Bacteria*Proteobacteria*Gammaproteobacteria,9969.662955988997,0.09373706468369969,0.347846752902668,0.26947805003638636,0.7880324909125538,0.8208671780339103,0,118
Bacteria*Verrucomicrobiota*Verrucomicrobiae,427.1004537732742,-1.8158989803564871,0.7286720149114828,-2.4920663113116506,0.014088645839334142,0.08805403649583839,1,118
Bacteria*Fusobacteriota*Fusobacteriia,24.10718376037798,0.5041264686408746,0.4585667925266146,1.099352323056877,0.2738522954707709,0.5266390297514825,0,118
Bacteria*Firmicutes*Negativicutes,21307.177092003043,0.124018515928777,0.2738542962620079,0.45286313788600663,0.6514788647801322,0.8020809790413673,0,118
Bacteria*Actinobacteriota*Actinobacteria,4697.802611553821,-1.1664990141622364,0.5080835722068789,-2.295880201549337,0.023448025009559805,0.10196187328363761,1,118
Bacteria*Firmicutes*Bacilli,31538.13841805409,-0.9832055633725276,0.2599123237971697,-3.7828354924016656,0.00024501462981561464,0.006125365745390366,1,118
Bacteria*Proteobacteria*Alphaproteobacteria,470.069063292836,-0.6418434544874438,0.7028365176994996,-0.913218704953328,0.36298964539831446,0.6074644310853154,0,118
Bacteria*Cyanobacteria*Vampirivibrionia,90.93238991602104,0.3649835142461591,0.6214452176039987,0.587314060688027,0.5581149334356127,0.8020809790413673,0,118
Archaea*Euryarchaeota*Methanobacteria,177.12198593952084,-1.730125454880891,0.5118059739649441,-3.3804323178912234,0.0009818131682153054,0.012272664602691318,1,118
Bacteria*Desulfobacterota*Desulfovibrionia,2635.1516882051883,-0.9357936816255477,0.4106333734475887,-2.2789031338802954,0.024470849588073024,0.10196187328363761,1,118
Bacteria*Elusimicrobiota*Elusimicrobia,19.066161335276494,-0.20827043915141485,0.2287733804458596,-0.9103788156887559,0.3644786586511892,0.6074644310853154,0,118
Bacteria*Firmicutes*Limnochordia,29.636689780798577,-0.43560500520880324,0.3120908687246351,-1.3957633781113523,0.1654065334311555,0.3759239396162625,0,118
Bacteria*Verrucomicrobiota*Lentisphaeria,100.05886062672994,-0.575592669340969,0.4536824514595801,-1.2687126590177364,0.20704064010366774,0.43133466688264116,0,118
Bacteria*Actinobacteriota*Coriobacteriia,401.8808549031412,-0.7211056137289138,0.4405667780106801,-1.6367680218308085,0.10434329886358508,0.2648320005196813,0,118
Bacteria*Synergistota*Synergistia,33.37337273429296,-0.4777824285354103,0.2890737081323242,-1.6528048559736337,0.10102890691468987,0.2648320005196813,0,118
Bacteria*Cyanobacteria*Cyanobacteriia,22.143916366225593,-0.13874744195306363,0.23881400293100172,-0.5809853704146093,0.5623583519934907,0.8020809790413673,0,118
Bacteria*Spirochaetota*Spirochaetia,16.04387178494689,0.04072162833536058,0.1214100009245764,0.3354058811074229,0.737914500718058,0.8020809790413673,0,118
Archaea*Thermoplasmatota*Thermoplasmata,16.662884047767996,0.02490160491630805,0.1368723118113327,0.18193310675305083,0.8559473907191153,0.8559473907191153,0,118
Bacteria*Verrucomicrobiota*Kiritimatiellae,17.12894965835576,-0.053692718233138204,0.1542663363899777,-0.3480520733791568,0.7284212107654308,0.8020809790413673,0,118
Bacteria*Campilobacterota*Campylobacteria,17.95935965203071,0.0854645300049357,0.17990811853823935,0.4750454326316034,0.6356326862267561,0.8020809790413673,0,118
Bacteria*Firmicutes*Incertae_Sedis,25.931338369327577,-0.4902646078099146,0.17339376946189713,-2.827463808713433,0.005513374971295355,0.045944791427461294,1,118
Bacteria*Firmicutes*Syntrophomonadia,16.04387178494689,0.04072162833536058,0.1214100009245764,0.3354058811074229,0.737914500718058,0.8020809790413673,0,118
Bacteria*Bdellovibrionota*Oligoflexia,16.04387178494689,0.04072162833536058,0.1214100009245764,0.3354058811074229,0.737914500718058,0.8020809790413673,0,118
