,beta,se,W,p_val,q_val,diff_abn,struc_zero_0,struc_zero_1,is_da
Bacteria*Bacteroidota*Bacteroidia,0.5334893324273875,0.2016344288820006,2.645824601410671,0.008149205905195682,0.06791004920996402,1,0,0,True
Bacteria*Firmicutes*Clostridia,-0.005319500289252651,0.17516301395745698,-0.030368855668038652,0.9757728829704662,0.9810142544949293,0,0,0,False
Bacteria*Proteobacteria*Gammaproteobacteria,0.3867611507609646,0.3300816700132258,1.1717135057680355,0.24131209880179472,0.861828924292124,0,0,0,False
Bacteria*Verrucomicrobiota*Verrucomicrobiae,-0.6008740416485564,0.6949380709987479,-0.8646440117822225,0.38723420813049675,0.9680855203262418,0,0,0,False
Bacteria*Fusobacteriota*Fusobacteriia,0.5067890643933676,0.27445472637871327,1.846530650356015,0.06481519320549065,0.4050949575343165,0,0,0,False
Bacteria*Firmicutes*Negativicutes,0.7875447750582462,0.24223679504459028,3.251136041959592,0.001149448418527126,0.028736210463178147,1,0,0,True
Bacteria*Actinobacteriota*Actinobacteria,0.06668200199323944,0.4613220638759836,0.1445454427932271,0.8850697750358894,0.9810142544949293,0,0,0,False
Bacteria*Firmicutes*Bacilli,-0.05580062954021689,0.2957118561329715,-0.1886993314029494,0.8503284756374013,0.9810142544949293,0,0,0,False
Bacteria*Proteobacteria*Alphaproteobacteria,-0.32439041961274984,0.666365399253702,-0.48680561742259115,0.6263960891149387,0.9810142544949293,0,0,0,False
Bacteria*Cyanobacteria*Vampirivibrionia,-0.03905205895847518,0.6556523376653564,-0.05956214401298646,0.9525043695136493,0.9810142544949293,0,0,0,False
Archaea*Euryarchaeota*Methanobacteria,-1.3916278203392167,0.5080376805012271,-2.73922166357079,0.0061584836197336405,0.06791004920996402,1,0,0,True
Bacteria*Desulfobacterota*Desulfovibrionia,-0.5284085121973161,0.38736870115727573,-1.3640970750054913,0.17253701525141527,0.8357523193254679,0,0,0,False
Bacteria*Elusimicrobiota*Elusimicrobia,-0.2698514351068916,0.28205345318942715,-0.9567386325373556,0.33869919358795686,0.9408310932998801,0,0,0,False
Bacteria*Firmicutes*Limnochordia,-0.0057961444073841295,0.24356260699619794,-0.02379734918617704,0.9810142544949293,0.9810142544949293,0,0,0,False
Bacteria*Verrucomicrobiota*Lentisphaeria,-0.55215595437369,0.43140578151444425,-1.2798992921127619,0.20058055663811228,0.8357523193254679,0,0,0,False
Bacteria*Actinobacteriota*Coriobacteriia,0.3162159127411005,0.41409564319371556,0.7636301369951228,0.44508768459313114,0.9810142544949293,0,0,0,False
Bacteria*Synergistota*Synergistia,-0.04639330271988778,0.2661100011117099,-0.17433881675274732,0.8615991949655348,0.9810142544949293,0,0,0,False
Bacteria*Cyanobacteria*Cyanobacteriia,0.24723329533446836,0.2438819185434067,1.0137418009956534,0.31070597239116826,0.9408310932998801,0,0,0,False
Bacteria*Spirochaetota*Spirochaetia,0.010011246056088313,0.1257184166075098,0.07963229514211279,0.9365297089611523,0.9810142544949293,0,0,0,False
Archaea*Thermoplasmatota*Thermoplasmata,0.07769585882903056,0.151539220781686,0.5127112204236723,0.608153339720703,0.9810142544949293,0,0,0,False
Bacteria*Verrucomicrobiota*Kiritimatiellae,-0.10293905620700262,0.16598457005748754,-0.6201724423622655,0.5351442624876979,0.9810142544949293,0,0,0,False
Bacteria*Campilobacterota*Campylobacteria,0.05909450532989034,0.16045652566437413,0.36828982233790813,0.7126571406402407,0.9810142544949293,0,0,0,False
Bacteria*Firmicutes*Incertae_Sedis,-0.11594362967768779,0.19283671814797568,-0.6012528671469973,0.5476715771575859,0.9810142544949293,0,0,0,False
Bacteria*Firmicutes*Syntrophomonadia,0.010011246056088313,0.1257184166075098,0.07963229514211279,0.9365297089611523,0.9810142544949293,0,0,0,False
Bacteria*Bdellovibrionota*Oligoflexia,0.010011246056088313,0.1257184166075098,0.07963229514211279,0.9365297089611523,0.9810142544949293,0,0,0,False
